id,trigger,conditions,script,text,options,notes
#greetings,,,,,,
greetingALFriendly,OpenCommLink,"$faction.id == approlight
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Us councilors have always been close, man. I see that I am under good terms with you, do you want a clone of the Speaker? The clone's performance is very similar to the one that accompanies Jormungand..."" The communications link suddenly becomes too quiet to discern the rest of their message.
OR
""This $personRank pays tribute to you, my friend. You needn't be so nervous under the protection of the council.""
OR
""Are you also on the journey to the light... Uh, I mean, the scan is complete, have a good trip."" $personName scratched $hisOrHer cheek.",cutCommLink:Cut the comm link,
greetingALHostileWeaker,OpenCommLink,"$faction.id == approlight
$faction.hostileToPlayer
$relativeStrength < 0",$ignorePlayerCommRequests = true 1,"""The mistake you made today is meeting me! My reinforcements are already on their way!"" $personRank shouts and cuts off the communication link.
OR
""You bastard, do you know who I am? Your offense against the council will incur its wrath!"" $personName looks very flustered, and then $heOrShe screams, ""You guys will definitely be turned into a bunch of octopi!""",cutCommLink:Cut the comm link,
greetingALHostileWeakerDefiant,OpenCommLink,"$faction.id == approlight
$faction.hostileToPlayer
$relativeStrength < 0
$weakerThanPlayerButHolding",$ignorePlayerCommRequests = true 1,"The $personRank said coldly: ""When I am the light the universe will tremble before me!"" and makes a decisive gesture.
OR
""Appro-Light is fearless!"" The avid $personRank immediately cuts off the communication link.",cutCommLink:Cut the comm link,
greetingALHostileStronger,OpenCommLink,"$faction.id == approlight
$faction.hostileToPlayer
$relativeStrength >= 0",$ignorePlayerCommRequests = true 1,"""You, kneel! Appro-Light will never relent!""
OR
""We will suppress your resistance with force. Please surrender immediately.""",cutCommLink:Cut the comm link,
greetingALNeutral,OpenCommLink,"$faction.id == approlight
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""The truth we pursue together is shining in the stars."" $personRank chants, ""I mean, if it's alright with you, can you promptly leave? I still have my own things to do, over and out.""
OR
""Your ID has been identified. There is a military base nearby and loiterers are not permitted to enter, over and out."" $personRank cuts a nail and makes a boring joke.",cutCommLink:Cut the comm link,
,,,,,,
greetingALExiledGuard,OpenCommLink,"$faction.id == approlight
$entity.AL_isExiledGuard score:1000
!$faction.hostileToPlayer",$ignorePlayerCommRequests = true 1,"""..."" $personName says nothing and gives you a blank stare.",cutCommLink:Cut the comm link,
greetingALExiledGuardHostile,OpenCommLink,"$faction.id == approlight
$entity.AL_isExiledGuard score:1000
$faction.hostileToPlayer",$ignorePlayerCommRequests = true 1,"""..."" $personName looks at you nervously. She doesn't seem inclined to argue with you.",cutCommLink:Cut the comm link,
,,,,,,
greetingIL,OpenCommLink,$faction.id == immortallight,$ignorePlayerCommRequests = true 1,"""Insects.""",cutCommLink:Cut the comm link,
greetingILHunted,OpenCommLink,"$faction.id == immortallight
$hunted",$ignorePlayerCommRequests = true 1,"""A long way from that area, there will be no forgiveness.""
OR
""Are those who believe in the light always met with darkness?""",cutCommLink:Cut the comm link,
,,,,,,
relLevelNeutralApprolight,RelationshipLevelDesc,"$faction.rel == NEUTRAL
$faction.id == approlight",,"The council don't consider you a threat, so they don't pay any attention to you.",,
relLevelFavorableApprolight,RelationshipLevelDesc,"$faction.rel == FAVORABLE
$faction.id == approlight",,"Your actions are well received by some of the more amiable high ranking officers of the council, but not all of them see them eye to eye.",,
relLevelWelcomingApprolight,RelationshipLevelDesc,"$faction.rel == WELCOMING
$faction.id == approlight",,The council accepts your presence. Some officials are willing to communicate with you and exchange information. ,,
relLevelFriendlyApprolight,RelationshipLevelDesc,"$faction.rel == FRIENDLY
$faction.id == approlight",,The council sees you as a guest and your reputation allows you to use some of the council's entertainment facilities.,,
relLevelCooperativeApprolight,RelationshipLevelDesc,"$faction.rel == COOPERATIVE
$faction.id == approlight",,The council gives you the right to communicate with Originem during his regularly scheduled meetings. You have access to the best armaments avaliable for trade. This means you are already above tens of thousands of people in the council's political landscape.,,
relLevelSuspiciousApprolight,RelationshipLevelDesc,"$faction.rel == SUSPICIOUS
$faction.id == approlight",,You are known to the council and they consider you a pest flying in their sight. Even though they can trace you they currently won't escalate.,,
relLevelInhospitableApprolight,RelationshipLevelDesc,"$faction.rel == INHOSPITABLE
$faction.id == approlight",,"In order to secure their information security, the council now refuses to trade with you and are actively searching for you.",,
relLevelHostileApprolight,RelationshipLevelDesc,"$faction.rel == HOSTILE
$faction.id == approlight",,The nets of the council have been laid and their special forces are prepared. You will be blocked everywhere within council territory and there will be no peace.,,
relLevelVengefulApprolight,RelationshipLevelDesc,"$faction.rel == VENGEFUL
$faction.id == approlight",,The headline news of the council is filled with holographic avatars of you. Your atrocities have alerted the snake's eyes. Perhaps a veteran fleet of the council will hunt you down in the near future.,,
flavorTextMarketApproLight,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == approlight","AddText ""The port hall entrance is extremely prosperous, and the detection equipment near the berths of each ship gives a sense of advancedness beyond the understanding of system. A solemnly purple tone decorate the corners of the hexagram flags that are everywhere. An ornate but very capable armed guard takes you to the heart of the market, where everything is valuable."" marketFlavorTextColor
AddText ""A civilian drone flies over your head. After having a glance at the Originem's poster on the drone you feel that they are spontaneously sending out propaganda of his personal heroism but according to some intelligence agents, some scientists seem to rejects this claim."" marketFlavorTextColor",,,
,,,,,,
relLevelImmortalLight,RelationshipLevelDesc,$faction.id == immortallight,,"By our Lord's holy light, we offer you a choice: to cooperate with Immortal-Light, or a peaceful death.",,
,,,,,,
,,,,,,
#fleet greeting,,,,,,
AL_greetingGhostPioneer,OpenCommLink,$entity.isGhostPioneerFleet score:100,$entity.ignorePlayerCommRequests = true 1,"""Step aside, we're on official business.""",cutCommLink:Cut the comm link,
AL_greetingTenshi,OpenCommLink,$entity.isTenshiFleet score:101,$entity.ignorePlayerCommRequests = true 1,"""If you think approaching us will be simple, think again.""",cutCommLink:Cut the comm link,
,,,,,,
#higgs meeting,,,,,,
AL_gh_higgsGreeting,OpenCommLink,"$entity.isHiggsFleet score:1000
$isKeel","ALKeelRep
FireBest AddHiggsOptions",,,
AL_gh_hostileOptions,AddHiggsOptions,$faction.hostileToPlayer,$entity.ignorePlayerCommRequests = true 1,"""The sin is in their body; I will be the judge."" The other side cut off the communication.", ,
AL_gh_firstMeetOptions,AddHiggsOptions,"!$talkedTo
!$faction.hostileToPlayer",,"""Strange Captain, please leave this domain of sin as soon as possible, I cannot guarantee your safety here.""

The imaging of the communication is disturbed, and the mysterious and wandering lines with some sort of intent distract you somewhat. The voice on the other end sounds like a serious young woman, possibly a preference of this AI.","0:al_gh_who:""Who are you？""
10:cutCommLink:Cut the comm link",
AL_gh_metOptions,AddHiggsOptions,"$talkedTo
!$faction.hostileToPlayer","FireBest ALKeelCheckWreck
SetTooltip AL_keelPurify ""Let Keel help you by removing the negative side effects of Immortal-Light Isomery.""
FireBest ALKeelCheckPurify
","""Please, leave as soon as you can."" Keel Higgs' voice sounded calm; as if you had never met before.","0:AL_handInWreck:""I have some special wreckage here, I've heard that you are interested in it?""
1:AL_keelPurify:""I was hoping you could help me with these Immortal-Light ships...""
2:AL_keelTalk:""Would you like to chat?""
10:cutCommLink:Cut the comm link",
AL_gh_metOptionsWithIfsCompleted,AddHiggsOptions,"$talkedTo
!$faction.hostileToPlayer
$global.AL_mission_ifsCompleted
!$talkedAboutIfs",,"""I heard that you left that traitor's flagship sunk in some shadowy corner of the sector."" Keel Higgs' tone was slightly cheerful, ""I get the impression that it was truly an epic battle, in every way.""

She paused for a moment, as if reminiscing, ""When my subordinates were routing those Immortal-Light ships from the rear, they accidentally discovered an Appro-Light fleet that had been secretly withdrawn from the battlefield: the shameful traitor left his companions behind, leaving a gaping hole directly in the battle line and nearly caused the fleet's formation to disintegrate. Fortunately, thanks to our efforts, it didn't come to that. At that time, the fleet strength of the council was already stretched to the limit: if we let even a single Immortal-Light Front fleet break out of the blockade, it could endanger the Grand Duke's space station, and my arrangement would...""

She suddenly stopped.","0:AL_gh_ifs_continue:You can't help but ask, ""Arrangement? What kind of arrangement?""
",
AL_gh_metOptionsWithIfsCompletedContinue,DialogOptionSelected,$option == AL_gh_ifs_continue,"AdjustRepActivePerson COOPERATIVE 5
$talkedAboutIfs = true","""You may get the answers you're looking for at the secret meeting, but it might not be in your best interest to know right now."" It seems they didn't want to reveal all their secrets. ""Anyway, I have you to thank for this matter.""",10:cutCommLink:Cut the comm link,
AL_gh_metOptionsWithFullRel,AddHiggsOptions,"$talkedTo
!$faction.hostileToPlayer
$rel >= 1 score:1001
!$gravenGiven score:1000","$gravenGiven = true
AddRemoveCommodity AL_graven_ai 1","A small shuttle is detected on approach to your fleet. You give a suspicious look to Keel as a small smile appears on her face.

""A small token of respect."" She transmits a holographic projection containing a large number of astounding specifications. ""This is an AI core modeled after my personality, named Graven. It's currently in testing, so I thought it fitting to let you take it for a test drive as thanks for all the help you've done for us.""

The holographic projection changes to display a device resembling a particularly old mainframe computer. Keel continues, ""Don't worry, I've reset her personality parameters and lowered the index as well, so don't feel any particular psychological burden towards her.""

A moment later, you receive an urgent message from your communications officer: the core gained access to the ship's network and forcibly encrypted all of their 'personal' files, while berating the crew, referring to them as ""dirty and guilty"". You look back to Keel Higgs.

""...allow me to restrict her permissions for you."" Her eyes drift to the side, ""In any case, allow me to thank you again.""",10:cutCommLink:Cut the comm link,
,,,,,,
AL_gh_checkWreck,ALKeelCheckWreck,!ALKeelWreck hasWreck,"SetTooltip AL_handInWreck ""You have no divinely infused remains.""
SetEnabled AL_handInWreck false",,,
AL_gh_handInWreck,DialogOptionSelected,$option == AL_handInWreck,ALKeelWreck handInWreck,,,
AL_gh_handInWreckCompleted,ALWreckTurnedIn,,FireAll PopulateOptions,"""Dear Captain, you've been a great help."" Her tone carried some deference, but she didn't seem to want to say anything more.",,
,,,,,,
AL_gh_checkPurify,ALKeelCheckPurify,!ALKeelPurify canPurify,"SetTooltip AL_keelPurify ""Let Keel help you by removing the negative side effects of Immortal-Light Isomery: this requires a Cooperative or better relationship with her. You must wait $AL_keelPurifiedStr before using this service again.""
SetEnabled AL_keelPurify false",,,
AL_gh_purify,DialogOptionSelected,$option == AL_keelPurify,ALKeelPurify purify,,,
,,,,,,
AL_gh_Text0,DialogOptionSelected,$option == al_gh_who,"SetStoryOption al_gh_thankOk general ""Show your trust and care""","""Beyond the chasm, I am the prison wall. Blade of Conviction, Keel Higgs salutes you.""

The other party's voice is so powerful that it makes your heart tremble a little. After she introduced her name, her voice became gradually calmer, and after expressing that she meant no harm, she explained everything to you in a straightforward manner.

The artificial intelligence called Keel, for some reason that cannot be told, escaped from Appro-Light and came to the planet Seker to engage in a protracted battle with the fleet of the Immortal-Light Front in the middle of the Prime Nebula not far away, with a period of half a month to a month. Her fleet was replenished by capturing and counter-brainwashing the Immortal-Light's ships.

""The fleets of the Appro-Light Council are afraid to approach us, and even though we are fighting the Immortal-Light Front, after all, my companions still have their mark on them."" Her voice was somewhat helpless, ""Strange captain, you are advised to hurry, it is enough to have me here alone - the AI.""","1:al_gh_thankOk: ""I'll leave right away, but remember, you're not alone anymore.""
2:al_gh_normalOk: ""I understand, and thank you for your kind words.""
10:cutCommLink:Cut the comm link",
AL_gh_ThankOk,DialogOptionSelected,$option == al_gh_thankOk,"AdjustRepActivePerson COOPERATIVE 5
AdjustRep $personFaction.id COOPERATIVE 10
$talkedTo = true","""...""

The other party is silent for a moment and suddenly smiles, ""Thank you for your trust.""

With that, she cuts the comms link, and is no longer responsive to your communication requests.
",cutCommLink:Cut the comm link,
AL_gh_NormalOk,DialogOptionSelected,$option == al_gh_normalOk,$talkedTo = true,"""Thank you for your understanding."" The other party solemnly replies and then cuts off the communication, and no longer responds to your communication requests.",cutCommLink:Cut the comm link,
,,,,,,
AL_gh_talk,DialogOptionSelected,"$option == AL_keelTalk
$rel < 0.5","ALClueGenerator roll AL_keel 15
FireAll PopulateOptions","They seem happy to talk, and after a few moments...",,
AL_gh_talkFriendly,DialogOptionSelected,"$option == AL_keelTalk
$rel >= 0.5","ALClueGenerator roll AL_keel_friendly 15
FireAll PopulateOptions","They seem happy to talk, and after a few moments...",,
,,,,,,
,,,,,,
#dynastyseeker pre,,,,,,
AL_ifs_talkingToSeeker,MarketPostDock,$market.AL_mission_ifs_seeker_location score:1000,"Call $global.AL_mission_ifs_ref updateData
ShowPersonVisual true AL_ip_dynastySeeker
FireBest SeekerTalkStage",,,
,,,,,,
