id,trigger,conditions,script,text,options,notes
#greetings,,,,,,
greetingALFriendly,OpenCommLink,"$faction.id == approlight
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""我们趋光者向来趋同, 伙计, 我看我与你有缘, 要来一份议长的克隆人吗? 性能和耶梦加得长官获得的那一位很像哦? (小声)"" 
OR
"" $personRank 向你致敬, 我的朋友, 在议会的保护下不用那么紧张.""
OR
""你也在迈向光的旅途中吗... 呃, 我是说, 扫描完毕, 祝你一路顺风."" $personName 挠了挠自己的脸颊.",,
greetingALHostileWeaker,OpenCommLink,"$faction.id == approlight
$faction.hostileToPlayer
$relativeStrength < 0",$ignorePlayerCommRequests = true 1,"""你今天犯的错就是遇上了我! 支援我的议员们已经快要到了, 束手就擒吧! "" $personRank 大喊着切断通讯链接.
OR
""你这混蛋, 你知道我的身份吗? 向议会开火就得承受议会的怒火! "" $personName 看起来非常慌张, $heOrShe 声嘶力竭得说道, ""你们这些家伙一定会被做成章鱼! """,cutCommLink:切断通讯,
greetingALHostileWeakerDefiant,OpenCommLink,"$faction.id == approlight
$faction.hostileToPlayer
$relativeStrength < 0
$weakerThanPlayerButHolding",$ignorePlayerCommRequests = true 1,"$personRank 冷酷地说: ""当我趋光之时, 宇宙都将为我而颤抖!"" 并做出了决绝的姿态.
OR
""趋光者无所畏惧!"" 狂热的 $personRank 随即切断通讯链接.",cutCommLink:切断通讯,
greetingALHostileStronger,OpenCommLink,"$faction.id == approlight
$faction.hostileToPlayer
$relativeStrength >= 0",$ignorePlayerCommRequests = true 1,"""你, 跪地停驻, 而趋光者, 永不止步!""
OR
""我们将对你的反抗进行武力镇压, 所以, 请你马上投降吧.""",cutCommLink:切断通讯,
greetingALNeutral,OpenCommLink,"$faction.id == approlight
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""我们一同追求的真理正在星空中闪耀. "" $personRank 念叨着, ""我的意思是, 你没事的话能不能赶紧离开? 我还有自己的事要做, 完毕.""
OR
""你的身份已经被识别, 这附近有军事重地, 闲人勿进, 完毕."" $personRank 剪着指甲开了个无聊的玩笑.",,
,,,,,,
greetingALExiledGuard,OpenCommLink,"$faction.id == approlight
$entity.AL_isExiledGuard score:1000
!$faction.hostileToPlayer",$ignorePlayerCommRequests = true 1,"""..."" $personName 一言不发，神色平淡地看着你。",cutCommLink:切断通讯,
greetingALExiledGuardHostile,OpenCommLink,"$faction.id == approlight
$entity.AL_isExiledGuard score:1000
$faction.hostileToPlayer",$ignorePlayerCommRequests = true 1,"""..."" $personName 神色紧张地看着你，她似乎并不想与你有所争执。",cutCommLink:切断通讯,
,,,,,,
greetingIL,OpenCommLink,$faction.id == immortallight,$ignorePlayerCommRequests = true 1,"""臭虫。""
OR
""过去的尘埃。""",cutCommLink:切断通讯,
greetingILHunted,OpenCommLink,"$faction.id == immortallight
$hunted",$ignorePlayerCommRequests = true 1,"""离那片区域很远，却得不到宽恕。""
OR
""信光者恒得暗吗？""",cutCommLink:切断通讯,
,,,,,,
relLevelNeutralApprolight,RelationshipLevelDesc,"$faction.rel == NEUTRAL
$faction.id == approlight",,"议会并不觉得你有什么东西值得他们费心, 他们不想搭理你.",,
relLevelFavorableApprolight,RelationshipLevelDesc,"$faction.rel == FAVORABLE
$faction.id == approlight",,"你的行动让议会部分和蔼的高层官员开始接受你, 但并不代表其他掌权者乐意看见你.",,
relLevelWelcomingApprolight,RelationshipLevelDesc,"$faction.rel == WELCOMING
$faction.id == approlight",,"议会接纳你的存在, 部分官员开始与你进行深度交流并交换情报.",,
relLevelFriendlyApprolight,RelationshipLevelDesc,"$faction.rel == FRIENDLY
$faction.id == approlight",,"议会将你视为座上宾, 报出你的名号甚至能在一些议会娱乐设施享受特权.",,
relLevelCooperativeApprolight,RelationshipLevelDesc,"$faction.rel == COOPERATIVE
$faction.id == approlight",,"议会赋予你在议长开例会时优先与他交流的权利, 并完全向你开放了军火交易权限, 这意味着在议会的政治领域, 你已万人之上.",,
relLevelSuspiciousApprolight,RelationshipLevelDesc,"$faction.rel == SUSPICIOUS
$faction.id == approlight",,"在可知的议会疆土里, 议会觉得你是只碍眼的小苍蝇, 虽说有迹可循, 但起不了大风浪.",,
relLevelInhospitableApprolight,RelationshipLevelDesc,"$faction.rel == INHOSPITABLE
$faction.id == approlight",,"议会为了保证情报安全, 已经拒绝和你进行交易, 并加大了对你的搜查力度.",,
relLevelHostileApprolight,RelationshipLevelDesc,"$faction.rel == HOSTILE
$faction.id == approlight",,"议会的天罗地网已经布下, 特殊部队已蓄势待发, 你在议会的领域里将处处受阻, 不得安宁.",,
relLevelVengefulApprolight,RelationshipLevelDesc,"$faction.rel == VENGEFUL
$faction.id == approlight",,"议会的头条新闻上到处充斥着你的全息头像, 你的危害性甚至惊动了双蛇之目, 兴许在不久的将来, 议会的高级舰队就将前来追捕你.",,
flavorTextMarketApproLight,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == approlight","AddText ""港口大厅门口异常繁华，各个舰艇停泊位附近的检测设备给人一种超出了英仙座理解范围的先进感。紫色调的庄严肃穆装点着各个角落，以六芒星为主基调的旗帜随处可见。穿着色调华丽但非常干练的武装警卫将你带到了市场中心，在这里，一切都变得有价值。"" marketFlavorTextColor
AddText ""一架民用无人机 从你头顶上飞过, 看着无人机上悬挂的 议长大字报, 你能感受到他们 正在自发进行 个人英雄主义 的宣传, 但根据 情报头子的说法, 有些科学家似乎 非常排斥 这个现象. "" marketFlavorTextColor",,,
,,,,,,
relLevelImmortalLight,RelationshipLevelDesc,$faction.id == immortallight,,欲邀汝等共瞻我主之光，吾等供两途任君选择：共事永光，或降逝以得安宁。,,
,,,,,,
,,,,,,
#fleet greeting,,,,,,
AL_greetingGhostPioneer,OpenCommLink,$entity.isGhostPioneerFleet score:100,$entity.ignorePlayerCommRequests = true 1,"""让开，我们在执行公务。""",cutCommLink:切断通讯,
AL_greetingTenshi,OpenCommLink,$entity.isTenshiFleet score:101,$entity.ignorePlayerCommRequests = true 1,"""我寻思你来找我应该不只是唠嗑这么简单，我已经感觉到一种特殊的恶寒了。""",cutCommLink:切断通讯,
,,,,,,
#higgs meeting,,,,,,
AL_gh_higgsGreeting,OpenCommLink,"$entity.isHiggsFleet score:1000
$isKeel","ALKeelRep
ALClueGenerator update
FireBest AddHiggsOptions",,,
AL_gh_hostileOptions,AddHiggsOptions,$faction.hostileToPlayer,$entity.ignorePlayerCommRequests = true 1,"""罪于彼身，吾来定夺。""对方切断了通讯。", ,
AL_gh_firstMeetOptions,AddHiggsOptions,"!$talkedTo
!$faction.hostileToPlayer",,"""陌生的舰长，请您尽快离开这片罪孽之域，我无法在此保证你的安全。""

通讯的成像被干扰了，神秘而具有某种意向的游动线条让你心神有些不宁。对方的声音听上去是一名严肃的年轻女性，可能是这位AI的偏好。","0:AL_gh_who:""你是谁？""
10:cutCommLink:切断通讯",
AL_gh_metOptions,AddHiggsOptions,"$talkedTo
!$faction.hostileToPlayer","FireBest ALKeelCheckWreck
SetTooltip AL_keelPurify ""让基路帮你去除永光异构的副作用。""
FireBest ALKeelCheckPurify","""请尽快离开。""基路-希格斯的声音很平静，仿佛你们从未见过面。","0:AL_handInWreck:""我这里有一些残骸，听说你有需求...""
1:AL_keelPurify:""我希望你能帮助我解决一些永光舰船的问题...""
2:AL_keelTalk:""我们聊一聊?""
10:cutCommLink:切断通讯",
AL_gh_metOptionsWithIfsCompleted,AddHiggsOptions,"$talkedTo
!$faction.hostileToPlayer
$global.AL_mission_ifsCompleted
!$talkedAboutIfs",,"""听说您让那个叛徒的旗舰沉没在了宇宙中的某个阴暗角落。""基路-希格斯的语气带着些许欢快，""我对此有些印象，那确实是一场令人印象深刻的战役，在各种方面上。""

她停顿了一会，像是在回忆，""当我的下属们从后方击溃那些永光舰船时，它们意外发现了一支从战场上偷偷撤出的趋光舰队：可耻的叛徒抛下同伴，让战线直接缺了道口子，差点让整个军团的阵型土崩瓦解。所幸在吾等的努力下，问题没有进一步扩大。那时候议会的舰队力量已经捉襟见肘，若让永光之锋突围，哪怕就一个舰队，说不定都会危及大公空间站，我的安排就...""

她突然停下来。","0:AL_gh_ifs_continue:""安排？什么样的安排?""你按耐不住在自己的好奇心。
",
AL_gh_metOptionsWithIfsCompletedContinue,DialogOptionSelected,$option == AL_gh_ifs_continue,"AdjustRepActivePerson COOPERATIVE 5
$talkedAboutIfs = true","""可能密会上会有你想知道的答案，但现在就了解它不一定对你有好处。""对方并不愿意过多透露，""总之这件事我得感谢你。""",10:cutCommLink:切断通讯,
AL_gh_metOptionsWithFullRel,AddHiggsOptions,"$talkedTo
!$faction.hostileToPlayer
$rel >= 1 score:1001
!$gravenGiven score:1000","$gravenGiven = true
AddRemoveCommodity AL_graven_ai 1","一艘小型穿梭舱接近了你的舰队， 你疑惑地看向基路，微笑出现在她刚毅的脸庞上。

""一点小礼，不成敬意。""她划出一道投影屏，上面写满了让你眼花缭乱的参数，""这是一颗以我的人格为模板改造的AI核心，名为 Graven。现在在试验阶段，你可以拿去试用，就当做您一直帮我们忙的回礼。""

一台酷似旧时代服务器主机的机器显示在投影屏上，她继续说道：""放心，我已经重置了她的性格参数并降低了人格指数，请您不要有心理负担。""

片刻，你收到通讯官的消息，说是那台主机接入网络后强制加密了几乎所有让船员喜闻乐见的影像文件，并且在各个舰船的主控室痛骂船员""肮脏，有罪""。你看向基路-希格斯。

""...我马上为您下调她的行为自由度。""她眼神飘忽，""不管怎样，请允许我再次向您表达谢意。""",10:cutCommLink:切断通讯,
,,,,,,
AL_gh_checkWreck,ALKeelCheckWreck,!ALKeelWreck hasWreck,"SetTooltip AL_handInWreck ""你没有 被神性浸染的遗骸。""
SetEnabled AL_handInWreck false",,,
AL_gh_handInWreck,DialogOptionSelected,$option == AL_handInWreck,ALKeelWreck handInWreck,,,
AL_gh_handInWreckCompleted,ALWreckTurnedIn,,FireAll PopulateOptions,"""尊敬的舰长，您帮了大忙了。""她的语气带着一些恭敬，但似乎不想多说什么了。",,
,,,,,,
AL_gh_checkPurify,ALKeelCheckPurify,!ALKeelPurify canPurify,"SetTooltip AL_keelPurify ""让基路帮你去除永光异构的副作用。你需要和基路关系达到合作以上。离下次使用该功能还有 $AL_keelPurifiedStr 。""
SetEnabled AL_keelPurify false",,,
AL_gh_purify,DialogOptionSelected,$option == AL_keelPurify,ALKeelPurify purify,,,
,,,,,,
AL_gh_Text0,DialogOptionSelected,$option == AL_gh_who,"SetStoryOption AL_gh_thankOk general ""展现你的信任与关心""","""裂隙之外，我即牢墙。断罪之剑，基路-希格斯向您致敬。""

对方的声音铿锵有力，让你的内心颤了一下。她介绍完自己的名字后，声音变得逐渐平缓，在表达了自己并无恶意后，她平铺直叙地向你解释了一切：

这位叫基路的人工智能因为某种不能说的原因，从趋光议会的地盘上逃出，来到了Seker这颗星球上，和在不远处至高逸散星云之中的永光之锋舰队展开了周期为半个月到一个月的持久搏斗。而她的舰队也是通过抓捕永光之锋战舰并进行反洗脑来补充的。

""趋光议会的舰队都畏于接近我们，尽管我们在与永光之锋战斗，但毕竟我的伙伴们身上还烙着它们的印记。""她的声音有些无奈，""陌生的舰长，建议您赶紧走吧，这里有我一个人——人工智能就够了。""","1:AL_gh_thankOk:""我会马上离开，不过你要记住，现在你不是一个人了。""
2:AL_gh_normalOk:""我明白了，感谢你的好意。""
10:cutCommLink:切断通讯",
AL_gh_ThankOk,DialogOptionSelected,$option == AL_gh_thankOk,"AdjustRepActivePerson COOPERATIVE 5
AdjustRep $personFaction.id COOPERATIVE 10
$talkedTo = true","""...""

对方沉默了片刻，突然笑了起来，""感谢您的信任。""

随之她切断了通讯，并且对你的通讯请求不再有任何反应。
",cutCommLink:切断通讯,
AL_gh_NormalOk,DialogOptionSelected,$option == AL_gh_normalOk,$talkedTo = true,"""感谢您的理解。""对方郑重地回复后切断了通讯，并且对你的通讯请求不再有任何反应。",cutCommLink:切断通讯,
,,,,,,
AL_gh_talk,DialogOptionSelected,"$option == AL_keelTalk
$rel < 0.5","ALClueGenerator roll AL_keel
FireAll PopulateOptions",对方似乎很乐于与你交谈，片刻后...,,
AL_gh_talkFriendly,DialogOptionSelected,"$option == AL_keelTalk
$rel >= 0.5","ALClueGenerator roll AL_keel_friendly AL_keel
FireAll PopulateOptions",对方似乎很乐于与你交谈，片刻后...,,
,,,,,,
,,,,,,
#dynastyseeker pre,,,,,,
AL_ifs_talkingToSeeker,MarketPostDock,$market.AL_mission_ifs_seeker_location score:1000,"Call $global.AL_mission_ifs_ref updateData
ShowPersonVisual true AL_ip_dynastySeeker
FireBest SeekerTalkStage",,,
,,,,,,
