name,id,tags,tech/manufacturer,rarity,base price,stack size,cargo space,baseRaidDanger,icon,sound id,sound id drop,plugin,plugin params,desc,order
Appro-Light Project - Ether Blueprint Package,alpj_ether_bp,package_bp,,,20000,1000,1,,graphics/icons/cargo/blueprint_approlight_ether.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,alpj_ether_bp,"Enables heavy industry to manufature Appro-Light Ether hulls, weapons and fighter LPCs. Unfortunately, it seems significant parts of the database have been omitted.",290
Appro-Light Project -  Spirit Blueprint Package,alpj_spirit_bp,package_bp,,,50000,1000,1,,graphics/icons/cargo/blueprint_approlight_spirit.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,alpj_spirit_bp,"Enables heavy industry to manufature Appro-Light Spirit hulls, weapons and fighter LPCs.",290
Time Metamorphosis Blueprint Package,morph_time_bp,package_bp,,0.25,10000,1000,1,,graphics/icons/cargo/blueprint_approlight_time.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,morph_time_bp,"Enables heavy industry to manufacture ship hulls designed as part of the \""Time Metamorphosis\"" project; but are you sure you want to build them?",290
Prime Flame Clan Weapons Blueprint Package,prime_flame_bp,package_bp,,,10000,1000,1,,graphics/icons/cargo/blueprint_midline.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,prime_flame_bp,"A set of blueprints for the weapons of the Prime Flame Clan, which are as rare as the Fourteenth Battlegroup blueprint.",290
Primus Arborea Blueprint Package,alpa_bp,package_bp,,0.25,20000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,alpa_bp,"Enables heavy industry to manufacture ship hulls, weapons, and LPCs designed by Naqiu City's Primus Arborea sect.",90000
One-time Prime Blueprint,AL_prime_bp,,,,100000,1,1,,graphics/icons/cargo/AL_prime_blueprint.png,ui_chip_pickup,ui_bp_package_drop,originem.al.scripts.campaign.items.AL_PrimeBlueprintItemPlugin,,"A tablet made of unknown golden metal, displaying information about the specified ship, containing data that is difficult to parse at the current level of technology. You can feel that the electronic components inside it, which are always emitting light and heat, do not seem to consume energy.",10000
,,,,,,,,,,,,,,,
Lockbox from Appro-Light,AL_lockbox,,,,500000,1,1,,graphics/icons/cargo/AL_lockbox.png,ui_cargo_goods,ui_cargo_goods_drop,originem.al.scripts.campaign.items.AL_LockBoxItemPlugin,,A stolen lockbox from Appro-Light obtained from an unidentified mercenary. The box is formed from complex alloys and has an encrypted interface. You are sure something is out of the ordinary here. It's up to your discretion to either sell it or find the encryption key to open it.,10000
Appro-Light Lockbox Password,AL_lockboxpw,,,,10000,1000,1,,graphics/icons/cargo/AL_lockbox_chip.png,ui_chip_pickup,ui_bp_package_drop,originem.al.scripts.campaign.items.AL_LockBoxPWItemPlugin,,Contains an encryption key to an Appro-Light lockbox.,10000
Ship Contract,AL_ship_contract,,,,5000,1,1,,graphics/icons/cargo/AL_ship_contract.png,ui_chip_pickup,ui_bp_package_drop,originem.al.scripts.campaign.items.AL_ShipContractItemPlugin,,"After purchasing this contract with Gilberts, the contract will be fulfilled immediately and the documented ship will be added to your fleet (it will be mothballed).",10000
Ration Card,AL_ration_card,,,,0,1,1,,,ui_chip_pickup,ui_bp_package_drop,originem.al.scripts.campaign.items.AL_RationCardItemPlugin,,"This card records the number of Gilberts you have in your possession at the Council. The level of the card determines the maximum amount of Gilberts you can exchange each month and any discounts you receive when purchasing goods at the ration center.
There is no regular means of upgrading this card in the council, the rank is determined directly by the highest leader, the Speaker.",10000
Breaking Mist Miniature Nanoforge,AL_bm_nanoforge,,,,150000,1,50,,graphics/icons/cargo/AL_bm_nanoforge.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,originem.al.scripts.campaign.items.AL_BMNanoforgeItemPlugin,,"A powerful miniature ""black box"" factory with technology from the Borken Foundation is capable of creating a wide-area EMP weapon called the ""Mist Broadcast Bomb"". This weapon can interfere with the sensors of the entire star area, and hundreds of linked detonations can even produce a kind of electronic interference film - this is the origin of the Breaking Mist Generator.",10000
Mist Broadcast Bomb,AL_bm_bomb,,,,10000,20,1,,graphics/icons/cargo/AL_bm_bomb.png,ui_cargo_special_military_pickup,ui_cargo_special_military_drop,originem.al.scripts.campaign.items.AL_BMBombItemPlugin,,"Powerful electromagnetic pulse bombs, hundreds of bombs at exploded at the same time can directly form a solidified electronic shield. The explosion of a single such bomb can cause almost instantaneous paralysis of a system.",10000
