variantId,baseWeight,minWeight,maxWeight,deltaWeight,createAtDifficulty,endAtDifficulty,excludedFactions
AL_klistamanas_Standard,0.4,,0.8,0.01,10,,bladeofconviction
AL_klistamanas_Attack,0.4,,0.8,0.01,10,,bladeofconviction
AL_klistamanas_Balanced,0.6,,1.2,0.01,10,,bladeofconviction
AL_klistamanas_Elite,0.6,,1.2,0.01,10,,bladeofconviction
AL_scholar_ils_Standard,4,,,,,,
AL_scholar_ils_Attack,4,,,,,,
AL_scholar_ils_Support,3,,,,,,
AL_frozenyard_Balanced,2,0.5,,-0.05,,,
AL_frozenyard_Attack,2,0.5,,-0.05,,,
AL_frozenyard_il_Elite,1,,2,0.05,,,
AL_frozenyard_il_Attack,2,,4,0.05,,,
AL_brain_attack_Standard,6,,,,,,
AL_brain_attack_Superme,6,,,,,,
AL_brain_attack_Warrior,6,,,,,,
AL_scholar_Assault,3,2,,-0.05,,,
AL_scholar_Attack,3,2,,-0.05,,,
AL_scholar_il_Elite,6,,8,0.1,,,
AL_phasingchimera_Standard,2,,,,,,
AL_phasingchimera_Elite,3,,,,,,
AL_keter_Standard,1,0.25,,-0.025,,,
AL_keter_Attack,1,0.25,,-0.025,,,
AL_keter_Destory,1,0.25,,-0.025,,,
AL_keter_Elite,1,0.25,,-0.025,,,
AL_keter_il_Elite,4,,5,0.05,,,
AL_keter_il_Attack,3,,5,0.05,,,
AL_brain_Support,5,,,,,,
AL_brain_Defend,7,,,,,,
AL_brain_Attack,7,,,,,,
AL_emptiness_Elite,5,,,,,,
AL_referee_Standard,1,,,,,,
AL_referee_Support,1,,,,,,
AL_assistance_Standard,4,,,,,,
AL_jadewat_Attack,12,10,,-0.5,,,
AL_penciller_missile,2,,,,10,,
AL_penciller_Support,2,,,,10,,
AL_academician_Standard,3,,,,,,
AL_academician_Attack,3,,,,,,
