trail,projectile,sprite,minLength,fadeIn,duration,fadeOut,sizeIn,sizeOut,colorIn,colorOut,opacity,textLength,textScroll,randomTextureOffset,distance,dispersion,drift,frameOffsetMult,fadeOnFadeOut,angleAdjustment,additive,velocityIn,velocityOut,randomVelocity,angle,rotationIn,rotationOut,randomRotation,renderBelowExplosions
AL_proton_shot_trail,AL_proton_shot,base_trail_fuzzy,10,0,0,0.2,8,2,"[150,255,255]","[130,255,255]",0.8,250,250,,0,0,1,,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
AL_proton_shot_trail2,AL_proton_shot,base_trail_smooth,10,0,0,0.4,9,3,"[100,255,255]","[130,255,255]",0.6,250,250,,0,0,1,,TRUE,FALSE,TRUE,90,150,0.25,0,45,90,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL_wildfirelhc_shot_trail,AL_wildfirelhc_shot,base_trail_fuzzy,10,0,0,0.6,12,6,"[150,255,255]","[130,255,255]",0.8,250,250,,0,0,1,,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
AL_wildfirelhc_shot_trail2,AL_wildfirelhc_shot,base_trail_smooth,10,0,0,0.5,12,8,"[100,255,255]","[130,255,255]",0.6,250,250,,0,0,1,,TRUE,FALSE,TRUE,60,120,0.5,0,60,120,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL_starimage_shot_trail,AL_starimage_shot,base_trail_fuzzy,10,0,0,0.15,12,4,"[235,215,255]","[130,130,255]",0.8,250,250,,20,0,1,,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
AL_starimage_shot_trail2,AL_starimage_shot,base_trail_smooth,10,0,0,0.4,30,10,"[150,100,255]","[150,50,255]",0.4,250,250,,20,0,1,,TRUE,FALSE,TRUE,60,120,0.5,0,45,90,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL_respector_shot_trail,AL_respector_shot,base_trail_mild,10,0.05,0,0.5,12,5,"[255,220,220]","[250,100,100]",0.6,500,500,,30,0,1,,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
AL_respector_shot_trail_glow,AL_respector_shot,base_trail_zap,10,0,0,0.7,24,48,"[255,40,0]","[100,50,230]",0.6,500,100,,30,0,1,,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
AL_respector_shot_trail_glow2,AL_respector_shot,base_trail_fuzzy,10,0,0,0.5,28,14,"[0,100,255]","[150,50,255]",0.6,500,500,,30,0,1,,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL_spiderpulse_shot_trail,AL_spiderpulse_shot,base_trail_smooth,10,0,0,0.3,12,3,"[100,150,255]","[150,100,255]",0.6,500,500,TRUE,20,0,1,,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
AL_spiderpulse_shot_trail_glow,AL_spiderpulse_shot,base_trail_zap,10,0.1,0,0.4,60,30,"[200,120,255]","[100,0,200]",0.1,1000,250,TRUE,30,0,1,,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
AL_spiderpulse_shard_trail,AL_spiderpulse_shard,base_trail_smooth,10,0,0,0.2,8,2,"[150,100,255]","[100,100,255]",0.4,500,500,TRUE,15,0,1,,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL_fireflushcannon_shot_trail,AL_fireflushcannon_shot,base_trail_smooth,10,0,0.1,0.3,8,4,"[255,220,220]","[255,80,30]",0.25,250,0,,15,0,1,,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
AL_fireflushcannon_shot_trail_glow,AL_fireflushcannon_shot,base_trail_smooth,10,0,0,0.3,8,4,"[255,80,220]","[255,0,180]",0.4,250,0,,15,0,1,,TRUE,FALSE,TRUE,60,150,0.4,0,90,180,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL_fireflushpulse_shot_trail,AL_fireflushpulse_shot,AL_trail_sin,10,0.1,0,0.3,14,7,"[255,220,220]","[255,80,30]",0.2,250,250,,15,0,1,,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
AL_fireflushpulse_shot_trail_glow,AL_fireflushpulse_shot,AL_trail_empty_core,10,0.1,0,0.4,22,11,"[255,150,220]","[255,0,180]",0.5,250,0,,15,0,1,,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
AL_fireflushpulse_shot_trail_glow2,AL_fireflushpulse_shot,base_trail_smooth,10,0,0,0.5,6,3,"[255,220,220]","[255,0,180]",0.3,250,0,,15,0,1,,TRUE,FALSE,TRUE,60,150,0.4,0,90,180,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL_moonlight_as_shot_trail,AL_moonlight_as_shot,base_trail_smooth,10,0,0,0.2,4,1,"[255,150,255]","[200,200,200]",1.0,200,250,,0,0,1,,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
