name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,breakProb,minPieces,maxPieces,hints,tags,rarity,travel drive,number
教诲,AL_techno,,趋光计划-以太,,,350,75,300,,50,0,,250,300,320,120,240,40,OMNI,,140,0,0.6,,,2,2,,,,,,,,,,,,,,,,,,,,18100
悬梁,AL_soulno,,趋光计划-以太,,,350,50,400,,75,0,,200,160,100,100,160,30,OMNI,,300,0,0.6,,,2,2,,,,,,,,,,,,,,,,,,,,18101
锥刺,AL_fireno,,趋光计划-全灵,,,400,75,300,,100,0,,150,120,120,180,100,30,OMNI,,180,0,1,,,1,1,,,,,,,,,,,,,,,,,,,,18102
传火,AL_firelink,,趋光计划-全灵,AL_remoterepairsystem,,300,100,450,,0,0,,200,160,180,180,120,50,PHASE,phasecloak,,,,0,0,1,1,,,,,,,,,,,,,,,,,,,,18102
钉封,AL_heavynail,,趋光计划-全灵,,,750,200,400,,100,0,,150,240,200,120,180,60,PHASE,phasecloak,,,,0,0.1,2,2,,,,,,,,,,,,,,,,,,,,18103
玉琢,AL_damocleser,,趋光计划-全灵,,,500,50,400,,100,0,,225,280,300,160,240,60,OMNI,,120,0,1.2,,,3,3,,,,,,,,,,,,,,,,,,,,18104
挑灯,AL_respector,,趋光计划-以太,,,500,75,600,,100,0,,120,180,180,60,120,40,OMNI,,180,0,1,,,2,2,,,,,,,,,,,,,,,,,,,,18105
烛夜,AL_lightmare,,趋光计划-全灵,,,300,50,400,,50,0,,160,200,200,30,120,40,OMNI,,120,0,1,,,3,3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
教本,AL_textbook,补给舰,趋光计划-以太,displacer,4,1000,350,1200,,200,35,,180,130,100,120,120,150,FRONT,,120,0.3,0.6,,,5,15,75,75,1,,10,12000,20,30,240,0.25,3,3,0.6,3,5,"CIVILIAN,FREIGHTER",alpj_ether_bp,,,18200
玉笏,AL_jadewat,护卫舰,趋光计划-全灵,AL_glowfluxjammer,5,1600,400,3000,,250,45,,130,150,150,100,120,160,OMNI,,210,0.4,0.8,,,10,20,35,30,1,40,10,15000,8,20,210,0.25,5,5,0.6,3,5,,alpj_spirit_bp,,,18202
小生,AL_mumber,护卫舰,趋光计划-全灵,AL_battlemode,6,1400,220,2150,,275,50,,155,220,150,100,320,150,OMNI,,120,0.3,1.0,,,15,25,35,50,1,40,9,20000,10,25,210,0.25,5,5,0.6,3,5,,alpj_spirit_bp,,,18203
助手,AL_assistance,重型相位护卫舰,趋光计划-以太,AL_fluxtransferarray,10,1500,500,4500,,300,40,,150,110,90,50,100,300,PHASE,phasecloak,90,,,0.03,0.06,5,10,75,125,1.5,100,10,40000,10,20,210,0.25,10,10,0.6,3,5,,alpj_ether_bp,,,18204
执笔,AL_penciller,护卫舰,趋光计划-全灵,AL_atomscratch,12,1500,300,3200,,350,50,,160,175,150,120,480,250,FRONT,,270,0.5,0.6,,,5,15,20,50,1,25,10,60000,5,40,180,0.25,12,12,0.6,3,5,,rare_bp,,,18206
小生 (Prime),AL_mumber_prime,护卫舰,至高之辉,AL_battlemode,15,2200,400,4000,,550,90,,155,220,150,100,320,200,OMNI,,120,0.4,0.8,,,15,25,35,50,1,40,9,100000,5,25,720,0.25,12,12,0.6,3,5,,"no_drop, no_bp_drop, restricted",,,18208
院士,AL_academician,护卫舰,趋光计划-以太,AL_tornlight,8,1500,400,2500,,300,65,,140,150,150,75,120,200,OMNI,,210,0.3,0.8,,,15,25,10,10,1,40,9,40000,8,25,270,0.2,6,6,0.6,3,5,,alpj_ether_bp,,,18205
海格力斯,AL_penciller_H,远星护卫舰,趋光改造,AL_displacerHeracles,15,2000,400,4000,,400,70,,160,175,150,120,480,250,FRONT,,300,0.4,0.6,,,10,20,20,50,1,25,10,140000,5,30,180,0.25,20,20,0.6,3,5,,"no_sell, no_bp_drop, no_dealer",,,18207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
叱责,AL_scolder,勘探舰,趋光计划-全灵,microburn,7,3000,400,3000,,200,50,1,40,20,30,25,15,900,OMNI,,270,0.5,1.0,,,25,300,200,150,4,75,10,28000,5,25,270,0.25,10,10,0.6,3,5,"CIVILIAN,FREIGHTER,CARRIER",alpj_spirit_bp,,,18300
代诏,AL_referee,前线航母,趋光计划-以太,reservewing,11,4000,300,4000,,300,70,2,90,60,45,30,30,600,OMNI,,180,0.4,0.8,,,75,150,150,150,2,50,9,25000,3,15,420,0.25,16,16,0.6,3,5,CARRIER,alpj_ether_bp,,,18301
狼毫,AL_whitewolf,驱逐舰,趋光计划-全灵,AL_parsecdisplacer,11,3500,350,6000,,450,95,,100,70,50,30,80,350,OMNI,,120,0.4,0.8,,,40,60,40,50,2,45,10,50000,5,18,360,0.25,12,12,0.6,3,5,,alpj_spirit_bp,,,18302
学士,AL_bachelor,驱逐舰,趋光计划-全灵,AL_crossdimenmaneuver,10,5500,450,6000,,400,110,,80,40,30,25,25,550,FRONT,,270,0.4,0.8,,,70,90,90,90,3,40,10,70000,4,20,300,0.25,14,14,0.6,3,5,,alpj_spirit_bp,,,18303
无涯,AL_emptiness,驱逐舰,趋光计划-全灵,AL_chronitonfield,10,4000,550,5000,,350,90,,100,40,30,30,20,600,FRONT,,220,0.4,1.0,,,60,90,40,40,2,40,9,65000,4,20,420,0.25,12,12,0.6,3,5,,alpj_spirit_bp,,,18305
智脑,AL_brain,渊默驱逐舰,时钟蜕变,AL_callofgodshield,10,5000,700,5500,,400,100,,40,30,15,20,10,1500,OMNI,,360,0.6,0.8,,,20,100,100,100,2,33,9,90000,4,16,300,0.25,12,12,0.1,3,5,,morph_time_bp,,AL_tm_traveldrive,18306
玻色子,AL_boson,相位驱逐舰,趋光计划-全灵,AL_cataclysm,15,4500,400,4000,,420,90,,85,70,60,25,60,400,PHASE,AL_bosonphasecloak,,,,0.05,0.06,40,60,50,65,2,30,9,200000,4,20,180,0.25,25,25,0.6,3,5,PHASE,"rare_bp, restricted",0.1,,18307
狼毫 (Prime),AL_whitewolf_prime,至高驱逐舰,至高之辉,AL_parsecdisplacer,15,6000,600,8000,,600,135,,95,70,50,30,100,400,OMNI,,150,0.5,0.6,,,60,80,40,50,2,45,10,300000,3,18,720,0.25,20,20,0.6,3,5,,"no_drop, no_bp_drop, restricted",,,18309
教谕,AL_discipline,驱逐舰,趋光计划-以太,AL_overflowlight,10,5000,400,8000,,400,100,,90,60,30,30,60,400,FRONT,,210,0.4,1,,,50,70,80,80,2,40,9,45000,5,20,360,0.25,14,14,0.6,3,5,,alpj_ether_bp,,,18304
光恒七,AL_torch,先进驱逐舰,趋光计划-全灵,AL_blastcountdown,15,7777,777,7777,,777,77,,77,63,42,35,56,777,OMNI,,210,0.0995,0.77,,,30,60,100,200,3,70,9,200000,7,21,240,0.25,35,35,0.7,3,7,,restricted,,,18308
树冠,AL_crown,航母,始源灵树,AL_substeprecalldevice,12,7000,600,6000,,400,105,3,60,40,20,15,10,800,OMNI,,180,0.4,0.8,,,150,250,90,60,3,20,8,70000,3,12,360,0.25,25,25,0.6,3,5,CARRIER,alpa_bp,,,18555
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
偏科,AL_oilphaser,相位运输舰,趋光计划-全灵,flarelauncher,6,5000,300,3000,,400,70,,90,70,50,30,60,800,PHASE,phasecloak,120,0.3,0.8,0.03,0.04,50,100,200,400,2,80,10,60000,8,40,360,0.25,9,9,0.6,3,5,"CIVILIAN,TANKER",alpj_spirit_bp,,,18400
