id,type,frame,manitude,map,path
AL_academician,ship,,1,normal,graphics/shaders/ships/normal/AL_academician_normal.png
AL_assistance,ship,,1,normal,graphics/shaders/ships/normal/AL_assistance_normal.png
AL_bachelor,ship,,1,normal,graphics/shaders/ships/normal/AL_bachelor_normal.png
AL_boson,ship,,1,normal,graphics/shaders/ships/normal/AL_boson_normal.png
AL_boss_higgs,ship,,1,normal,graphics/shaders/ships/normal/AL_boss_higgs_normal.png
AL_brain,ship,,1,normal,graphics/shaders/ships/normal/AL_brain_normal.png
AL_brain_attack,ship,,1,normal,graphics/shaders/ships/normal/AL_brain_attack_normal.png
AL_discipline,ship,,1,normal,graphics/shaders/ships/normal/AL_discipline_normal.png
AL_doctor,ship,,1,normal,graphics/shaders/ships/normal/AL_doctor_normal.png
AL_doctoralsupervisor,ship,,1,normal,graphics/shaders/ships/normal/AL_doctoralsupervisor_normal.png
AL_emptiness,ship,,1,normal,graphics/shaders/ships/normal/AL_emptiness_normal.png
AL_euclid,ship,,1,normal,graphics/shaders/ships/normal/AL_euclid_normal.png
AL_euclid_m,ship,,1,normal,graphics/shaders/ships/normal/AL_euclid_m_normal.png
AL_fireno,ship,,1,normal,graphics/shaders/ships/normal/AL_fireno_normal.png
AL_frozenyard,ship,,1,normal,graphics/shaders/ships/normal/AL_frozenyard_normal.png
AL_frozenyard_prime,ship,,1,normal,graphics/shaders/ships/normal/AL_frozenyard_prime_normal.png
AL_granary,ship,,1,normal,graphics/shaders/ships/normal/AL_granary_normal.png
AL_boss_higgs,ship,,1,normal,graphics/shaders/ships/normal/AL_boss_higgs_normal.png
AL_jadewat,ship,,1,normal,graphics/shaders/ships/normal/AL_jadewat_normal.png
AL_keter,ship,,1,normal,graphics/shaders/ships/normal/AL_keter_normal.png
AL_keter_m,ship,,1,normal,graphics/shaders/ships/normal/AL_keter_m_normal.png
AL_laplace,ship,,1,normal,graphics/shaders/ships/normal/AL_laplace_normal.png
AL_laplace_ether,ship,,1,normal,graphics/shaders/ships/normal/AL_laplace_ether_normal.png
AL_lightmare,ship,,1,normal,graphics/shaders/ships/normal/AL_lightmare_normal.png
AL_mumber,ship,,1,normal,graphics/shaders/ships/normal/AL_mumber_normal.png
AL_mumber_prime,ship,,1,normal,graphics/shaders/ships/normal/AL_mumber_prime_normal.png
AL_oilphaser,ship,,1,normal,graphics/shaders/ships/normal/AL_oilphaser_normal.png
AL_penciller,ship,,1,normal,graphics/shaders/ships/normal/AL_penciller_normal.png
AL_phasingchimera,ship,,1,normal,graphics/shaders/ships/normal/AL_phasingchimera_normal.png
AL_postgraduate,ship,,1,normal,graphics/shaders/ships/normal/AL_postgraduate_normal.png
AL_referee,ship,,1,normal,graphics/shaders/ships/normal/AL_referee_normal.png
AL_repairfactory,ship,,1,normal,graphics/shaders/ships/normal/AL_repairfactory_normal.png
AL_repairfactory_bot_left,ship,,1,normal,graphics/shaders/ships/normal/AL_repairfactory_bot_left_normal.png
AL_repairfactory_bot_right,ship,,1,normal,graphics/shaders/ships/normal/AL_repairfactory_bot_right_normal.png
AL_respector,ship,,1,normal,graphics/shaders/ships/normal/AL_respector_normal.png
AL_scholar,ship,,1,normal,graphics/shaders/ships/normal/AL_scholar_normal.png
AL_scholar_i,ship,,1,normal,graphics/shaders/ships/normal/AL_scholar_i_normal.png
AL_scholar_prime,ship,,1,normal,graphics/shaders/ships/normal/AL_scholar_prime_normal.png
AL_scholar_s,ship,,1,normal,graphics/shaders/ships/normal/AL_scholar_s_normal.png
AL_scolder,ship,,1,normal,graphics/shaders/ships/normal/AL_scolder_normal.png
AL_soulno,ship,,1,normal,graphics/shaders/ships/normal/AL_soulno_normal.png
AL_techno,ship,,1,normal,graphics/shaders/ships/normal/AL_techno_normal.png
AL_textbook,ship,,1,normal,graphics/shaders/ships/normal/AL_textbook_normal.png
AL_whitewolf,ship,,1,normal,graphics/shaders/ships/normal/AL_whitewolf_normal.png
AL_whitewolf_prime,ship,,1,normal,graphics/shaders/ships/normal/AL_whitewolf_prime_normal.png
AL_frozenyard_il,ship,,1,normal,graphics/shaders/ships/normal/AL_frozenyard_il_normal.png
AL_keter_il,ship,,1,normal,graphics/shaders/ships/normal/AL_keter_il_normal.png
AL_scholar_il,ship,,1,normal,graphics/shaders/ships/normal/AL_scholar_il_normal.png
AL_scholar_ils,ship,,1,normal,graphics/shaders/ships/normal/AL_scholar_ils_normal.png
