name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,noVent,isPhaseCloak,tags,icon
错维机动,AL_crossdimenmaneuver,,,,,,,,,,0.5,2,0.5,10,,,,,TRUE,,,,,,,,graphics/icons/hullsys/maneuvering_jets.png
骤冷频散模组,AL_approlightflux,,,-0.2,,,,,3,0.0666,0.25,0.625,0.5,6,,,,,,,,,,,,,graphics/icons/hullsys/high_energy_focus.png
反冲量子线圈,AL_chargeshield,,,,,,0.1,,,,1.5,,0.25,15,,,,TRUE,,,,,,,,,graphics/icons/hullsys/AL_chargeshield_ico.png
涡流畸变跃迁,AL_eddydisplacer,,,,,,0.05,,2,0.075,1,,0.5,3,,TRUE,,TRUE,,,,,,,,,graphics/icons/hullsys/displacer.png
裂光位移,AL_tornlight,1,,,,,,,,,0.5,1,1,10,TRUE,,,,,TRUE,TRUE,TRUE,TRUE,,,,graphics/icons/hullsys/burn_drive.png
弧光位移,AL_arclight,1,,,,,,,2,0.05,0.5,1.5,1,7.5,TRUE,,,,,TRUE,TRUE,TRUE,TRUE,,,,graphics/icons/hullsys/burn_drive.png
辉光涉波器,AL_glowfluxjammer,,,,,,0.15,,,,1,,0.2,3,,,TRUE,TRUE,,TRUE,TRUE,,,,,,graphics/icons/hullsys/emp_emitter.png
逐光超算航道,AL_euclidALG,,,,,,,,,,0.5,10,0.5,20,,,,,,,,,,,,,graphics/icons/hullsys/AL_euclidALG.png
紫烁行动方针,AL_purpleprinciple,,,,,,,,,,0,0.1,0.4,0,,,,,,,,,,,,,graphics/icons/hullsys/reserve_deployment.png
灵光战斗模式,AL_battlemode,1,,,,,,,,,1,,1,1,TRUE,,,,,,,,,,,,graphics/icons/hullsys/AL_battlemode.png
秒差距跃迁,AL_parsecdisplacer,,,,,,0.10,,2,0.1,0.25,0,0.25,0.5,,TRUE,,TRUE,,,,,,,,,graphics/icons/hullsys/displacer.png
玻色子相位,AL_bosonphasecloak,,,,,,,,,,0.5,,0.5,2,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,,,,graphics/icons/hullsys/phase_cloak.png
寒霜凝视,AL_freezingwatch,,,,,,0.25,,,,0.5,20,0.5,10,,,,,,,,,,,,,graphics/icons/hullsys/targeting_feed.png
原初堆芯解限,AL_originflux,,,,,,,,,,1,,1,30,TRUE,,,,,,,,,,,,graphics/icons/hullsys/high_energy_focus.png
原子灾变,AL_cataclysm,,,,,,0.35,,,,1.8,,0.1,30,,,,,,,,,TRUE,TRUE,,,graphics/icons/hullsys/quantum_disruptor.png
时空残响,AL_spacetimeecho,1,,,,,,,,,1,15,1,15,,,,,,,,,,,,,graphics/icons/hullsys/AL_spacetimeecho.png
幅能导流阵列,AL_fluxtransferarray,,,,,,,,3,0.05,0.25,,0.25,1,,TRUE,TRUE,,,,,,TRUE,,,,graphics/icons/hullsys/quantum_disruptor.png
上听天意,AL_godswilldriver,,,,,,,,,,0.5,2,1,15,,,,,,,,,,,,,graphics/icons/hullsys/burn_drive.png
呼神护盾,AL_callofgodshield,,,0.02,,,,,,,1.5,,1.5,0,TRUE,,,TRUE,TRUE,,,,,,,,graphics/icons/hullsys/fortress_shield.png
分别我执,AL_separationofobsession,,,,,,0.1,,,,0.5,4,0.5,20,,,,TRUE,,,,,,,,,graphics/icons/hullsys/fortress_shield.png
临界规避驱动,AL_thresholdavoiddriver,1,,,,,,,2,0.05,0.25,2.5,0.25,0,,,,,TRUE,,,,TRUE,TRUE,,,graphics/icons/hullsys/damper_field.png
量子漂移,AL_lapdrift,,,,,,,,3,0.05,3,0,0,3,,,,TRUE,TRUE,,,,,TRUE,,,graphics/icons/hullsys/displacer.png
原子裂痕,AL_atomscratch,,,,,,0.2,,2,0.0667,0.5,0,0.5,3,,TRUE,,TRUE,,,,,,,,,graphics/icons/hullsys/displacer.png
加压临时驱动,AL_pressurizeddriver,1,,,,,0.1,,,,1,4,1,30,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,graphics/icons/hullsys/burn_drive.png
克洛粒子时场,AL_chronitonfield,1,,,,,0.25,,,,4,10,2,16,,,,,,,,,,,,,graphics/icons/hullsys/temporal_shell.png
遥修系统,AL_remoterepairsystem,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,graphics/icons/hullsys/temporal_shell.png
暗野前行,AL_darkwildstalking,,,,,,,,,,1,3,2,5,,,,,,,,,,,,,graphics/icons/hullsys/infernium_injector.png
幅能压限传导器,AL_fluxcompressconductor,,,0.01,,,,,,,0.75,,0.75,0,TRUE,,,TRUE,,,,,,,,,graphics/icons/hullsys/fortress_shield.png
超量溢光,AL_overflowlight,,,0.02,,,,,,,0.5,4,0.5,10,,,,TRUE,,,,,,,,,graphics/icons/hullsys/ammo_feeder.png
离子折返环流,AL_reentrantcirculation,,,,,,0.1,,,,1.5,,0.25,12,,,,TRUE,,,,,,,,,graphics/icons/hullsys/AL_chargeshield_ico.png
原子裂隙,AL_displacerHeracles,,,,,,0.2,,2,0.1,0.5,0,0.5,3,,TRUE,,TRUE,,,,,,,,,graphics/icons/hullsys/displacer.png
分步召回设备,AL_substeprecalldevice,,,,,,0.25,,2,0.06,0.5,,0.5,,,,,,,,,,,,,,graphics/icons/hullsys/recall_device.png
亡者礼赞,AL_darkpraise,1,,,,,,,,,0.25,8,0.25,8,,,,,,,,,,,,,graphics/icons/hullsys/high_energy_focus.png
湮灭计时,AL_blastcountdown,,,0.2,,,,,,,0.5,4,0.5,15,,,,TRUE,,,,,,TRUE,,,graphics/icons/hullsys/AL_crystalblast_ico.png
时钟巡航驱动,AL_tm_traveldrive,1,,,,,,,,,2,,2,0,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,graphics/icons/hullsys/burn_drive.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
