id,type,text1,text2,text3,notes
ApproLight01,CUSTOM,"A planet perfectly transformed covered in a toxic atmosphere. This colony used to be a part of the Hegemony but was taken away by the Tri-Tachyon Corperation and its ownership is still controversial. Under the toxic purple atmosphere, various sealed metropolises are spread across the landscape. The economy of the planet is well developed. The quality of the food and housing is impressive. Nowadays it is a stronghold for the Spectre Nexus, the core department of the Appro-Light Council and the Council's leader, Truth Originem, resides here. Many secretive meetings are held at these strongholds. The Borken Foundation's proprietary facilities, the XI Crystal Aperature, are spread across every city allowing the cities to maintain their way of life.",,"Since the forceful takeover by Tri-Tachyon, the planet has been in a state of controversy. Patriotic fervor erupted as a result of the invasion, and bloodshed often erupted between farmers who supported Tri-Tachyon and city dwellers who were drawn in by the Appro-Light Council. On top of that, the local population is extremely isolated and almost half of the crimes are linked to deep-rooted xenophobic traditions. You see a message repeated on various signs: ""To all independent mercenaries. You are not welcome here. Like it or not, it's your fault."" You suddenly feel very uneasy, and decide to either quickly leave or land, before the Appro-Light patrols make up some excuse to arrest you.",
AL_planet_flameForge,CUSTOM,"An abandoned industrial desert planet. The surface is covered with abandoned facilities and countless habitation domes.
Supposedly many large scale accidents have occured here but the Council remains secretive on such matters. Looking out into the distance there seem to be large holes in the surface that draw the sands into the darkness like a black hole. The desert still holds many secrets, it seems.",,,
AL_planet_imeatheus,CUSTOM,"A militarized mechanical surveillance station originally deployed by the Hegemony in this system, the domain of Ouroboros. But the moment Lin Ouroboros swore allegiance to the Speaker, the planet, which was comparable to a planetary fortress, came under the rule of the Appro-Light Council ever since.

The fortress was named ""Star Circumnavigator"" by the Hegemony. The planet's original traces are still visible, but they are just a few miniature experimental fields scattered among the steel coverings, and even the planet's core has long since been replaced by a K-2 planetary drive.",,A towering enclosure made of an unknown metal blocks the view of all prying eyes. The officers on station give you disquieting looks; it seems that they don't receive visitors often.,
AL_planet_acupuncturePoint,CUSTOM,"A planet that nobody cares about. There are a few pirates living here. When the Appro-Light Council entered the system a burst fog signal generator was set up between the planet and the star leaving the pirates unaware of the council. That is, until the Night Watch was exposed.",,,
AL_unosStation,CUSTOM,"The space station that Ouroboros built when he defected. It is now a massive prison for both the Holy Seeker and Godship, and also a place for the Speaker to conduct non-discriminatory negotiations. The Speaker comes here regularly every month, and almost all the ships in the station are filled with people who want to see him. However, it's questionable if the ""Speaker"" they see is truly himself.",,"You stare at the huge space station, which looks very small compared to the nearby planet, with a feeling of inexpressible shock.",
AL_station_port_Julius,CUSTOM,"This station on the outskirts of the system is the seat of the Grand Duke Julius. With an Appro-Light guard at every airlock and major compartment, as well as multiple battleships resident in the giant dock, this station is undoubtedly one of the most secure locations in the Sector. In addition to hangars, fuel tanks, grain silos, and battery packs, there are plenty of recreational facilities to satisfy the needs of the council's upper echelons, with the Old City especially known for its colorful nightlife.",,"You step onto the connecting bridge of the dock platform and can already see the inner portion of the station radiating multiple large, colorful lights. Although it is still at least five kilometers away, a symphonic sound that you cannot recall the name of is coming from a building not far away, and wonder if this station is even more prosperous than rumored.",
AL_station_tri_detect,CUSTOM,An aquatic space station established by the Tri-Tachyon corporation. It's ostensibly facilitate trade with the council and to announce the existence of the Tri-Tachyon to the Hegemony: No one can touch the council.,,Tri-Tachyon employees are common here and you can clearly see the discontent on their faces.,
,,,,,
Agustin,CUSTOM,"A blue supergiant originally colonized by the Hegemony, and one of the energy sources of the Appro-Light Council. The Borken once joked that this star was their next target for invasion: it almost made lawmakers turn their heads immediately.",,,
AL_planet_seker,CUSTOM,A desert planet near the chaotic fissures with traces of purple storms on the surface. The planet was said to have been marked by the Appro-Light Council before the storms but had to be abandoned due to the opening of the Chaos Rift and the arrival of the Immortal-Light.,,A world engulfed by deserts. Many holes on the surface are willed with strange purple crystals. However some of the holes contain the wreckage of Appro-Light vessels. The purple haze is frightening and seem to be moving.,
