name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
#小型武器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF-PD拒火近防炮,AL_refusingpulse,1,,600,500,375,,,0,40,7,4,0.333,,ENERGY,,315,0.1,0.3,0.6,1,,,,,10000,,,,,,,"PD,ANTI_FTR","pd6,SR,prime_flame_bp",,原火氏族,,点防御,,,,,,,,,,108985
闻火者PD光束,AL_defenderpd,1,,500,450,60,,,0,75,3,,,,ENERGY,,20,0,0.25,,,,,,,2400,,,,,,,PD,"pd7, beam7, SR,  alpj_ether_bp",,趋光计划-以太,,点防御,,,,,,,,,,108991
轻型月火,AL_moonfire_small,1,,500,350,,40,,3,50,3,,,,FRAGMENTATION,4,,0,0.1666,,,0,8,0.5,8,,800,,,20,,,"PD,ANTI_FTR","pd3,SR,hist1t,prime_flame_bp",,原火氏族,,点防御,,,,,,,,,,108971
蛛须炮,AL_spiderpalp,0,,600,450,,60,0,0,25,6,10,2,10,ENERGY,60,,0,0.2,,,1,15,1,5,,1000,,,100,,,,"energy4,alpj_ether_bp",,趋光计划-以太,,压制,,,,,,,,,,108994
点火者鱼雷 (单发),AL_lighter_single,1,,700,1200,,2000,,75,10,1,1,,,HIGH_EXPLOSIVE,0,,0,10,,,0,0,0,0,,575,150,3,400,,,"STRIKE,USE_VS_FRIGATES","strike8, rocket3, alpj_spirit_bp",,趋光计划-全灵,,鱼雷,,,,,,,火蚀: [共 %s 伤害 /持续 %s 秒 /作用半径 %s /触发概率 %s ] ,1000 | 4 | 80 | 100%,TRUE,108997
#战机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
无火者反防御航弹,AL_nihilitymissile,,,,1200,,500,,50,30,1,1,,,ENERGY,0,,0,1,1,,0,0,0,,,700,300,3,200,,,"GUIDED_POOR, DO_NOT_AIM, SYSTEM",,,趋光计划-以太,,反护盾,非常快,无,,,"命中护盾时，附加 %s 秒的 [%s] 效果。
[%s]
护盾在命中点周围 %s 度范围内受到的伤害增加 %s ，该增伤不可叠加。",3 | 护盾失衡 | 护盾失衡 | 30 | 20%,,,TRUE,108987
震慑者 SRM(战机),AL_thunder_fighter,,,,500,,1000,,50,,,1,0,,ENERGY,0,,0,6,1,,0,0,0,0,,550,400,1.5,250,,,"DO_NOT_AIM,SYSTEM",,,,,终结打击,非常快,优秀,,,"击中目标后，在 %s 秒内，目标受到的EMP及能量伤害提高 %s 。
以上效果不可叠加。",3 | 10%,,,,
PF-蓝鸥火箭发射器(战机),AL_bluegull_fighter,,,,1500,,100,,5,30,,,,,ENERGY,0,,0,5,4,,5,25,5,10,,550,50,3.5,50,,,SYSTEM,,,,,压制,,,,,,,,,,
PF-销钉光束,AL_dowelbeam,,,,400,100,,400,0,,,,,,ENERGY,,0,0,0.25,,,,,,,1200,,,,,,,"SYSTEM,PD,ANTI_FTR",,,,,瘫痪,,,,,,,,,,
PF-左翼焰刃离子枪,AL_fbig_ftr_l,,,,500,,50,20,,30,,,,,ENERGY,10,,0,0.7,3,0.1,1,6,1,2,,800,,,,,,SYSTEM,,,,,压制,,,,,,,火蚀: [共 %s 伤害 /持续 %s 秒 /作用半径 %s /触发概率每 %s 秒 %s] ,75 | 2 | 25 | 0.1 | 10%,,
PF-右翼焰刃离子枪,AL_fbig_ftr_r,,,,500,,50,20,,30,,,,,ENERGY,10,,0,0.7,3,0.1,1,6,1,2,,800,,,,,,SYSTEM,,,,,压制,,,,,,,火蚀: [共 %s 伤害 /持续 %s 秒 /作用半径 %s /触发概率每 %s 秒 %s] ,75 | 2 | 25 | 0.1 | 10%,,
月火AS,AL_moonfire_as,,,,600,,50,,20,30,,,,,KINETIC,50,,0,0.5,,,0,4,1,1,,800,,,20,,,SYSTEM,,,,,压制,,,,,,,,,,
蛛须炮(战机),AL_spiderpalp_fighter,,,,450,,50,0,0,25,,,,,ENERGY,25,,0,0.333,,,0,2,1,5,,1000,,,100,,,SYSTEM,,,,,压制,,,,,,,,,,108994
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#中型武器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二位激光,AL_explodebeam,1,,2250,900,100,,,0,15,8,,,,ENERGY,,60,0.5,0.5,,,,,,,10000,,,,,,,FIRE_WHEN_INEFFICIENT,"beam12,LR,alpj_spirit_bp",,趋光计划-全灵,,压制,,,,,%s 座及以上的二位激光照射同一舰船时，暂时降低该舰船的 %s 伤害抗性 (护盾 %s / 船体 %s )，不可叠加。,2 | 能量 | 15% | 5%,火蚀: [共 %s 伤害 /持续 %s 秒 /作用半径 %s /触发概率每 %s 秒 %s] ,100 | 1 | 30 | 0.1 | 10%,,108999
暴火预瞄光束炮,AL_precollimation,2,,3000,600,800,,,0,15,12,3,0.15,,HIGH_EXPLOSIVE,,640,0.5,0.25,0.75,1,,,,,8000,,,,,,,"STRIKE, USE_VS_FRIGATES","beam6,strike12,alpj_spirit_bp",,趋光计划-全灵,,反装甲,,,,,"无伤害光束瞄准 %s 秒后再造成 %s 秒的伤害。伤害的穿甲力是面板的 %s 倍。
命中敌舰时，有概率触发带有火蚀及相同EMP伤害的穿盾电弧：
基础触发概率为火蚀的触发概率，而穿盾的概率会在此基础上乘以对方硬幅能水平。",1 | 0.5 | 2 | 0.1,火蚀: [共 %s 伤害 /持续 %s 秒 /作用半径 %s /触发概率每 %s 秒 %s] ,200 | 2 | 30 | 0.1 | 75%,,108975
蛛网脉冲炮,AL_spiderpulse,1,,1500,700,,50,0,0,25,10,,,,ENERGY,40,,0,0.5,,,2,10,2,30,,1000,,,100,,,,"energy10,alpj_ether_bp,AL_sbpUpgradable",,趋光计划-以太,,反护盾,,,,,"每个射弹会携带 %s 个伤害为 %s 的伴生射弹。
若舰船已安装 %s ，携带射弹数量 %s 。",1~3 | 5 | 跃光幻影弹链 | +2,,,,108994
点火者鱼雷发射器,AL_lighter,1,,1200,1600,,2500,,75,20,10,6,,,HIGH_EXPLOSIVE,0,,0,12,1,,0,0,0,0,,600,150,3,400,,,STRIKE,"rocket8,strike15,alpj_spirit_bp",,趋光计划-全灵,,鱼雷,非常快,无,,,,,火蚀: [共 %s 伤害 /持续 %s 秒 /作用半径 %s /触发概率 %s ] ,1000 | 4 | 80 | 100%,TRUE,108997
支配者 SRM 发射舱,AL_ruler_med,1,,1200,1500,,150,,20,10,10,60,,,KINETIC,0,,0,5.6,2,0.4,0,0,0,,,350,100,5,150,,,"GUIDED_POOR, DO_NOT_AIM","missile14,strike8,alpj_ether_bp",,趋光计划-以太,,反护盾,较慢,普通,,,"命中同一目标每 %s 次都会触发一次 [%s]，使目标在 %s 秒内降低 %s 机动性及最大航速(逐渐衰减/不可叠加)。
若舰船已安装 %s ，[%s]触发时，根据目标硬幅能水平随机产生一道 %s EMP/能量伤害的 %s。",4 | 支配锁定 | 4 | 50% | 趋光链式升级 | 支配锁定 | 300 | 穿盾电弧,,,,108995
定罪者 MIRV 发射器,AL_condemnpod,1,0.5,1500,2000,,1000,,75,10,12,9,,,HIGH_EXPLOSIVE,0,,0,10,1,0,0,0,0,,,450,300,6,400,,,"GUIDED_POOR, DO_NOT_AIM","missile15,alpj_spirit_bp",,趋光计划-全灵,,终结打击,较快,较差,,,击中目标结构或装甲时，造成 %s 于目标当前结构值的能量伤害。,5%,,,TRUE,108995
震慑者 MRM 发射舱,AL_thunderpod,1,0.25,1750,2500,,1250,,50,15,12,4,0.0166,,ENERGY,0,,0,10,1,,0,0,0,0,,600,0,5,250,,,"DO_NOT_AIM, CONSERVE_2","utility14,missile10,strike8,alpj_spirit_bp",,趋光计划-全灵,,压制,非常快,优秀,,,"击中目标后，在 %s 秒内，目标受到的EMP及能量伤害提高 %s 。
以上效果不可叠加。",3 | 10%,,,TRUE,108973
PF-崇火恒星炮,AL_respectorcannon,2,0.5,2000,700,,800,400,0,12,15,,,,ENERGY,1120,,0.8,2.4,1,,0,0,0,0,,1200,,,,,,,"enegy14,prime_flame_bp,AL_sbpUpgradable",,原火氏族,,反装甲,,,,,"%s 触发时，对结构造成 %s ~ %s 倍于火蚀伤害的持续伤害。
若舰船已安装 %s ，该武器的射弹不再触发该插件的效果，但其伤害将提高 %s 。",火蚀 | 0.4 | 0.6 | 跃光幻影弹链 | 25%,火蚀: [共 %s 伤害 /持续 %s 秒 /作用半径 %s /触发概率 %s ] ,400 | 2 | 60 | 100%,,1089931
崇火者三联激光,AL_respectbeam,1,,1750,900,200,0,0,0,20,12,,,,ENERGY,,120,0.1,0.1,,,,,,,2400,,,,,,,,"beam9,alpj_spirit_bp",,趋光计划-全灵,,远程支援,,,,,击中目标时，每 %s 秒，根据自身幅能水平，有最高 %s 的概率释放一道 %s 能量伤害且不具有EMP的可穿盾电弧。,0.5 | 50% | 200,,,,108993
雷火者曲速轨道炮,AL_railgun,3,0.5,2500,800,,150,100,0,20,14,,,,ENERGY,240,,0.25,0.75,1,,0,4,1,1,,1000,1000,,,,,,"energy14,alpj_ether_bp",,趋光计划-以太,,通用,,,,,到达最大射程时， 伤害能上升至 %s 倍。,2,,,,108986
追火者星象炮,AL_starimage,2,,2000,800,,250,,50,10,12,,,,HIGH_EXPLOSIVE,300,,0,1,1,,0,5,3,2,,1000,,,300,,,,"he8,alpj_ether_bp",,趋光计划-以太,,反装甲,,,,,,,,,,108981
重型月火,AL_moonfire_medium,2,,1750,800,,50,,30,30,12,,,,KINETIC,50,,0,0.25,,,2,8,2,4,,800,,,20,,,,"kinetic14,hist1t,prime_flame_bp",,原火氏族,,反护盾,,,,,[%s]有 %s 的概率伤害提高至 %s 。,火蚀 | 50% | 150,火蚀: [共 %s 伤害 /持续 %s 秒 /作用半径 %s /触发概率 %s ] ,50 | 1 | 30 | 10%,,108970
流火者双联火炮,AL_fireflushcannon,1,,1250,700,,20,,,20,8,45,5,15,ENERGY,20,,0,0.1,,,0,10,1,15,,800,,,100,,,,"energy10,prime_flame_bp",,原火氏族,,反装甲,,,,,[%s]有 %s 的概率伤害提高至 %s 。,火蚀 | 50% | 200 ,火蚀: [共 %s 伤害 /持续 %s 秒 /作用半径 %s /触发概率 %s ] ,100 | 1 | 30 | 25%,,108994
荒火者质子机炮,AL_protoncollider,2,,1000,700,,200,100,0,15,12,60,2.5,20,FRAGMENTATION,50,,0,0.2,,,2,6,2,6,,700,,,200,,,,"energy6,kinetic7,alpj_ether_bp",,趋光计划-以太,,瘫痪,,,,,"开火初期射速 %s ，精准度 %s 。连续开火可以恢复射速和精准度，同时基础射程逐渐上升 %s (到达峰值需要 %s 秒)
命中目标时根据目标硬幅能水平，最多有 %s 的概率产生 %s ，造成 %s EMP。",减半 | 极差 | 100 | 4 | 20% | 穿盾电弧 | 200 | 近炸引信,,,,108866
星火者双管高射炮,AL_starflak_medium,1,,1250,600,,90,,0,30,10,,,,FRAGMENTATION,30,,,0.25,,,1,10,2,1,,600,,,,,,"PD,PD_ALSO,ANTI_FTR","utility7,prime_flame_bp",,原火氏族,,反战机 (范围),,,,,,,,,,108866
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#大型武器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
斩火超距炮,AL_chopfire,3,,7500,1100,,750,,500,10,28,,,,ENERGY,1200,,1,2,,,0,0,0,0,,1500,,,500,,,,"energy16,LR,alpj_ether_bp",,趋光计划-以太,,远程支援,,,,,,,射弹命中后会 %s 目标。,击退,,108992
环火雷云炮,AL_electricalcannon,3,0.25,12500,800,,500,,1500,5,35,,,,ENERGY,3000,,2,8,,,0,0,0,0,,700,,,,,,DO_NOT_CONSERVE,"energy18,alpj_ether_bp",,趋光计划-以太,,反舰艇,,,,,"目标战舰体积越大， %s 覆盖范围越大，持续约 %s 秒。
%s 每 %s 秒对笼罩的单位造成 %s 的能量伤害(无视 %s 最大装甲减伤)， 但这些单位会逐渐产生针对 %s 的伤害抗性(伤害最多减少 %s )，一段时间后抗性自动消失。",电子云 | 2 | 电子云 | 0.1 | 160x2/320 | 50% | 电子云 | 75%,,,,108992
点火者巨型鱼雷发射架,AL_lighter_large,2,,5000,1600,,2500,,75,10,26,24,,,HIGH_EXPLOSIVE,0,,0,13.5,3,0.5,0,4,1,1,,600,250,3,400,,,STRIKE,"rocket15,strike18,alpj_spirit_bp",,趋光计划-全灵,,鱼雷,非常快,无,,,,,火蚀: [共 %s 伤害 /持续 %s 秒 /作用半径 %s /触发概率 %s ] ,1000 | 4 | 80 | 100%,TRUE,108990
蛛网聚合弹发射器,AL_spiderpod,1,,3500,6000,,1500,3000,100,15,18,9,0.025,,ENERGY,0,,1,9,1,,0,0,0,0,,250,100,30,1000,,,"DO_NOT_AIM,DO_NOT_CONSERVE,HEATSEEKER","missile16,pd4,alpj_spirit_bp",,趋光计划-全灵,,反点防御,普通,较差,,,"聚合弹周围会逐渐生成环绕的伴生导弹，上限 %s 个。
伴生导弹能造成 %s 能量+ %s EMP伤害，结构值为 %s 。",10 | 50 | 300 | 100,,,TRUE,108988
举火净空炮,AL_pulsecannon,2,,6000,800,,125,,200,12,20,,,,ENERGY,75,,0,1.45,8,0.15,0,18,1.5,2,,650,,,,,,"PD,PD_ALSO","energy15,pd18,alpj_ether_bp",,趋光计划-以太,,反战机 (范围),,,,,"由于每一枚离子射弹的构成均不稳定，导致其会在任意距离内爆炸。

如果射程内没有敌舰，则优先瞄准来袭的导弹。",,,,,108984
PF-奥创聚能炮,AL_ultrabeam,3,0.25,50000,1000,1440.4,,,0,5,40,2,0.05,,HIGH_EXPLOSIVE,,1200,1.5,1,2.5,5,,,,,100000,,,,,,,STRIKE,"he18,beam12,LR,prime_flame_bp",,原火氏族,,绝杀,,,,,"超过一门同时发射会产生对 %s 造成少量EMP及能量伤害的电弧。
目标船体被该光束持续照射期间，附加[%s]状态，装甲与结构受到伤害 x %s 。",自身 | 装甲易损 | 1.1,火蚀: [共 %s 伤害 /持续 %s 秒 /作用半径 %s /触发概率每 %s 秒 %s] ,300 | 4 | 100 | 0.1 | 30%,,108980
PF-E未熄光束炮,AL_dyingblazebeam,3,,7500,1000,2717,,,0,8,25,,,,ENERGY,,2500,0.25,0.25,0.8,6.2,,,,,5000,,,,,,,,"beam16,LR,prime_flame_bp",,原火氏族,,终结打击,,,,,"击中目标船体/装甲时，目标结构越低，造成伤害越高，最多提高 %s 伤害。
与此同时，目标船体被该光束持续照射期间，附加[%s]状态，移除 %s 的装甲最小减伤。",50% | 核心易损 | 75%,火蚀: [共 %s 伤害 /持续 %s 秒 /作用半径 %s /触发概率每 %s 秒 %s] ,300 | 1 | 40 | 0.1 | 30%,,108978
震慑工厂,AL_thunder_factory,2,0.5,5000,3000,,1250,,50,12,25,10,0.05,,ENERGY,0,,0,5,1,0,0,0,0,0,,600,0,6,250,,,"DO_NOT_AIM,DO_NOT_CONSERVE","utility18,missile17,strike10,alpj_spirit_bp",,趋光计划-全灵,,压制,非常快,优秀,,,"击中目标后，在 %s 秒内，目标受到的EMP及能量伤害提高 %s 。
以上效果不可叠加。",3 | 10%,,,TRUE,108972
繁星月火,AL_moonfire_large,3,0.5,8000,800,,400,,300,10,27,,,,HIGH_EXPLOSIVE,400,,0,0.6666,,,0,4,1,2,,800,,,20,,,,"he18,hist2t,prime_flame_bp",,原火氏族,,反装甲,,,,,命中目标时有 %s 的概率产生少量热诱弹。,50%,火蚀: [共 %s 伤害 /持续 %s 秒 /作用半径 %s /触发概率 %s ] ,400 | 3 | 60 | 20%,,108969
斩火权杖,AL_rodsfromchopper,3,0.1,12500,1000,,1000,,500,5,35,,,,ENERGY,1600,,1.25,3.75,,,0,0,0,0,,1800,,,,,,STRIKE,"energy18,LR,alpj_ether_bp",,趋光计划-以太,,远程支援,,,,,"命中船体或装甲时，直接触发 %s 。
命中护盾时根据目标硬幅能水平，最高有 %s 概率触发 %s 。
[%s]:
目标舰船强制过载 %s 秒，并对命中点之后的船体造成每 %s 距离 %s 的 %s 伤害与 EMP。",离子撕裂 | 25% | 离子撕裂 | 离子撕裂 | 0.5 | 50 | 250 | 能量,射弹命中后会 %s 目标。,击退,,108865
流光业火,AL_fireflushpulse,2,,5000,800,,300,,20,10,25,,,,ENERGY,300,,0,0.75,,,1,8,2,4,,900,,,20,,,,"energy16,prime_flame_bp",,原火氏族,,通用,,,,,%s 触发时，对结构造成 %s ~ %s 倍于火蚀伤害的持续伤害。,火蚀 | 0.2 | 0.4,火蚀: [共 %s 伤害 /持续 %s 秒 /作用半径 %s /触发概率 %s ] ,300 | 2 | 50 | 25%,,108864
蛛皇镭射,AL_spiderlaser,2,,6000,900,,100,,20,12,27,,,,ENERGY,100,,0.3,0.7,6,0.1,1,6,2,8,,1000,,,20,,,,"energy18,alpj_ether_bp,AL_sbpUpgradable",,趋光计划-以太,,通用,,,,,"每个射弹会携带 %s 个能量伤害为 %s 的伴生射弹。
主射弹击中船体时，有 %s 的概率产生一次造成 %s EMP 的电弧。
若舰船已安装 %s ，携带射弹数量 %s 。",2~4 | 5 | 10% | 500 | 跃光幻影弹链 | +2,,,,108864
定罪者 MIRV 发射台,AL_condemnlarge,2,0.5,5000,2000,,1000,,75,6,30,24,,,HIGH_EXPLOSIVE,0,,0,14,3,0.5,0,0,0,,,450,300,6,400,,,"GUIDED_POOR, DO_NOT_AIM","missile18,alpj_spirit_bp",,趋光计划-全灵,,终结打击,较快,较差,,,击中目标结构或装甲时，造成 %s 于目标当前结构值的能量伤害。,5%,,,TRUE,108995
荒火撞器,AL_wildfirelhc,2,,7000,800,,400,,0,15,24,40,2,20,FRAGMENTATION,100,,0,0.25,,,2.5,10,2.5,10,,800,,,200,,,,"energy15,kinetic14,alpj_ether_bp",,趋光计划-以太,,瘫痪,,,,,"开火初期射速 %s ，精准度 %s 。连续开火可以恢复射速和精准度，同时基础射程逐渐上升 %s (到达峰值需要 %s 秒)
命中目标时根据目标硬幅能水平，最多有 %s 的概率产生 %s ，造成 %s EMP。
射弹具备 %s 。",减半 | 极差 | 100 | 4 | 20% | 穿盾电弧 | 400 | 近炸引信,,,,108866
斩火之剑,AL_bladeofcleavingfire,3,0.5,8000,1000,1200,,,0,5,25,,,,ENERGY,,1600,1,0.25,0.25,4.75,,,,,10000,,,,,,,FIRE_WHEN_INEFFICIENT,"energy20, beam14, LR, rare_bp",,趋光计划-以太,,通用(范围),,,,,"先发射小股光束牵引，随后爆发能量洪流。
洪流命中物体后产生一次爆炸，造成 %s 能量伤害。",800,,,,27
