name,gender,usage,category
,,,
Beat,m,f,kocsuckers
Beef,m,f,kocsuckers
Big,m,f,kocsuckers
Blast,m,f,kocsuckers
Bob,m,f,kocsuckers
Bolt,,f,kocsuckers
Brick,m,f,kocsuckers
Bridge,,f,kocsuckers
Buck,m,f,kocsuckers
Buff,m,f,kocsuckers
Butch,m,f,kocsuckers
Crud,m,f,kocsuckers
Crunch,,f,kocsuckers
Dirk,m,f,kocsuckers
Fist,m,f,kocsuckers
Flint,m,f,kocsuckers
Gristle,m,f,kocsuckers
Hack,,f,kocsuckers
Hold,,f,kocsuckers
Lump,m,f,kocsuckers
Punch,m,f,kocsuckers
Punt,m,f,kocsuckers
Rip,m,f,kocsuckers
Roll,,f,kocsuckers
Slab,m,f,kocsuckers
Slate,m,f,kocsuckers
Smash,m,f,kocsuckers
Smoke,m,f,kocsuckers
Splint,,f,kocsuckers
Stump,m,f,kocsuckers
Thick,m,f,kocsuckers
Touch,,f,kocsuckers
,,,
Beefbroth,,l,Beefbroth
Beefknob,,l,Beefknob
Bigflank,,l,Bigflank
Blastbody,,l,Blastbody
Blowfist,,l,Blowfist
Bonemeal,,l,Bonemeal
Bulkhead,,l,Bulkhead
Buttsteak,,l,Buttsteak
Chesthair,,l,Chesthair
Deadlift,,l,Deadlift
Drinklots,,l,Drinklots
Fistcrunch,,l,Fistcrunch
Fizzlebeef,,l,Fizzlebeef
Hardback,,l,Hardback
Hardcheese,,l,Hardcheese
Hardmeat,,l,Hardmeat
Hardpec,,l,Hardpec
Ironstag,,l,Ironstag
Johnson,,l,Johnson
Junkman,,l,Junkman
Lampjaw,,l,Lampjaw
Largemeat,,l,Largemeat
Manmuscle,,l,Manmuscle
McLargehuge,,l,McLargehuge
McRunfast,,l,McRunfast
McThornbody,,l,McThornbody
Plankchest,,l,Plankchest
Punchmeat,,l,Punchmeat
Rockbone,,l,Rockbone
Rockgroin,,l,Rockgroin
Rustrod,,l,Rustrod
Sideiron,,l,Sideiron
Slabrock,,l,Slabrock
Slagcheek,,l,Slagcheek
Slamchest,,l,Slamchest
Speedchunk,,l,Speedchunk
Squatthrust,,l,Squatthrust
Steakface,,l,Steakface
Thickneck,,l,Thickneck
Vanderhuge,,l,Vanderhuge
