name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sabrina Borer,drone_GM_Borer,,GMDA Series,,,150,25,200,,100,,,250,400,400,185,300,5,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Talon (GM),talon_GM,,GMDA Series,flarelauncher_fighter,,215,25,400,,100,0,,400,400,300,150,300,10,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Broadsword (GM),broadsword_GM,,GMDA Series,,,425,85,500,,150,0,,200,400,350,90,180,30,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,2000
Thunder (GM),thunder_GM,,GMDA Series,,,225,55,850,,100,0,,300,600,500,150,300,30,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,2001
Gladius (GM),gladius_GM,,GMDA Series,flarelauncher_fighter,,500,55,200,,50,0,,300,400,300,150,300,40,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,2002
Piranha (GM),piranha_GM,,GMDA Series,,,400,75,200,,100,0,,175,200,200,40,120,30,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,105
Extinguisher Drone (GMFS),drone_borer_GMFS,,GMFS Series,,,200,25,200,,100,,,100,200,200,180,360,5,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,1.5
Warthog (GMFS),warthog_GMFS,,GMFS Series,flarelauncher_fighter,,750,200,200,,100,0,,130,180,150,100,200,40,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,110
Perdition (GMFS),perdition_GMFS,,GMFS Series,flarelauncher_fighter,,600,150,400,,100,0,,85,120,150,100,200,40,NONE,,0,0,0,,,4,4,,,,,,,,,,,,,,,,,,,,,,0,,,,110
Talon (GMHS),talon_GMHS,,GMHS Series,flarelauncher_single,,400,75,400,,100,0,,325,400,300,150,300,10,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,100
Broadsword (GMHS),broadsword_GMHS,,GMHS Series,flarelauncher_single,,750,150,400,,100,0,,200,400,350,90,180,30,NONE,,0,0,0,,,3,3,,,,,,,,,,,,,,,,,,,,,,0,,,,104
Gladius (GMHS),gladius_GMHS,,GMHS Series,flarelauncher_single,,1000,200,400,,100,0,,300,400,300,150,300,40,NONE,,0,0,0,,,4,4,,,,,,,,,,,,,,,,,,,,,,0,,,,109
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kite (GM),kite_GM,Scout Vessel,GMDA Series,emp_gmda,4,950,165,1600,1000,85,25,,120,150,75,45,85,120,FRONT,,120,0.4,0.6,,,15,30,30,15,1,15,10,5000,5,20,180,0.25,4,4,,,,,,,,gmda_base_bp,,0.75,2,2,,313.5
Rushcutter (GM),vigilance_GM,Gunship,GMDA Series,shiftjets,6,2500,800,2000,1625,160,50,,130,120,100,45,90,120,FRONT,,90,0.6,1,,,20,25,40,25,1,25,10,13000,8,10,240,0.25,6,6,,,,,,,,gmda_base_bp,,0.5,2,2,,208.5
Cerberus (GM),cerberus_GM,Escort Frigate,GMDA Series,shiftjets,5,2500,400,1250,1875,150,40,1,110,100,75,60,120,300,NONE,,0,0,0,,,40,50,40,20,1,20,10,10000,8,10,240,0.25,4,4,,,,,,,CARRIER,gmda_base_bp,,0.3,2,2,,213.5
Gremlin (GMHQ),gremlin_GM,Phase Frigate,GMDA Series,highenergyfocus,6,1000,300,1200,2000,160,35,,90,120,90,45,90,200,PHASE,phasecloak,90,,,0.06,0.06,10,15,5,10,1,10,9,28000,10,20,180,0.25,6,6,,,,,,,,gmda_base_bp,,0.5,2,2,,228
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
