id,variant,tags,tier,rarity,fleet pts,op cost,formation,range,attackRunRange,attackPositionOffset,num,role,role desc,refit,base value,,,,,,,,,,,,,number
drone_GM_borer_wing,drone_GM_Borer_std,"no_drop, no_sell, high",3,,6,0,BOX,0,200,,3,SUPPORT,Point Defense,20,6000,,,,,,,,,,,,,19
talon_GM_wing,talon_GM_std,"interceptor1, interceptor, low, gmda_bp",1,,3,4,V,4000,200,600,4,INTERCEPTOR,Interceptor,10,3000,,,,,,,,,,,,,6
broadsword_GM_wing,broadsword_GM_Support,"interceptor3, interceptor, high, gmda_bp",2,,6,8,V,8000,500,,3,INTERCEPTOR,Medium Interceptor,10,8000,,,,,,,,,,,,1.1,
gladius_GM_wing,gladius_GM_fighter,"fighter4, fighter, mid, gmda_bp",2,,6,12,V,4000,500,,2,FIGHTER,Specialized Fighter,15,10000,,,,,,,,,,,,3.1,
thunder_GM_wing,thunder_GM_support,"bomber3, bomber, low, gmda_bp",2,,6,8,V,4000,2000,750,2,BOMBER,EMP Bomber,15,9000,,,,,,,,,,,,5.1,
piranha_GM_wing,piranha_GM_std,"bomber3, bomber, low, gmda_bp",1,,3,12,V,4000,2000,300,3,BOMBER,Anti-Armour Bomber,15,7000,,,,,,,,,,,,,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
talon_GMHS_wing,talon_GMHS_std,"no_drop, no_sell, mid",2,,3,2,V,1000,200,600,4,INTERCEPTOR,Support Fighter,10,10000,,,,,,,,,,,,,
broadsword_GMHS_wing,broadsword_GMHS_std,"no_drop, no_sell, mid",2,,6,8,V,1000,500,,3,FIGHTER,Support Fighter,20,10000,,,,,,,,,,,,,
gladius_GMHS_wing,gladius_GMHS_std,"no_drop, no_sell, mid",3,,6,6,V,1000,500,300,2,FIGHTER,Support Fighter,30,10000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
borer_GMFS_wing,drone_borer_GMFS_std,"no_drop, no_sell, low",2,,4,3,BOX,1000,500,,6,INTERCEPTOR,Support Drone,5,1500,,,,,,,,,,,,,18
warthog_GMFS_wing,warthog_GMFS_std,"no_drop, no_sell, low",2,,8,26,CLAW,1000,500,-400,3,FIGHTER,Support Fighter,10,9000,,,,,,,,,,,,,4
perdition_GMFS_wing,perdition_GMFS_std,"no_drop, no_sell, low",3,,3,20,V,1000,2000,600,2,FIGHTER,Support Fighter,15,4000,,,,,,,,,,,,,10
