id,type,text1,text2,text3,notes
drone_GM_Borer,SHIP,"This derivative of the Borer Drone has the engines overtuned, additional weapon systems installed into the frame, and a Tactical Weapon Intergation Terminator unit, known colloquially as a TWIT unit. While light, fragile, packing admittedly weak weaponry, and still unable to move far form the parent vessel, these drones work as moderately effective point defense.",,,
talon_GM,SHIP,"An analogue of the Talon, this flight craft is just as fragile but blisteringly fast. The vulcan cannon is replaced by a Bluebottler Gun, enabling the ship to pressure and disrupt enemy formations. However the validity of a suppression role for an interceptor as frighteningly light as the Talon (GM) is up for debate, even with the flare system.",,,
broadsword_GM,SHIP,"The Lurgi Suppression Beam, a laser like device that had all the stopping power of a Tractor Beam within a reasonably sized assembly, was considered to be a perfect pursuit weapon for the Authority. However, difficulties in attaching it to proper frigate sized pursuit vessels were problematic. Instead, the engineers at G&M decided to build the weapon, then construct a suitably robust fighter frame around it. The Broadsword hull turned out to be the perfect frame, producing an effective long-range interceptor and a brilliant disruptor of fighter formations. However, this fighter was designed to be used in a supportive role; without proper assistance the GM Broadsword is nothing more than an annoying bullet magnet.",,,
thunder_GM,SHIP,"Based on the Thunder fighter hull, the Grytpype and Moriarty Thunder is a harassment bomber, able to strafe targets quickly and disable weapons systems after first dropping a payload of highly electronically disruptive unguided Dumb Bludknock Chasers. Against foes who are even transiently aware of it, however, the Thunder (GM) is not suited for continued maintenance of structural integrity longer than thirty one seconds.",,,
gladius_GM,SHIP,"The Grytpype and Moriarty Gladius is designed specifically for an anti-fighter role, but since expanded into a dominant all round fighter option. Armed with two of the famed and inscrutable Henry Crun Fighter Disrupter (and High Strength Grime Remover) Gun and an ion cannon, this fighter can turn enemy fighters and missiles into glitteringly clean fragments in space with frightening efficiency. Against larger targets this platform proves disappointing.",,,
piranha_GM,SHIP,"A simple conversion of the Piranha, the Piranha (GM) removes the bomb bays and replaces it with three Breach SRM missiles. While the armour integrity of the craft is best described as 'existent', the bomber can nevertheless strip prone enemies of armour in continued engagements, enabling follow-up strikes by Thunder (GM)s to pack a considerably greater punch.",,,
,,,,,
drone_borer_GMFS,SHIP,"A simple and straightforward conversion of the Borer drone for the Shepherd (GMFS), this craft packs a Louix Flame Suppression system to contain fires and hull breaches on ships, and a Milton signalgun as an impromptu welder. An excellent assistant for ship repair and recovery, in combat it is useful for little more than annoying enemy craft.",,,
warthog_GMFS,SHIP,"Requiring a craft to assist in repair and recovery operations of the Gemini (GMFS), the Fire Service turned to the sturdy Warthog chassis. With heavy armour to protect the crew and repair and retrieval equipment, the Warthog (GMFS) could get to high risk regions and mitigate damage to ships and retrieve key items from wrecks. In combat the Milton Welding torch and signalguns can be utilised to chew through enemy armour, however the craft lacks the speed, power and reach to have a significant impact.",,,
perdition_GMFS,SHIP,"Requiring a large chassis to attach a lot of salvage and repair equipment, the GMFS turned to the Perdition. Stripping out the Hammer launcher and applying ludicrous amounts of armour along with the tools and equipment necessary for salvage and repair, the Perdition (GMFS)  could enter into extremely hazardous areas and perform its duties without the loss of the craft. In combat this craft possesses Milton Signalguns for point-defense, and a Pomsom Blaster for self-defense, making it an effective wingman for combined fighter operations.",,,
talon_GMHS,SHIP,"While the Mudskipper (GMHS) is packed with medical equipment, there was very little room for defensive capabilities. Unable to attach weapons to the ship, the GMHS instead attached them to the Talons they were using as rescue and retrieval shuttles. In order to guarantee that their patients would comply, and that the main craft would remain safe, these Talons were given an inordinate amount of improved weaponry.",,,
broadsword_GMHS,SHIP,"With the Nebula (GMHS) vulnerable to attack, significant responsibility for the defense of the craft, as well as enforcing the mercy of the GMHS on unwilling patients fell onto the rescue shuttles. These shuttles were replaced with significantly improved Broadswords that possess the ability to nimbly retrieve patients, as well as ensure these patients come quietly.",,,
gladius_GMHS,SHIP,"Less a rescue shuttle and more a sledgehammer of authority and defense, the Gladius (GMHS) is the Health Service's answer to the Starliner (GMHS) meagre weaponry and paper-thin armour. Able to demolish enemy fighters and retrieve patients with terrifying efficiency, the Gladius (GMHS) is an angel of mercy to some and a demonic harbinger to others.",,,
,,,,,
kite_GM,SHIP,"Used for scouting, pinning smaller frigates and providing limited fire support, the Kite (GM) is unique for having a scavanged EMP emitter attached to the chassis, and having a more variable loadout. This enables the ship to quickly flank and attack more sluggish enemies, while also providing point defense duties. Equipped with the signature Bludknock Overdrive system, this ship is the first into combat - and should, quite sensibly, be the first one to leave it.",,,
vigilance_GM,SHIP,"Needing a solid support frigate for larger combat operations, the designers at G&M took the standard Vigilance hull and combined it with a Brawler chassis to create the Rushcutter. The Vigilance's missile mount was consolidated into two composite mounts in the Brawler structure, and thick Elington Ablative Armour was installed to enhance the ship's durability. While this considerably increases the survivability of the Rushcutter, the focus towards a heavier frame resulted in not enough space being put aside for missile autoloaders and ammo storage. Regardless, the alterations elevate the Rushcutter from a tactically flexible support ship into a an effective anvil to bounce attacks off. The lack of appropriate defence coverage, however, is a critical flaw in the design, making it incredibly vulnerable to attacks from the side or rear.",,,
cerberus_GM,SHIP,"With the number of Shepherds and Cerberii in their stockpiles rising due to regular patrols, there was growing pressure in Grytpype and Moriarty to make a viable vessel out of each. Lead Engineer Henry Crun simply bypassed the issue by combining the Shepherd and Cerberus into the same vessel. With improvements to the Borer Drone bay to produce a nimble point defense the Cerberus (GM) is an effective escort vessel that can double as a salvage vessel, which is let down by an absent shield generator and a missing cargo hold.",,,
,,,,,
wolf_GM,SHIP,"One of the first ship modifications done by Grytpype and Moriarty Defense Authority, this Wolf analogue is its standard workhorse . Fast and manueverable, this ship can effectively strike fleeing targets, and effectively withdraw in the face of determined resistance. However, the extent of the modifications made to accomodate the Bludknock Overdrive system quickly wears down on the length of time this ship can remain active in combat.",,,
