name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Bludknock Chaser MRM,chaser,1,,500,2000,,200,400,15,30,6,,,,FRAGMENTATION,0,,0,15,2,0.1,0,0,0,,,500,100,30,75,,,DO_NOT_AIM,"utility13, missile0, gmda_bp",,Grytpype-Moriarty Design,,Anti Engine,,,,,"Hits on hull or armor frequently arc to weapons and engines, dealing extra EMP and energy damage.",,,,TRUE,60
Bludknock Chaser (Fighter),chaser_fighter,1,,200,1000,,200,600,15,30,2,1,,,FRAGMENTATION,0,,0,10,1,,0,0,0,,,650,300,15,100,,,"GUIDED_POOR, SYSTEM",,,Grytpype-Moriarty Design,,Pressure,,,,,,,,,TRUE,62
Breach SRM (Triple),breach_single_gm,1,,200,1200,,150,,15,10,1,3,,,HIGH_EXPLOSIVE,0,,0,0,3,0.8,0,0,0,,,400,50,4.5,450,,,"GUIDED_POOR, SYSTEM",,,Grytpype-Moriarty Design,,Anti Armor,Medium,Good,,,Each missile deals an additional %s damage to armor. This damage is not reduced by armor.,200,,,TRUE,11.7
Lurgi Suppression Beam (Fighter),supp_beam_fighter,2,,400,500,60,,25,100,20,6,,,,ENERGY,,60,0,0,,,,,,,2400,,,,,,,SYSTEM,,,Grytpype-Moriarty Design,,Pressure,,,,,"Hits on hull or armor frequently arc to weapons and engines, dealing extra EMP and energy damage. Hits on shields have a chance to generate a shield-penetrating arc based on the target's hard flux level.",,,,,63
Lurgi Suppression Beam,supp_beam,2,,400,1000,20,,140,85,20,9,,,,ENERGY,,400,0.1,0.5,2,4,,,,,2400,,,,,,,,"beam7, strike5, LR, gmda_bp",,Grytpype-Moriarty Design,,Pressure,,,,,"Hits on hull or armor frequently arc to weapons and engines, dealing extra EMP and energy damage. Hits on shields have a chance to generate a shield-penetrating arc based on the target's hard flux level.",,,,,63.5
Bluebottler Gun,bluebottle,2,,800,600,,15,,5,40,5,36,4,12,KINETIC,15,,0,0.15,12,0.05,0,4,1,8,,1200,,,10,,,,"kinetic3, gmda_bp",,Grytpype-Moriarty Design,,Anti Shield,,,,,Hits disrupt the targets movement.,,,,,64
Bluebottle Cannon,bluebottle_med,2,,1200,700,,60,,5,20,12,,,,KINETIC,60,,0,0.4,1,,0,20,2,10,,800,,,30,,,,"kinetic14, LR, gmda_bp",,Grytpype-Moriarty Design,,Anti Shield,,,,,Hits disrupt the targets movement.,,,,,5
Crun Gun (Fighter),crungun_fighter,2,,600,500,,25,,5,50,6,,,,FRAGMENTATION,10,,0,0.15,1,,0,5,1,15,,4000,,,10,,," ANTI_FTR, SYSTEM, PD",,,Grytpype-Moriarty Design,,Anti Fighter,,,,,Deals additional %s kinetic damage per shot to fighters,100,,,,65
Crun Gun,crungun,2,,800,700,,50,,5,40,6,,,,FRAGMENTATION,50,,0,0.15,1,,0,5,1,15,,4000,,,10,,, ANTI_FTR,"kinetic3, gmda_bp",,Grytpype-Moriarty Design,,Suppression,,,,,Deals additional %s kinetic damage per shot to fighters,100,,,,65.5
Crun Cannon,crungun_med,2,,1200,900,,100,200,20,40,12,,,,FRAGMENTATION,100,,0,0.25,1,,0,5,1,15,,3000,,,30,,, ANTI_FTR,"kinetic1, gmda_bp",,Grytpype-Moriarty Design,,Suppression,,,,,Deals additional %s kinetic damage per shot to fighters,200,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louix Suppressor,gmda_hose,1,,200,500,,10,20,400,60,4,20,4,10,KINETIC,10,,,0.05,2,0.05,0,0,0,0,,600,,,,,,PD,"kinetic4, pd1, SR, gmfs_bp",,GM Fire Service Design,,Suppression,,,,,Ships struck by this weapon tend to be pushed back. Larger massed targets are less effected.,,,,,
Louix Extinguisher,gmda_hydrant,2,,400,600,,15,30,750,60,10,80,4,20,KINETIC,15,,,0.05,2,0.05,0,0,0,0,,800,,,,,,PD,"kinetic8, pd3, gmfs_bp",,GM Fire Service Design,,Suppression,,,,,Ships struck by this weapon tend to be pushed back. Larger massed targets are less effected.,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milton Signalgun (Fighter),gmda_flaregun_ftr,1,,200,500,,50,,25,60,2,1,0.05,1,HIGH_EXPLOSIVE,75,,,1,1,,4,4,,,,900,,,,,,"PD, SYSTEM","he6, SR, pd2,  gmfs_bp",,GM Fire Service Design,,Point Defense,,,,,"Shots explode in proximity to missiles. On direct hit to armour, each shot deals an additional %s damage to armor over %s seconds. This damage is not reduced by armor.",100 | 6,,,,22.25
Milton Signalgun,gmda_flaregun,1,,600,700,,50,,25,60,5,,,,HIGH_EXPLOSIVE,75,,,0.8,1,,4,4,,,,900,,,,,,PD,"he6, SR, pd2,  gmfs_bp",,GM Fire Service Design,,Point Defense,,,,,"Shots explode in proximity to missiles. On direct hit to armour, each shot deals an additional %s damage to armor over %s seconds. This damage is not reduced by armor.",100 | 6,,,,22.25
Milton Welder (Fighter),gmda_flamethrower_ftr,2,,1200,400,,30,,5,20,10,40,2,10,HIGH_EXPLOSIVE,30,,,0.05,2,0.05,0,0,0,0,,800,,,,,,SYSTEM,"he10, SR, gmfs_bp",,GM Fire Service Design,,Assault,,,,,"On direct hit to armour, each shot deals an additional %s damage to armor over %s seconds. This damage is not reduced by armor.",20 | 6,,,,
Milton Welder,gmda_flamethrower,2,,1200,600,,20,,5,20,13,40,4,20,HIGH_EXPLOSIVE,30,,,0.05,2,0.05,0,0,0,0,,800,,,,,,,"he10, SR, gmfs_bp",,GM Fire Service Design,,Assault,,,,,"On direct hit to armour, each shot deals an additional %s damage to armor over %s seconds. This damage is not reduced by armor.",20 | 6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pomsom Blaster,gmda_pom,2,,800,800,,200,,0,20,6,,,,FRAGMENTATION,200,,0.2,1.4,1,,0,0,0,0,,300,50,150,3000,,,,"energy10, gmfs_bp",,GM Fire Service Design,,Special,,,,,"Projectile fires arcs at nearby enemy targets (including missiles and fighters) while traveling. The damage shown is for the arcs, the projectile itself does not deal damage and will pass over ships.",,,,TRUE,25
Phlognisticator,gmda_phlog,3,,2400,700,,85,,0,20,14,40,4,20,FRAGMENTATION,85,,0,0.05,2,0.05,0,0,0,0,,500,50,80,3000,,,,"energy20, gmfs_bp",,GM Fire Service Design,,Special,,,,,"Projectile fires arcs at nearby enemy targets (including missiles and fighters) while traveling. The damage shown is for the arcs, the projectile itself does not deal damage and will pass over ships.",,,,TRUE,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vulcan Cannon (Long Range),vulcan_GMDA,1,,200,450,,25,,1,75,4,,,,FRAGMENTATION,1,,0,0.05,1,,0,15,1,15,,1000,,,10,,,"PD,SYSTEM",pd7,,Grytpype-Moriarty Design,,Point Defense,,,,,,,,,,1
Light Machine Gun (Long Range),lightmg_GMDA,1,,100,600,,25,,1,50,3,,,,KINETIC,3,,0,0.1,5,0.1,0,5,1,15,,1000,,,10,,,"PD,SYSTEM",pd6,,Grytpype-Moriarty Design,,Point Defense,,,,,,,,,,0.5
IR Pulse Laser (Long Range),irpulse_GMDA,1,,250,700,,40,,0,50,5,,,,ENERGY,20,,0,0.2,5,0.2,,,,,,1000,,,,,,"PD,SYSTEM",energy8,,Grytpype-Moriarty Design,,Point Defense,,,,,,,,,,19.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollie Red,blinker_pol_red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Pollie Blu,blinker_pol_blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Spin Red,spin_red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Spin Blue,spin_blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
