name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
#Built-in hullmods,,,,,,,,,,,,,,,,,,,
Reinforced Turrets,goat_armoredweapons,,,Goathead Aviation,,,,FALSE,TRUE,,0,0,0,0,data.hullmods.goat_ArmoredWeapons,"An old, reliable design that applies heavy armor to turrets to protect them from damage.

Weapon health increased by %s.",Reinforced weapon health,,graphics/hullmods/armored_weapon_emplacements.png
Overpressure Drive Field Stabilizer,goat_drive_field_stabilizer,,,Goathead Aviation,,,,FALSE,TRUE,,0,0,0,0,data.hullmods.goat_DriveFieldStabilizer,"The use of a more elaborate U-shaped stabilizer to keep the drive bubble stable while the fleet is underway will increase the burn level of the fleet by %s. The effect of multiple stabilizers can be cumulative.

However, it increases the fleet's sensor profile by %s.",Reduce fleet fuel consumption,,graphics/goat/hullmods/goat_drive_field_stabilizer.png
Hidden Drive Field Stabilizer,goat_drive_field,,,Goathead Aviation,,,,FALSE,TRUE,TRUE,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DriveFieldStabilizer,"Stabilizes the fleet's drive bubble, increasing the maximum burn of the fleet by %s. The effect of multiple stabilizers is cumulative.

Increases the ship's sensor profile by %s.",Reduce fleet fuel consumption,,graphics/goat/hullmods/goat_drive_field_stabilizer.png
Goathead Shield,goat_hullstyle,,,Goathead Aviation,,,,FALSE,TRUE,TRUE,0,0,0,0,data.hullmods.goat_HullStyle,,Reduce fleet fuel consumption,,graphics/hullmods/augmented_drive_field.png
Saxton Shield,goat_hullstyle_sax,,,Saxton,,,,FALSE,TRUE,TRUE,0,0,0,0,data.hullmods.goat_HullStyleSax,,Reduce fleet fuel consumption,,graphics/hullmods/augmented_drive_field.png
Goathead Paint,goat_painting,,,Goathead Aviation,,,,FALSE,TRUE,,1,1,1,1,data.hullmods.goat_SolarShielding,"The Goathead factory's special paintjob incorporates a stellar-protective coating. This allows it to reduce the impact of being in a star's corona on combat readiness by %s on top of the custom paint job, and has the same effect on storms in hyperspace.

Reduces energy damage taken by %s while in combat.",Reduces corona penalty and energy damage,,graphics/goat/hullmods/goat_painting.png
Tidal Grid,goat_state_tidal,,,Saxton,,,,FALSE,TRUE,,0,0,0,0,data.hullmods.goat_StateTidal,"A unique power grid layout creates a new paradigm in allocating ship energy. This technology allows for reactors to produce a greater concentration of energy, thus increasing energy weapon output to unprecedented levels: giving ships using it significant advantages in combat. This particular version focuses more on the increased-damage aspect.

Energy weapons generate %s more flux.
Energy weapons get %s additional range.
Energy weapons deal %s additional damage.
Energy weapons cost %s additional ordnance points to install.
All beam weapons will generate arcs when hitting armor or hull.

When the ship's peak performance time has expired, the rate of combat readiness decay is increased by %s.",Energy enhancement,,graphics/goat/hullmods/goat_state_tidal.png
Lunar Grid,goat_state_lunar,,,Saxton,,,,FALSE,TRUE,,0,0,0,0,data.hullmods.goat_StateLunar,"A unique power grid layout creates a new paradigm in allocating ship energy. This technology allows for reactors to produce a greater concentration of energy, thus increasing energy weapon output to unprecedented levels: giving ships using it significant advantages in combat. This particular version focuses more on the increased-range aspect.

Energy weapons generate %s more flux.
Energy weapons get %s additional range.
Energy weapons deal %s additional damage.
Energy weapons cost %s additional ordnance points to install.
All beam weapons will generate arcs when hitting armor or hull.

When the ship's peak performance time has expired, the rate of combat readiness decay is increased by %s.",Energy enhancement,,graphics/goat/hullmods/goat_state_lunar.png
Blackbox Spiral Horns,goat_dhelix,,,Goathead Aviation,,,,FALSE,TRUE,,0,0,0,0,data.hullmods.goat_Dhelix,"The Spiral Horn Device is a peculiar energy generator that begins to output massive amounts of energy from the moment it's defined as completed and usable; it cannot be shut down without complete disassembly. Engineers were unable to explain this phenomenon, resulting in it becoming a black-box device with a very uncooperative mode of operation.

This device always attempts to ""ascend"": it constantly tries to raise the dimensional state of both itself, and all entities connected to it; and is then stopped by the built-in inhibitor. Since there is no engineer who can understand its blueprint, it is impossible to tell if such behavior is normal.

Its behavior is not all bad; the tendency to raise the dimension makes radiation near the ship become turbulent, which succeeds in helping the ship conceal itself. The ship's sensor profile is reduced by %s.

Large weapons with a base range of less than %s will have it increased by %s, to a maximum of %s.",Stealth and range boost,,graphics/goat/hullmods/goat_dhelix.png
Parallel Manufacturing,goat_parallel_assembly_line,,,Goathead Aviation,,,,FALSE,TRUE,,0,0,0,0,data.hullmods.goat_ParallelAssemblyLine,"A massive assembly line is built into the hull, allowing for the manufacture of missiles during combat.

The assembly line requires proper nanoforge initialization, only activating when at least %s of the ship's flight decks are carrying fighter wings of at least %s craft each.

While the assembly line is active, the ship fully regenerates the ammunition of its missiles after it has launched a number of fighters equal to three times the total number of fighters it carries.",All the missiles,,graphics/goat/hullmods/goat_parallel_assembly_line.png
Stardust Accumulation,goat_parallel_assembly_line2,,,Saxton,,,,FALSE,TRUE,,0,0,0,0,data.hullmods.goat_ParallelAssemblyLine2,"The method by which a large number of drones can be carried in such a narrow hull is to have inactive drones function as hull reinforcement.

Every fighter launch damages this ship for %s of its current hull value.",Accelerated replacement,,graphics/goat/hullmods/goat_parallel_assembly_line1.png
Integrated Missile Racks,goat_missleracks,,,Goathead Aviation,,,,FALSE,TRUE,,0,0,0,0,data.hullmods.ExpandedMissileRacks,"Plenty of space remains in the hull for micro-missiles to be stored, with no adverse affects on performance.

Missile weapons gain an additional %s ammunition capacity.",More missiles,,graphics/goat/hullmods/goat_missile_racks.png
Launcher Mode switch,goat_missile_switching,,,Goathead Aviation,,,,FALSE,TRUE,TRUE,0,0,0,0,data.hullmods.goat_MissileSwitching,,,,graphics/goat/hullmods/goat_missileswitching_h.png
Launcher Mode indicator,goat_missile_switching_mark,,,Goathead Aviation,,,,FALSE,TRUE,TRUE,0,0,0,0,data.hullmods.goat_ZZZ,,,,graphics/goat/hullmods/goat_missileswitching_h.png
