name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
#舰船名,#ID,#舰船等级,#舰船分类,#战术系统,#自动战斗点,#结构值,#装甲值,#幅能容量,#no idea,#幅能耗散,#装配点数,#飞行甲板,#最大速度,#加速度,#减速度,#最大转向角速度,#转向加速度,#质量,#护盾类型,#右键技能ID,#护盾角度,#护盾维持幅能耗散比率,#护盾效率,#右键技能激活产生幅能,#右键技能维持消耗幅能,#最低船员需求,#船员,#货仓,#油仓,#燃料消耗/光年,#?,#大地图速度,#基础价格,#CR恢复/天,#CR部署消耗,#峰值时间,#CR衰减速率,#部署值,#每月维护所需补给,,,,,,,#提示标签,#属性标签,,#解体概率,#碎块最小数量,#碎块最大数量,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nostalgia,goat_evil_gaze,Battleship,Goathead Aviation,goat_bash_mode,20,27000,1000,12000,20000,780,200,2,55,10,10,6,4,11000,PHASE,damper,,,,,,550,600,800,600,15,100,8,221500,3,25,720,0.20,46,46,,,,,,,,"goat_bp,goat_openbp, merc",,0.1,2,6,,
Immortality,goat_immortality,Battleship,Goathead Aviation,goat_call,30,20000,1400,20000,20000,700,310,,25,15,10,10,4,8000,FRONT,,270,0.4,1.2,,,550,1200,400,460,12,100,7,421500,3,10,720,0.20,60,60,,,,,,,,"rare_bp,goat_bp",,0.1,2,6,,
Desolation,goat_immortality_mod,Battleship,Goathead Aviation,goat_torrent_drive_l,30,19500,700,15000,20000,400,280,,35,15,10,15,8,7000,FRONT,,270,0.4,1.4,,,750,1100,600,480,12,100,7,321500,3,10,720,0.20,50,50,,,,,,,,"rare_bp,goat_bp",,0.2,2,6,,
Cagepot,goat_cagepot,Personnel Carrier,Goathead Aviation,flarelauncher,6,11000,2000,10000,,250,50,,20,10,10,8,8,6000,NONE,,,,,,,120,6000,500,800,7,140,7,360000,3,20,720,0.20,15,15,,,,,,,"CIVILIAN, TRANSPORT,LINER","goat_bp,goat_openbp",,0.1,2,6,,
Whalestone,goat_insulator,Tug,Goathead Aviation,canister_flak,5,5000,300,14000,,450,45,,150,15,10,10,10,9500,NONE,,,,,,,210,800,400,360,10,90,14,800000,2,25,720,0.20,18,18,,,,,,,CIVILIAN,"goat_bp,goat_openbp, merc",,0.1,2,6,,
Infallible,goat_whorehouse,Fast Carrier,Goathead Aviation,goat_lesspressure_drift,27,18000,1000,19000,20000,600,210,5,45,25,25,8,4,6800,OMNI,,180,0.25,1.0,,,550,1800,800,460,12,100,8,224400,3,10,720,0.20,38,38,,,,,,,,"rare_bp,goat_bp",,0.1,2,6,,
Blademaster,goat_sword_power_smart_mind_of_aris_pro_supermax_NB01,Battlecruiser,Goathead Aviation,goat_microburn,20,9000,800,23500,17500,500,300,,60,50,40,20,10,5500,OMNI,,60,0.1,1.6,,,180,300,250,250,10,30,9,630000,3,12,600,0.25,34,34,,,,,,,,"rare_bp,goat_bp",,0.8,2,4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Windchime,goat_stringwind,Tanker,Goathead Aviation,flarelauncher,6,6000,200,8000,2500,350,40,,20,10,20,5,5,2400,NONE,,,,,,,20,50,20,2200,2,40,8,102000,5,20,520,0.25,6,6,,,,,,,"CIVILIAN, TANKER","goat_bp,goat_openbp, merc",,0.5,2,3,,
