id,type,size,intensity,fadeout,color,offset,hit size,hit intensity,hit fadeout,hit color,flash size,flash intensity,flash fadeout,flash color,flash offset,chance,fighter dim
,,,#高光区块大小,,#船体闪光颜色,,,#高光区块大小,,#击中闪光,#开火,#高光区块大小,,,,,
,,,,,,,,,,,,,,,,,
goat_Pulse_detonation,projectile,75,0.5,1,"[89,61,241]",,900,0.7,1,"[89,61,241]",45,0.3,0.75,"[89,61,241]",,1,TRUE
,,,,,,,,,,,,,,,,,
goat_diiscipline_ass,projectile,80,0.4,0.6,"[255,255,255]",,160,0.5,0.5,"[203,239,101]",165,0.4,0.8,"[223,85,37]",,1,TRUE
,,,,,,,,,,,,,,,,,
goat_implement_ass,projectile,7,0.4,0.6,"[255,255,255]",,5,0.5,1,"[203,239,101]",30,0.3,1,"[255,135,33]",,1,TRUE
all_goat_rhythm,beam,,,,,,5,0.2,1,"[223,85,37]",25,0.2,0.5,"[223,85,37]",,1,TRUE
all_goat_punish,beam,85,0.4,0.6,"[255,255,255]",,800,0.8,0.5,"[223,85,37]",85,0.3,0.75,"[255,135,33]",,1,TRUE
goat_pdlr,beam,15,0.8,0.6,"[255,55,255]",,35,0.8,0.5,"[223,85,237]",35,0.8,0.75,"[255,35,233]",,1,TRUE
all_goat_invasion,beam,35,0.8,0.6,"[215,215,255]",,35,0.8,0.5,"[213,225,247]",35,0.8,0.75,"[205,215,233]",,1,TRUE
,,,,,,,,,,,,,,,,,
goat_gnaw_fire,projectile,80,0.5,0.1,"[210,210,255]",,2,0.2,0.3,"[225,164,48]",80,0.1,0.1,"[225,164,48]",,1,TRUE
goat_lash_ass,projectile,35,0.1,0.4,"[255,255,255]",,5,0.2,1,"[225,164,48]",50,0.40,0.75,"[225,164,48]",,1,TRUE
goat_dash_ass,projectile,65,0.4,0.6,"[225,164,48]",,25,0.2,1,"[225,164,48]",50,0.40,0.75,"[225,164,48]",,1,TRUE
,,,,,,,,,,,,,,,,,
goat_howl_ass,projectile,65,0.2,0.6,"[255,255,255]",,5,0.2,1,"[255,241,231]",85,0.40,0.75,"[255,135,33]",,1,TRUE
goat_bombard_ass,projectile,65,0.4,0.6,"[255,255,255]",,45,0.7,1,"[255,241,231]",85,0.40,0.75,"[255,135,33]",,1,TRUE
goat_raise_ass,projectile,65,0.4,0.6,"[225,225,255]",,45,0.7,1,"[225,225,255]",85,0.40,0.75,"[225,225,255]",,1,TRUE
goat_zeal_ass,projectile,65,0.2,0.6,"[106,198,132]",,5,0.8,1,"[106,198,132]",75,0.40,0.75,"[223,85,37]",,1,TRUE
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
goat_pd_bashmode_shot,projectile,80,0.4,1,"[206,38,32]",,60,0.8,1.2,"[206,38,32]",75,0.20,1.2,"[223,85,37]",,1,TRUE
