id,type,text1,text2,text3,notes
Goat_Aviation_Bureau,FACTION,"After a tortuous evacuation and difficult development, the Aviation Bureau finally settled in the periphery of the core worlds; restoring two ruined space stations to build up their strength. They don't know how far they can go, but the Aviation Bureau is confident that it will establish a foothold in the Sector.",,,
,,,,,
station_GAB11_suihen,CUSTOM,"A research station with a high-speed orbit. After Babel Station was reactivated, it was transformed into a defensive station in order to lessen overpopulation while also strengthening the system's defenses.",,,
station_GAB11_yuanjiang,CUSTOM,"A large space station that was built before the Collapse, but was forced to shut down as a result of it. It was not until the Aviation Bureau arrived in the Sector that simple maintenance was performed, restoring the station to operation. However, the Aviation Bureau underestimated the impact of exceeding the population limit by an order of magnitude: in under 50 cycles, the station's ecosystem was all but destroyed. The life support was so polluted it was nigh-unbreathable, with inhabitants requiring to wear respirators even in their sleep. The large ring of debris surrounding the station also became problematic due to becoming a safe haven for pirates and other extralegal activities. All this and more has forced the authorities to deport the population, barely keeping the station afloat at the cost of Mindscar Station's self-sufficiency. For better or worse, the Luddic Church has declared this state of being a ""divine punishment"": sparing the station from the risk of being destroyed by a Luddic warfleet.",,,
,,,,,
planet_Huitzilopochtli,CUSTOM,"This celestial object was created during a nova event. When the blue giant began to react, it threw off a large amount of gas and formed this unstable object. It is close to critical mass and could react at any time to form a new star.",,,
planet_Fomalhaut,CUSTOM,"A captured gas giant, its special color fascinated the aviation bureau and was planned as a tourist destination. After the Collapse, the plans were hastily terminated and the beautiful planet continued to silently rotate in the system.",,,
,,,,,
#Ships,,,,,
,,,,,
goat_CROWN,SHIP,"An incredibly versatile and powerful cruiser, the Luminary-class cruiser was intended as Saxton Shipyards' flagship design, capable of ruthlessly destroying fighters and warships alike. Thanks to its mighty reactor and efficient shields, it is a master of both offense and defense.

The design team in charge of developing this cruiser carried out an in-depth analysis of the Tidal Grid and graviton technologies to further optimize the cruiser's performance, allowing it to boast a state-of-the-art flux grid even by pre-Collapse standards, giving it impressive combat performance. With high speed as well as precision long-range weaponry, it is able to strike quickly and ensure victory: simultaneously, sufficiently redundant subsystems provide reliability and safety for the ship's crew.

The Brightcrown-class cruiser is undoubtedly a modern, high-quality ship that was the backbone of the Aviation Bureau's navy.
",,,
goat_TOWER,SHIP,"A highly capable and reliable battlefield bulwark. Its highly complex shield system, making extensive use of graviton technology, makes the Amore-class cruiser a nigh-invincible battlefield protector, with combat endurance and defense capabilities exceeding most capital ships.

Although this cruiser requires a great deal of tedious maneuvering to break away from the battlefield to dissipate its built-up flux, it has plenty of space available for modification to alleviate this issue. Saxton also reccomended that fleets should have a sufficient number of other ships to cover the Amore while it vents.

In addition to its powerful shields, the Amore posssesses a powerful set of defensive weapons capable of clearing out smaller targets by itself, making it less vulnerable to being caught alone. All of these traits make it a highly advanced and reliable ship, a master of defense with capable offense; an excellent choice for any fleet.",,,
goat_FLY,SHIP,"The Lightray-class destroyer was a collaborative effort by both Saxton Shipyards and the Goathead Aviation Bureau. A high-speed ship designed for surgical strikes, the two companies' proprietary techonologies grant it improved shields and engines, while also being outstanding performance in assault and pursuit with its diverse weapon layout.

A combination of Goathead's preference for high speed and firepowe with Saxton's doctrine of highly efficient heavy shielding, resulting in an all-purpose ship powerful in both attack and defense. Its flux grid is specially designed to provide sustained, powerful damage from its energy weapons. Its highly-tuned engines allow it to perform assault and pursuit at breakneck speed, making the Lightray very useful in a constantly-shifting battle.

In short, the Lightray-class destroyer is an efficient, powerful, reliable, and versatile ship using advanced technologies to earn it an important role in modern fleets, while reflecting Saxton Shipyards' philosophy of designing high-quality ships that are individually powerful.",,,
goat_DIRK,SHIP,"The Noon-class frigate is focused on drawing fire away from larger vessels, destroying other frigates, and responding to gaps in a battle line.

Efficient shields and polarized offer the Noon heavy defenses, allowing it to draw enemy fire away from other ships while still being able to provide fire support. And unlike some other offensive/defensive-focused frigates, it still possesses excellent maneuverability, allowing it to quickly break through hostile formations in order to draw fire while attacking them, in addition to the speedy capture of battlefield objectives.",,,
goat_THRONE,SHIP,"The Umbra-class cruiser is a top-of-the-line ship by the standards of the Sector, with mighty firepower and an aggressive flux grid, making it a considerable threat to even the largest targets.

Like other Saxton Shipyards designs, the Umbra was designed as a high-quality, powerful single ship: a cruiser designed for ruthlessly efficient firepower, its high speed and flexible loadout allows it to quickly adapt to changing battle situations while retaining a reasonable maintenance profile. Its advanced flux grid allows it to provide a constant stream of devastating firepower.",,,
goat_AWL,SHIP,"The Starlight-class frigate is a tiny carrier specializing in establishing air superiority, inhibiting enemy ships, and providing fire support.

Its design is focused on protracted battles: armed with a powerful fire control system and a large number of drones, the Starlight can strike at long range while providing fighter superiority.",,,
,,,,,
goat_evil_gaze,SHIP,This class of battleship dates back to the founding of the Aviation Bureau and has been in service even longer than the ancient Onslaught. Goathead's engineers have retrofitted her with a number of modernizations to get this behemoth of old to fire up its engines once more.,,,
goat_cagepot,SHIP,"A rugged troop carrier that provides efficient landing bays while transporting huge numbers of soldiers. Because of the removal of most superfluous facilities, the Cagepot-class has heavy armor, but captains who attempt to use it as a front-line ship will likely die when their marines rebel.",,,
goat_insulator,SHIP,"As a superior replacement for the Ox, the Whalestone-class carries a huge and sophisticated drive field stabilizer, which allows it to constrain a more compatible polygonal drive bubble, providing a more stable drive environment while dampening drive bubble agitation accordingly.

As a ship jointly developed by the Aviation Bureau and another corporation, it appears that a similar ship has also been released.",,,
