trail,projectile,sprite,minLength,fadeIn,duration,fadeOut,sizeIn,sizeOut,colorIn,colorOut,opacity,textLength,textScroll,distance,dispersion,drift,fadeOnFadeOut,angleAdjustment,additive,velocityIn,velocityOut,randomVelocity,angle,rotationIn,rotationOut,randomRotation
,,,,#淡入,#停留时间,#淡出,#靠近弹体的宽度,#反之,,,#透明度,#材质,#材质 竖直滚动速度,#提前量,#扭曲,#随机偏移宽度,#淡入淡出,#角度调整,无用,#速度,#速度,#随机速度倍数,,#波动大小,#波动大小,
goat_pd_bashmode_trail,goat_pd_bashmode_shot,base_trail_heavySmoke,12,0.8,0.1,0.5,10,15,"[204,157,122]","[245,90,37]",0.33,0,0,150,0,0,FALSE,FALSE,TRUE,0,0,1,0,0,5,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,base_trail_smoke,6,0.2,0.1,0.6,20,20,"[227,94,63]","[249,206,90]",0.5,1000,0.5,35,5,0.9,TRUE,FALSE,TRUE,0,0,0.5,0,200,200,FALSE
,,base_trail_weave,6,0.2,55,0.1,20,20,"[227,94,63]","[249,206,90]",0.5,1000,50,35,5,5,TRUE,FALSE,TRUE,2000,-2000,0,0,140,-280,FALSE
,,base_trail_weave,6,0.2,0.6,0.1,20,20,"[227,94,63]","[249,206,90]",0.5,1000,50,35,5,5,TRUE,FALSE,TRUE,200,-200,0,90,400,400,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,
goat_dazzle_warhead_trail_1,goat_dazzle_warhead,base_trail_weave,6,0,0.1,0.5,5,5,"[14,189,110]","[14,189,110]",0.8,100,50,10,5,0,FALSE,FALSE,TRUE,0,0,0,0,0,0,FALSE
goat_dazzle_warhead_trail_2,goat_dazzle_warhead,base_trail_heavySmoke,6,0,0.1,0.8,60,20,"[26,164,182]","[26,164,182]",0.2,200,5,10,0,0,FALSE,FALSE,TRUE,0,0,0,0,0,0,FALSE
goat_dazzle_warhead_trail_3,goat_dazzle_warhead,base_trail_heavySmoke,6,0,0.05,0.4,40,20,"[137,238,126]","[137,238,126]",0.4,200,5,10,0,0,FALSE,FALSE,TRUE,0,0,0,0,0,0,FALSE
goat_dazzle_warhead_trail_4,goat_dazzle_warhead,base_trail_weave,6,0,0.05,0.1,20,15,"[42,231,26]","[42,231,26]",0.6,50,100,10,0,0,FALSE,FALSE,TRUE,0,0,0,0,20,20,FALSE
goat_dazzle_warhead_trail_5,goat_dazzle_warhead,base_trail_heavySmoke,6,0,0.05,0,10,40,"[137,238,126]","[137,238,126]",0.9,200,5,20,0,0,FALSE,FALSE,TRUE,0,0,0,0,0,0,FALSE
goat_dazzle_warhead_trail_6,goat_dazzle_warhead,base_trail_smooth,6,0,0.02,0,40,30,"[238,238,238]","[238,238,238]",0.9,60,50,5,0,0,FALSE,FALSE,TRUE,0,0,0,0,0,0,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,
goat_gloomy_srm_M_shoot_trail_9,goat_gloomy_srm_M_shoot,base_trail_weave,5,0.1,0.1,0.4,12,6,"[23,94,112]","[231,14,112]",0.14,100,100,0,0,0.5,TRUE,FALSE,TRUE,0,0,0.2,0,0,0,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,
goat_dazzle_warhead_trail_1,goat_dazzle_srm,base_trail_zap,6,0,0.05,0.3,40,10,"[38,208,188]","[88,228,88]",0.9,360,50,5,0,0,FALSE,FALSE,TRUE,0,0,0,0,0,0,FALSE
goat_dazzle_warhead_trail_2,goat_dazzle_srm,base_trail_zap,6,0,0.05,0.1,70,40,"[238,38,188]","[208,28,208]",0.4,460,250,5,0,0,FALSE,FALSE,TRUE,0,0,0,0,0,0,FALSE
goat_dazzle_warhead_trail_2,goat_dazzle_srm,base_trail_weave,6,0,0.05,0.1,40,80,"[238,38,188]","[208,28,208]",0.4,460,250,5,0,0,FALSE,FALSE,TRUE,0,0,0,0,0,0,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
goat_implement_ass_trail_1,goat_implement_ass,base_trail_weave,6,0.03,0.1,0.03,15,5,"[38,38,138]","[38,138,38]",0.4,60,50,5,0,0,FALSE,FALSE,TRUE,0,0,0,0,0,0,FALSE
goat_implement_ass_trail_2,goat_implement_ass,base_trail_heavySmoke,6,0,0.08,0.02,25,15,"[138,38,38]","[38,38,138]",0.6,260,50,5,0,0,FALSE,FALSE,TRUE,0,0,0,0,0,0,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,
goat_fire_fire_mrm1_trail_1,goat_fire_fire_mrm1,base_trail_weave,6,0,0.3,0.5,10,15,"[138,38,38]","[238,38,238]",0.3,260,50,5,0,0,FALSE,FALSE,TRUE,0,0,0.5,6,0.5,0.5,FALSE
goat_fire_fire_mrm1_trail_2,goat_fire_fire_mrm1,base_trail_weave,6,0,0.3,0.1,15,15,"[138,38,238]","[138,38,138]",0.5,260,50,5,0,0,FALSE,FALSE,TRUE,2,2,0.5,6,3.5,3.5,FALSE
goat_fire_fire_mrm1_trail_2,goat_fire_fire_mrm1,base_trail_zapWithCore,6,0,0.1,0.3,35,35,"[238,138,38]","[138,38,238]",0.6,260,50,5,0,0,FALSE,FALSE,TRUE,2,2,0.5,6,3.5,3.5,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,
goat_gloomy_srm_M_trail_1,goat_gloomy_srm_M,base_trail_mild,7,0,0.1,0.8,8,8,"[238,138,38]","[138,38,238]",0.2,160,50,5,40,1,FALSE,FALSE,TRUE,2,2,0.5,0,33.5,33.5,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,
