name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number,Column 48,Column 49
,,#稀有度,#刷新率,#价格,#射程,#dps,#dph,#,#偏转力,#转向速度,#,#弹药数,#弹药回复比,#回复数量,#伤害类型,#,#,#充能时间,#冷却时间,#爆发数,#时间间隔,#最小散布,#最大散布,#单发扩散,#停火时每秒减少散布,#光速,#弹速,#初速度,#飞行时间,#血量,#属性标签,#ai标签,#,#分类,#,#,#,#,#,#,#,#,#,#,#,#,#,#
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Large Missile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megahalberd LRT Launcher,all_goat_giant_halberd_l,2,,8000,3500,,4500,,500,5,26,10,,,HIGH_EXPLOSIVE,0,,0,17,2,1.3,0,0,0,0,,,100,4,600,DO_NOT_AIM,"missile6, strike0, goat_bp_w",,Goathead Aviation,,Destruction Strike,Fast,Pre-Aimed,,,"Carries a two-stage engine: after acquiring the target, stage two will engage and propel the missile at incredible velocity.",,,,TRUE,,,
Gloom H-SRM Barrage,all_goat_gloomy_l,1,,7500,1000,,90,,,8,22,700,,,HIGH_EXPLOSIVE,0,,0,4.3,20,0.05,5,90,5,10,,,650,2,35,"PD,DO_NOT_AIM","missile7,goat_bp_w",,Goathead Aviation,,Anti-Small Craft,Fast,Excellent,,,,,,,TRUE,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Medium Missile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gloom F-SRM Pod,all_goat_gloomy_m,0,,1100,1500,,220,,,9,9,320,,,FRAGMENTATION,,,,4,8,0.1,2,125,20,1,,900,500,2.1,35,"PD,DO_NOT_AIM"," missile7, goat_bp_w",,Goathead Aviation,,Anti-Small Craft,Fast,Excellent,,,,,,,TRUE,,,
Scorchfire MRM Launcher,all_goat_fire_fire_m,1,,1300,2000,,20,,,7,12,20,,,HIGH_EXPLOSIVE,,,,7.5,2,0.5,0,0,0,0,,550,20,6,80,DO_NOT_AIM,"rocket12, strike9, goat_bp_w",,Goathead Aviation,,Anti-Armor,Average,Poor,,,,,,,TRUE,,,
,all_goat_fire_fire_m1,,,,2000,,1100,,,,,,,,HIGH_EXPLOSIVE,,,,,,,,,,,,500,,6,80,SYSTEM,,,,,,,,,,,,,,,,,
