name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,sModDesc,short,sprite
#名字,#id,,,#设计类型,#tag,#装配界面显示的分组,#基础价值,,#是否隐藏,,#护卫装配,#驱逐装配,#巡洋装配,#主力装配,#文件位置,#描述,#内置描述,#简单描述,#图
Cliff System,ssp_cliff,,,LLI,special,Special,,,true,,0,0,0,0,data.hullmods.ssp_cliff,description in jar,,,graphics/hullmods/ssp_cliff_hullmod.png
Bias Targeting Subsystems,ssp_bias,,,LLI,special,Special,,,true,,0,0,0,0,data.hullmods.ssp_bias,description in jar,,,graphics/hullmods/ssp_bias_hullmod.png
Maglev Turret Mounts,ssp_vocaino_rangemod,,,LLI,special,Special,,,true,,0,0,0,0,data.hullmods.ssp_vocaino_rangemod,"Maglev technology significantly reduces the friction generated by the ship's turrets when they rotate, as well as greatly improving the turrets' stability.
-Reduces all weapon recoil by %s, and increases turret turn rate by %s.
-Increases the range of ballistic/energy weapons by %s.",,,graphics/hullmods/ssp_vocaino_rangemod.png
Arc Field,ssp_SystemUsedTimes,,,LLI,special,Special,,,true,,0,0,0,0,data.hullmods.ssp_SystemUsedTimes,Spawns arcs that hit nearby enemy ships and fighters for %s energy damage each.,,,graphics/hullmods/ssp_assault_enhance.png
Focused Shield,ssp_shieldmod,,,LLI,"shields, defensive",Shields,,,true,,0,0,0,0,data.hullmods.ssp_shieldmod,description in jar,,,graphics/hullmods/ssp_shieldmod.png
Aerial Assault Package,ssp_combatcarrierdeck,,,LLI,special,Special,,,true,,0,0,0,0,data.hullmods.ssp_combatcarrierdeck,"A unique combat program that allows fighter pilots to control their craft via a neural link. Despite the limited range forced by the limits of the neural links, the fighters can gain increased maneuverability and speed.
-Fighters' maneuverability and top speed is increased by %s.
-Fighters' operational range is reduced by %s.
-%s decrease in crew losses from fighter destruction.
-Hangar-based d-mods will no longer occur on this ship.",,,graphics/hullmods/converted_fighter_bay.png
High-Density Shield,ssp_gonggong_shieldmod,,,LLI,special,Special,,,true,,0,0,0,0,data.hullmods.ssp_gonggong_shieldmod,"A rare prototype shield generator.
- High shield upkeep, but impeccable shield efficiency.
- Converts %s of hard flux generated when shields take damage into soft flux.",,,graphics/hullmods/ssp_shieldmod.png
Privateer Configuration,ssp_civiliankiller,,,LLI,special,special,,,true,,0,0,0,0,data.hullmods.ssp_civiliankiller,"A unique combat computer with a built-in Delta-class AI core that exhibits behaviors not unlike a pirate captain. The system is optimized for destroying weaker targets; though this becomes a liability when faced with tougher foes.

-Damage dealt to capital ships is reduced by %s.
-Damage dealt to cruisers is increased by %s.
-Damage dealt to destroyers is increased by %s.
-Damage dealt to frigates is increased by %s.

-Damage dealt to ships with a %s is increased by %s, regardless of whether the %s hullmod is present or not.",,,graphics/hullmods/ssp_civiliankiller.png
,,,,,,,,,,,,,,,,,,,
Beam Mode Conversion,ssp_modetransform,,,LLI,"special, no_build_in",Weapons,1000,TRUE,,,4,8,12,20,data.hullmods.ssp_modetransform,Converts the Cliff System and some other LLI hullmods to Beam Mode. Incompatible with %s and %s.,,,graphics/hullmods/ssp_modetransform.png
,,,,,,,,,,,,,,,,,,,
LLI Enhancement Protocol,ssp_LowerThreshold,,,LLI,"special, no_build_in",LLI Protocol,1000,TRUE,,,4,8,12,20,data.hullmods.ssp_LowerThreshold,"Enhances the Cliff System's effects by %s.

Only one LLI Protocol hullmod can be installed.","Also builds in %s, while compensating for %s of the penalty to maximum combat readiness.",,graphics/hullmods/ssp_LowerThreshold.png
LLI Commando Protocol,ssp_ShortRange,,,LLI,"special, no_build_in",LLI Protocol,1000,TRUE,,,4,8,12,20,data.hullmods.ssp_ShortRange,description in jar,,,graphics/hullmods/ssp_EngineBoost.png
LLI Rifleman Protocol,ssp_LongerRange,,,LLI,"special, no_build_in",LLI Protocol,1000,TRUE,,,4,8,12,20,data.hullmods.ssp_LongerRange,description in jar,,,graphics/hullmods/ssp_LongerRange.png
,,,,,,,,,,,,,,,,,,,
special hullmod for missile shield,ssp_Temporaryshield,,,LLI,special,special,,,true,true,0,0,0,0,data.hullmods.ssp_Temporaryshield,,,,
Raid Support Suite,ssp_SiegeEnginemod,,,LLI,special,Special,,,true,,0,0,0,0,data.hullmods.ssp_SiegeEnginemod,"This ship has a wide variety of systems installed specifically for supporting raid operations.
- The fleet's ECM rating is improved by %s.
- The fleet's nav rating is improved by %s, increasing the maximum speed of your deployed ships.
- Increases the effective strength of planetary raids by %s, up to the total number of marines in the fleet.
- Refunds a specific amount of ordnance points if two or more of the following hullmods are installed that use ordnance points:
%s
%s
%s ",,,graphics/hullmods/ssp_SiegeEnginemod.png
Refit Compensation,ssp_logistics,,,LLI,"special, no_build_in",Special,,,true,,-10,-20,-30,-50,com.fs.starfarer.api.combat.BaseHullMod,Refunds a certain amount of ordnance points.,,,graphics/hullmods/ssp_SiegeEnginemod.png
