name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,number
#名字,#id,#舰船分级,#设计类型,#技能,#战斗点数,#结构,#装甲,#幅能总量,#没用的,#幅能耗散,#装配点,#甲板,#最大速度,#加速度,#减速度,#最大转弯角速度,#转弯加速度,#质量,#护盾类型,#防御系统ID,#护盾角度,#护盾维持,#护盾效率,#相位消耗,#相位效率,#必要船员,#最大载员,#货舱,#燃料,#燃料每光年,#范围,#最大速度,#基础价格,#每天回复cr,#部署消耗cr,#峰值时间,#每秒cr掉落,#完全恢复成本,#维护消耗,,,,,,,#给ai标识用,#标签,#没用的稀有度,#裂开概率,#最小碎成几块,#最多碎成几块,#没用的序号
Combustion,ssp_combustion,Heavy Frigate,LLI,ssp_PhaseTransferField,5,2400,400,1800,,120,60,0,100,120,90,55,145,250,FRONT,,270,0.5,1.0,,,15,30,30,20,1,20,10,14000,8,10,240,0.25,5,5,,,,,,,,ssp_bp,,0.5,2,2,
River,ssp_river,Drone Tender,LLI,ssp_ManeuveringJets,2,1200,180,1500,,100,45,1,100,120,90,55,145,300,FRONT,,360,0.4,1.0,,,25,60,100,100,1,20,11,9500,8,10,240,0.25,3,3,,,,,,,,ssp_bp,,0.5,2,2,
Gyre,ssp_vortexing,Missile Frigate,LLI,ssp_missleswarm,3,1400,235,2200,,175,50,0,145,190,140,80,230,200,FRONT,,270,0.5,0.8,,,15,30,30,20,1,20,11,12000,8,10,240,0.25,4,4,,,,,,,,ssp_bp,,0.5,2,2,
Dew,ssp_dew,Frigate,LLI,ssp_HighEnergyFocus,3,1000,140,2400,,225,45,0,155,250,200,120,300,200,OMNI,,150,0.3,0.6,,,15,25,30,20,1,20,11,10000,8,10,240,0.25,4,4,,,,,,,,ssp_bp,,0.5,2,2,
Zhurong,ssp_zhurong,Advanced Gunship,LLI,ssp_zhurong_system,12,2000,200,5000,,400,70,0,95,175,150,60,155,250,OMNI,,180,0.6,0.6,,,25,60,30,20,1,20,11,70000,8,16,180,0.25,15,15,,,,,,,,"ssp_bp,rare_bp",,0.5,2,2,
Gonggong,ssp_gonggong,Shield Platform,LLI,ssp_gonggong_system,12,2000,200,4000,,200,40,0,95,175,150,60,155,300,OMNI,,360,2.4,0.3,,,25,60,30,20,1,30,9,70000,8,16,360,0.25,15,15,,,,,,,,"ssp_bp,rare_bp",,0.5,2,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stormsurge,ssp_conduit,Heavy Gunship,LLI,ssp_HighEnergyFocus,9,6000,800,4250,,350,80,0,100,120,90,55,105,350,PHASE,damper,,,,,,50,50,20,30,2,25,9,45000,5,12,360,0.25,11,11,,,,,,,,ssp_bp,,0.5,2,3,
Wildfire,ssp_flame,Light Destroyer,LLI,ssp_microburn,6,3600,350,3500,,300,85,0,105,80,60,35,40,400,FRONT,,240,0.4,0.8,,,40,90,80,90,2,30,10,30000,5,12,360,0.25,7,7,,,,,,,MISSILE_HARDPOINTS_ROTATE,ssp_bp,,0.5,2,3,
Cascade,ssp_turbulence,Heavy Destroyer,LLI,ssp_PhaseTransferField,8,5000,600,4000,,200,95,0,60,45,25,35,25,700,OMNI,,120,0.5,1.0,,,80,155,100,200,2,30,8,55000,5,12,360,0.25,8,8,,,,,,,,ssp_bp,,0.5,2,3,
Wave,ssp_wave,Battlecarrier,LLI,reservewing,7,3600,300,4500,,200,70,1,50,60,40,30,35,500,FRONT,,270,0.4,0.8,,,60,160,120,100,2,30,9,40000,5,12,360,0.25,9,9,,,,,,,,"ssp_bp,ssp_wave_bp",,0.5,2,3,
Wave(M),ssp_wave_M,Missile Destroyer,LLI,fastmissileracks,10,3600,300,4500,,200,80,0,50,60,40,30,35,500,FRONT,,270,0.4,0.8,,,60,160,120,100,2,30,9,40000,5,12,360,0.25,15,15,,,,,,,,ssp_wave_bp,,0.5,2,3,
Volcano,ssp_vocaino,Destroyer,LLI,ssp_ammofeedjet,7,4500,500,5500,,400,95,0,75,60,40,30,35,600,FRONT,,300,0.4,1.0,,,80,155,200,300,2,30,8,55000,5,12,420,0.25,12,12,,,,,,,,ssp_bp,,0.5,2,3,
Heatwave,ssp_yu_lian,Destroyer,LLI,ssp_AmmoFeed,8,4200,420,5000,,250,90,0,85,70,55,30,70,450,OMNI,,150,0.3,0.8,,,50,80,80,140,2,20,9,60000,5,12,360,0.25,10,10,,,,,,,,ssp_bp,,0.5,2,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doomsayer,ssp_TDS,Cruiser,LLI,ssp_TDS_system,24,9500,1200,10000,,800,180,0,70,40,25,25,20,1800,OMNI,,120,0.3,0.8,,,140,240,250,275,4,30,8,225000,4,14,510,0.25,30,30,,,,,,,,"ssp_bp,rare_bp",,0.5,2,3,
Magma,ssp_undergroundfire,Light Cruiser,LLI,ssp_HighEnergyFocus,12,6500,650,6000,,450,135,0,75,90,60,30,45,1400,OMNI,,180,0.6,1.0,,,120,200,160,250,4,30,8,90000,4,14,480,0.25,16,16,,,,,,,,ssp_bp,,0.5,2,3,
La Niña,ssp_lanina,Fast Cruiser,LLI,ssp_lanina_system,16,8000,600,10000,,650,140,0,75,60,40,22,22,1400,OMNI,,180,0.6,1.0,,,180,360,200,300,4,40,10,180000,4,14,480,0.25,22,22,,,,,,,,"ssp_bp,rare_bp",,0.5,2,3,
Wasteland,ssp_wasteland,Cruiser,LLI,ssp_AmmoFeed,16,7000,700,8000,,650,160,0,60,30,24,12,16,1100,FRONT,,240,0.5,1.0,,,150,300,220,220,4,30,8,150000,4,14,480,0.25,24,24,,,,,,,,"ssp_bp,rare_bp",,0.5,2,3,
Tide,ssp_tide,Battlecarrier,LLI,ssp_HitMeYouWeekMissile,18,6500,500,6000,,300,145,4,40,24,12,12,12,1400,OMNI,,150,0.4,0.8,,,180,360,120,160,4,30,8,145000,4,14,480,0.25,25,25,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT",ssp_bp,,0.5,2,3,
Tide(T),ssp_tide_T,Missile Cruiser,LLI,drone_strike,18,6500,500,6000,,300,145,2,40,24,12,12,12,1400,OMNI,,150,0.4,0.8,,,180,360,120,160,4,30,8,145000,4,14,480,0.25,18,18,,,,,,,,ssp_bp,,0.5,2,3,
Seaquake,ssp_seaquake,Cruiser,LLI,ssp_ManeuveringJets,14,8000,1000,11000,,700,160,0,60,30,20,15,20,1200,FRONT,,270,0.4,0.8,,,150,250,150,100,4,30,8,120000,4,14,480,0.25,20,20,,,,,,,,"ssp_bp,rare_bp",,0.5,2,3,
Ball Lightning,ssp_thunder,Heavy Cruiser,LLI,ssp_ThunderCharge,18,9000,1000,14000,,500,160,0,50,24,12,12,12,1600,OMNI,,360,0.3,0.7,,,150,250,120,160,4,30,8,135000,4,14,480,0.25,25,25,,,,,,,,"ssp_bp,rare_bp",,0.5,2,3,
Naga,ssp_naga,Cruiser,LLI,ssp_missleswarm,20,10000,900,10000,,650,160,1,55,40,25,25,20,1600,OMNI,,120,0.3,0.8,,,180,250,240,200,4,30,8,215000,4,14,480,0.25,22,22,,,,,,,,"ssp_bp,rare_bp",,0.5,2,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Niño,ssp_elnino,Battlecruiser,LLI,ssp_ammofeedjet,28,13500,1000,18500,,1000,325,0,50,45,28,15,15,2300,FRONT,,240,0.6,1.0,,,250,500,300,300,8,40,7,350000,3,22,720,0.25,45,45,,,,,,,,"ssp_bp,rare_bp",,0.5,2,4,
Tornado,ssp_tronado,Battleship,LLI,ssp_ThunderCharge,39,16000,1500,22000,,750,355,2,25,16,12,8,8,3100,OMNI,,360,0.3,0.8,,,350,700,450,500,8,40,7,400000,3,22,720,0.25,60,60,,,,,,,,"ssp_bp,rare_bp",,0.5,2,4,
Flood,ssp_flood,Battleship,LLI,ssp_AdvanceVenting,32,14000,1000,17000,,750,285,0,50,50,40,20,20,2500,OMNI,,150,0.6,0.8,,,400,800,400,450,8,40,8,330000,3,22,720,0.25,40,40,,,,,,,,"ssp_bp,rare_bp",,0.5,2,4,
Hanba,ssp_hanba,Missile Battleship,LLI,ssp_HitMeYouWeekMissile,42,16500,1450,13500,,600,340,0,45,16,12,8,8,3000,FRONT,,270,0.4,0.7,,,350,700,450,500,8,40,7,300000,3,22,720,0.25,50,50,,,,,,,,"ssp_bp,rare_bp",,0.5,2,4,
Karni,ssp_karni,Heavy Battlecarrier,LLI,ssp_microburn,35,16000,1600,14000,,700,350,4,40,45,28,15,15,2750,PHASE,damper,,,,,,300,1000,400,400,8,40,8,400000,3,22,720,0.25,55,55,,,,,,,,"ssp_bp,rare_bp",,0.5,2,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
