name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,number
#名字,#id,#舰船分级,#设计类型,#技能,#战斗点数,#结构,#装甲,#幅能总量,#没用的,#幅能耗散,#装配点,#甲板,#最大速度,#加速度,#减速度,#最大转弯角速度,#转弯加速度,#质量,#护盾类型,#防御系统ID,#护盾角度,#护盾维持,#护盾效率,#相位消耗,#相位效率,#必要船员,#最大载员,#货舱,#燃料,#燃料每光年,#范围,#最大速度,#基础价格,#每天回复cr,#部署消耗cr,#峰值时间,#每秒cr掉落,#完全恢复成本,#维护消耗,,,,,,,#给ai标识用,#标签,#没用的稀有度,#裂开概率,#最小碎成几块,#最多碎成几块,#没用的序号
阴燃,ssp_combustion,重型护卫舰,楼兰工业,ssp_PhaseTransferField,5,2400,400,1800,,120,60,0,100,120,90,55,145,250,FRONT,,270,0.5,1.0,,,15,30,30,20,1,20,10,14000,8,10,240,0.25,5,5,,,,,,,,ssp_bp,,0.5,2,2,
溪水,ssp_river,无人机补给舰,楼兰工业,ssp_ManeuveringJets,2,1200,180,1500,,100,45,1,100,120,90,55,145,300,FRONT,,360,0.4,1.0,,,25,60,100,100,1,20,11,9500,8,10,240,0.25,3,3,,,,,,,,ssp_bp,,0.5,2,2,
涡流,ssp_vortexing,导弹护卫舰,楼兰工业,ssp_missleswarm,3,1400,235,2200,,175,50,0,145,190,140,80,230,200,FRONT,,270,0.5,0.8,,,15,30,30,20,1,20,11,12000,8,10,240,0.25,4,4,,,,,,,,ssp_bp,,0.5,2,2,
寒露,ssp_dew,护卫舰,楼兰工业,ssp_HighEnergyFocus,3,1000,140,2400,,225,45,0,155,250,200,120,300,200,OMNI,,150,0.3,0.6,,,15,25,30,20,1,20,11,10000,8,10,240,0.25,4,4,,,,,,,,ssp_bp,,0.5,2,2,
祝融,ssp_zhurong,先进炮艇,楼兰工业,ssp_zhurong_system,12,2000,200,5000,,400,70,0,95,175,150,60,155,250,OMNI,,180,0.6,0.6,,,25,60,30,20,1,20,11,70000,8,16,180,0.25,15,15,,,,,,,,"ssp_bp,rare_bp",,0.5,2,2,
共工,ssp_gonggong,先进盾卫舰,楼兰工业,ssp_gonggong_system,12,2000,200,4000,,200,40,0,95,175,150,60,155,300,OMNI,,360,2.4,0.3,,,25,60,30,20,1,30,9,70000,8,16,360,0.25,15,15,,,,,,,,"ssp_bp,rare_bp",,0.5,2,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
电涌,ssp_conduit,重型炮艇,楼兰工业,ssp_HighEnergyFocus,9,6000,800,4250,,350,80,0,100,120,90,55,105,350,PHASE,damper,,,,,,50,50,20,30,2,25,9,45000,5,12,360,0.25,11,11,,,,,,,,ssp_bp,,0.5,2,3,
灼焰,ssp_flame,轻型驱逐舰,楼兰工业,ssp_microburn,6,3600,350,3500,,300,85,0,105,80,60,35,40,400,FRONT,,240,0.4,0.8,,,40,90,80,90,2,30,10,30000,5,12,360,0.25,7,7,,,,,,,MISSILE_HARDPOINTS_ROTATE,ssp_bp,,0.5,2,3,
乱流,ssp_turbulence,重型驱逐舰,楼兰工业,ssp_PhaseTransferField,8,5000,600,4000,,200,95,0,60,45,25,35,25,700,OMNI,,120,0.5,1.0,,,80,155,100,200,2,30,8,55000,5,12,360,0.25,8,8,,,,,,,,ssp_bp,,0.5,2,3,
浪潮,ssp_wave,武装航母,楼兰工业,reservewing,7,3600,300,4500,,200,70,1,50,60,40,30,35,500,FRONT,,270,0.4,0.8,,,60,160,120,100,2,30,9,40000,5,12,360,0.25,9,9,,,,,,,,"ssp_bp,ssp_wave_bp",,0.5,2,3,
浪潮(M),ssp_wave_M,导弹驱逐舰,楼兰工业,fastmissileracks,10,3600,300,4500,,200,80,0,50,60,40,30,35,500,FRONT,,270,0.4,0.8,,,60,160,120,100,2,30,9,40000,5,12,360,0.25,15,15,,,,,,,,ssp_wave_bp,,0.5,2,3,
业焱,ssp_vocaino,驱逐舰,楼兰工业,ssp_ammofeedjet,7,4500,500,5500,,400,95,0,75,60,40,30,35,600,FRONT,,300,0.4,1.0,,,80,155,200,300,2,30,8,55000,5,12,420,0.25,12,12,,,,,,,,ssp_bp,,0.5,2,3,
热风,ssp_yu_lian,驱逐舰,楼兰工业,ssp_AmmoFeed,8,4200,420,5000,,250,90,0,85,70,55,30,70,450,OMNI,,150,0.3,0.8,,,50,80,80,140,2,20,9,60000,5,12,360,0.25,10,10,,,,,,,,ssp_bp,,0.5,2,3,
