id,type,text1,text2,text3,text4
ssp_wave,SHIP,"The Wave-class is a cheap and effective carrier, which is more suited to the frontlines than a standard carrier platform.",,,
ssp_karni,SHIP,"The result of the LouLan Navy retrofitting an ancient carrier design dating back to a similar time period as the venerable Onslaught's introduction, the Karni-class not only retains its original heavy armor, but also includes a number of advanced energy weapon systems. The sight of a behemoth with heavy armor activating a Damper Field to defend itself while charging towards its enemies, accompanied by a swarm of fighters: the maximized intimidation factor gives it a significant advantage in psychological warfare.",,,
ssp_vortexing,SHIP,"A versatile frigate with a wide range of uses, the Gyre-class’s greatest asset is its powerful HE missile launcher and accompanying tactical system, which enables it to not only have excellent combat effectiveness in smaller battles, but also effectively eliminate enemy ships in large-scale combat.",,,
ssp_elnino,SHIP,"The El Niño-class is the most versatile battleship in the Loulan Navy, possessing strong firepower and excellent mobility. The El Niño is a refitted Conquest, having been heavily modified and given a coat of red and white paint. A group of pirates have been attempting to convince the populace that the two are completely different. Surely, if they repeat it enough, it will gradually become accepted as the truth.",,,
ssp_vocaino,SHIP,"A destroyer equipped with a large weapon mount, such a thing is rare for ships in its size bracket. According to the LouLan Navy's records, approximately 70% of the Volcano-class destroyers in service are assigned to fire support - explaining their low casualty rate.",,,
ssp_lanina,SHIP,"When dealing with local pirates and raiders, The La Niña-class always plays an important role. As a cruiser specially designed for hunting smaller and weaker foes, it is equipped with capital-scale propulsion, light armor and a specialized tactical system to obtain ultra-high mobility and speed.",,,
ssp_wasteland,SHIP,"The Wasteland-class visually resembles the Hammerhead, the primary difference being that the ""hammer"" part of the ship has a more robust structure. The ship is a favorite among the LouLan navy, and many Wasteland captains have a metallic replica of the ship on their desk.",,,
ssp_tide,SHIP,The Tide-class is designed to launch an inordinate amount of fighters while maintaining a constant presence on the front lines.,,,
ssp_tide_T,SHIP,"A variant of the Tide-class carrier, the ""T-type"" is a missile cruiser that mounts a pair of Terminator drone wings; the vast majority of the flight decks were otherwise removed and replaced with mounting points for missiles.",,,
ssp_seaquake,SHIP,"The Seaquake-class is the most versatile cruiser in the LouLan Navy. Together with a balanced loadout, powerful firepower, and an excellent shield it is the bane of any enemy of the LouLan Navy.",,,
ssp_wave_M,SHIP,"An alternative model of the Wave-class, this modification removes the flight decks but installs heavy missile armament in their place. Though not employed by the Loulan Navy (or anyone else), it's rumored the blueprints are still in use.",,,
ssp_tronado,SHIP,"The Tornado-class invokes it’s namesake with a great number of large slots, multiple flight decks and heavy armor. It turns into a terrible tornado on the battlefield and ruthlessly destroys any defensive line.",,,
ssp_flood,SHIP,"The Flood-class is the perfect collision between modern advanced technology and a classic time-tested design. This battleship embodies the phrase “The best defense is a good offense”, with heavy front-focused firepower, but poor defensive capabilities.",,,
ssp_combustion,SHIP,A heavy frigate with fierce firepower and a robust hull. Its invisible flames cannot be ignored.,,,
ssp_flame,SHIP,"This light destroyer specializes in assaults, and often undertakes pursuit tasks alongside La Niña-clas cruisers. They shine in the hands of a commander willing to take full advantage of their superior mobility.",,,
ssp_river,SHIP,This frigate specializes in escort missions but can also be used in a non combative role for salvage and exploration.,,,
ssp_thunder,SHIP,"Combining the powerful shields of LouLan ships with excellent armor and firepower, the Ball Lightning-class serves as a powerful line ship in the LouLan Navy.",,,
ssp_turbulence,SHIP,"This heavy destroyer is mainly responsible for defensive patrols. The Cascade-class has a specially designed derivative of the Damper Field, which not only prevents the ship from being damaged, but also activates an automatic repair device to repair weapons, engines, and even facilitate renewed weapon firing.",,,
ssp_hanba,SHIP,"The Hanba-class was retrofitted from another ship class. The ship is proof of the close relationship between the LouLan Navy and the Lion’s Guard. Although opinions of the origin of this warship differ, there is no doubt to its effectiveness on the field, and its ability to drown its opponent in a tide of missiles.",,,
ssp_conduit,SHIP,A heavy gunship equipped with energy weapons. Uses an advanced damper field instead of shields.,,,
ssp_undergroundfire,SHIP,"A light cruiser that can carry a considerable number of energy weapons, the Magma possesses disproportionate firepower for its size. According to the Loulan Navy's statistics, approximately 80% of the Magma-class ships in service utilize a pair of Blazing Torii, a fact likely related to the ship's weak flux grid.",,,
ssp_dew,SHIP,"The standard frigate of the LouLan Navy. Besides its cheapness and ease of maintenance, the Dew-class's biggest strength is its considerable energy firepower without needing extensive configuration.",,,
ssp_yu_lian,SHIP,"Apparently, the Heatwave-class destroyer was derived from another class of ship. It was officially a peaceful technological exchange; but some theorize that it was stolen from a heavily guarded research facility by an agent risking their lives: it's hard to imagine just how drunk one would have to be to create such a crackpot theory. This 'La Mini-ña' focuses on frontal firepower; much like the Flood-class, it lacks defense and must strive to use its firepower to uphold the saying that ""the best defense is a good offense"".",,,
ssp_zhurong,SHIP,"An advanced gunship with impressive firepower and excellent maneuverability, this frigate was named after a god of fire from an ancient Old Earth myth. Though the ship looks similar to the Vigilance-class frigate, the two are completely unrelated.",,,
ssp_gonggong,SHIP,"A defense-focused frigate with powerful shield generators, this ship was given the name of a god of water from an ancient Old Earth myth. Though filling a similar role to the Monitor-class frigate, the two are apparently unrelated.",,,
ssp_TDS,SHIP,"A heavy cruiser with an advanced ""Transient Vectoring"" system, which gives it impressive maneuverability in contrast to its blocky appearance.",,,
ssp_naga,SHIP,"An oddly familiar cruiser, specialized in hunting down smaller ships.",,,
###################,,,,,
ssp_hivedrone,SHIP,"Cheaply-built drones, primarily used as escorts. Capacity:200 Dissipation:40",,,
ssp_heavyfog,SHIP,"A fighter with heavy armor, strong shields, and a relatively powerful flux grid; but lacking in firepower. Capacity:600 Dissipation:80",,,
ssp_dustfog,SHIP,An anti-ship fighter with high firepower; but limited by its weak flux grid. Capacity:400 Dissipation:40,,,
ssp_mercurylake,SHIP,A superheavy interceptor boasting heavy armor and impregnable shields; it's even equipped with a Transmission Beam for coordinated operations. Capacity: 600 Dissipation:100,,,
ssp_mudslide,SHIP,A bomber better thought of as a strike weapon with engines attached. Capacity: 300 Dissipation: 40,,,
###################,,,,,
ssp_swarm,WEAPON,"An integrated multi-missile launcher. As the ammunition is easy to produce, it has an effectively unlimited supply.",,,
ssp_taclaser,WEAPON,The fighter-scale version of the Transmission Beam is equipped with an independent flux grid to not overly stress the flux of the fighters it's mounted on. This particular version is a long-ranged PD weapon.,,,
ssp_taclaser_srfd,WEAPON,The fighter-scale version of the Transmission Beam is equipped with an independent flux grid to not overly stress the flux of the fighters it's mounted on. This particular version is only useful for transmitting flux at close ranges; it is rather non-lethal.,,,
ssp_GPD_fighter,WEAPON,"A fighter-scale railgun: not only capable as an anti-shield weapon, but also capable of demolishing light armor ~ something armor ~ something ~ something",,,
ssp_TDS_buildinmissile,WEAPON,"An experimental DEM launcher, firing parallel missiles that form a continuous, powerful EMP beam between them. Not only are the missiles small and hard to hit, they also possess impressive armor, making them all-but immune to point defense.",,,
ssp_shredder,WEAPON,"What? This weapon is COMPLETELY unrelated to the Ion Beam, it's an ""arc generator"", you see: it scatters dielectric particles in advance to allow electric arcs to reach an incredible distance, making it easy to maintain and useful for robbing caravans, looting warehouses, saturation bombings, et cetera...",,,
ssp_lanina_weapon,WEAPON,An advanced phase beam weapon. When making contact with its targets’ propulsion system it can interfere with their inertia to cause them to spin out of control.,,,
ssp_vulcan,WEAPON,A better Vulcan. That's it.,,,
ssp_siege,WEAPON,The centerpiece of the Mudslide-class bomber. Launches a plasma bomb to inflict damage from long range.,,,
,,,,,
ssp_heatbeam,WEAPON,"An anti-armor beam. Being an ancient weapon, it needs to be properly handled and gently disconnected to operate. Otherwise it is prone to causing rapid temperature fluctuations such as overheating or flash freezing which can damage the structure of the weapon.",,,
ssp_spot,WEAPON,"A suppressing beam weapon, it fires three parallel beams of light that can exert a significant pressure upon shields and even light armor.",,,
ssp_solareclipse,WEAPON,"The origin of this plasma weapon can be traced back to the very first spaceborne energy weapons produced. While the Plasma Cannon is notoriously complicated, this weapon simply uses a binding field to fix the hot plasma into a circular shell, greatly improving the stability of the shell, thus obtaining a longer range and greater flight speed.",,,
ssp_heatneedle,WEAPON,"A converted Heavy Needler, this weapon possesses increased range and damage over the Light Firestorm Needler, firing special rounds to destroy armor through aluminothermic reactions.",,,
ssp_lightheatneedle,WEAPON,A modified Light Needler which fires special rounds to destroy armor through aluminothermic reactions.,,,
ssp_shortgun,WEAPON,"A derivative of the Heavy Mauler, this weapon fires cluster munitions which can cause damage in a great area.",,,
ssp_gravitonluncher,WEAPON,"The standard medium-sized Gravity Hammer. This line of specialized anti-shield weapons is rather rare and experimental, only recently entering mass production after the the tireless efforts of their designers.",,,
ssp_largegravitonluncher,WEAPON,"A larger version of the standard Gravity Hammer which boasts increased range and killing power. This line of specialized anti-shield weapons is rather rare and experimental, only recently entering mass production after the the tireless efforts of their designers.",,,
ssp_plasmamissile,WEAPON,"This missile - or rather, this canister - holds a cloud of ions which can cause considerable damage, whether the canister directly impacts or the ions are shot out of it.",,,
ssp_FragMachinegun,WEAPON,"The relatively weak binding field of this point defense plasma weapon greatly reduces the stability of the plasma shell, causing it to have a lower effective range.",,,
ssp_MedMissle,WEAPON,"The structure of this missile is brutally simple, carrying a large number of inertial bomblets. The bombs are equipped with a separation charge, allowing them to reach a greater velocity and wider distribution the instant they separate from the missile.",,,
ssp_LargeMissile,WEAPON,"A larger Cluster Bomber which fires two missiles at a time. The structure of this missile is brutally simple, carrying a large number of inertial bomblets. The bombs are equipped with a separation charge, allowing them to reach a greater velocity and wider distribution the instant they separate from the missile.",,,
ssp_ChaosArmory,WEAPON,"A large multi-missile launcher. This weapon was originally designed as a ""smart"" missile launcher that automatically selected the type of missiles to fire based on its target's weaknesses: however, a critical error in the weapon's algorithms caused it to instead load different types at random. Strangely, the Loulan Navy actually enjoyed the random nature of the weapon, leading to it being fielded as-is.",,,
ssp_GPD,WEAPON,The six barrels of this autocannon can exert a powerful suppressive force against shields over a short burst.,,,
ssp_BigFackingGPD,WEAPON,"The larger, more powerful, version. A specially-designed particle gas chamber is required to produce the particle clusters fired by this weapon, with maintenance requiring special technicians familiar with particle technology: this complexity also makes it very difficult to install onto a ship.",,,
ssp_blaster,WEAPON,"The standard medium-sized version. A specially-designed particle gas chamber is required to produce the particle clusters fired by this weapon, with maintenance requiring special technicians familiar with particle technology: this complexity also makes it very difficult to install onto a ship.",,,
ssp_LargeShredder,WEAPON,"By projecting a beam of dielectric particles, following by causing excitation that induces electrical arcs, this beam and its arcs form a composite strike with an effect similar to ""kinetic kill"" weapons.",,,
ssp_FlareMine,WEAPON,A defensive weapon that fires six guided decoys at a time.,,,
ssp_DeliverPDLaser,WEAPON,Minor modifications of an outdated flux transmission device resulted in this beam weapon.,,,
ssp_TriFlak,WEAPON,Large caliber point defense guns which can destroy most incoming missiles and fighters in a single hit.,,,
