id,type,text1,text2,text3,text4
ssp_wave,SHIP,浪潮-级是一艘物美价廉的航母，相比较于作为单纯的舰载机发射平台，它更加适合奔赴前线。,,,
ssp_karni,SHIP,楼兰海军将一艘与攻势同年代的古代航母进行重新设计的成果，卡尼-级不仅保留了其初始版本的厚重装甲，还获得了大量先进的能量槽位。想象一下，一个带有厚重装甲和大量战机的庞然巨物激活着阻尼力场向敌人冲锋，十足的压迫感足以击溃绝大多数敌人的心理防线。,,,
ssp_vortexing,SHIP,用途广泛的护卫舰，涡流-级最大的亮点就是拥有一门火力强大的高爆导弹发射器和与之配合的战术系统，这使她不仅可以在小规模战斗中拥有出色的战斗力，也可以在大规模战斗中有效的消灭各种蜂拥而至的舰载机。,,,
ssp_elnino,SHIP,厄尔尼诺-级火力强大且机动性优秀，是楼兰海军中泛用性最高的战列舰。厄尔尼诺-级被广泛认为是经过大幅度改装的并且刷上了红色涂装的征服者-级，这导致了在英仙座匿名版上出现了一个专门解释这两者是完全不同的群体，他们坚信只要自己解释的够多就会逐渐改变这种不正确的想法。,,,
ssp_vocaino,SHIP,可以承担各种任务的标准驱逐舰，拥有同级别战舰少有的大型槽位。根据楼兰海军官方统计，有约70%的业焱-级在舰队中负责远程火力支援，这解释了为何该型号战舰的战损如此之低。,,,
ssp_lanina,SHIP,在对海盗的围捕行动中，拉尼娜-级总是可以大展身手。她是专门为猎杀低吨位战舰设计的巡洋舰，安装了战列舰级别的推进器，轻薄的装甲和量身定制的战术系统以获取超高的机动性和航速。,,,
ssp_wasteland,SHIP,"焦土-级拥有类似锤头-级的布局，不同的是该舰的""锤头""部分拥有更多的结构。指挥这艘船的舰长们在吃坚果时通常都会用自己舰船的金属模型砸开外壳，毕竟不会有舰长把锤子放在自己的桌子上的。",,,
ssp_tide,SHIP,纯粹为搭载更多舰载机而设计的航母，在拥有强大运载能力的同时拥有较合理的防御力。一名不知名的飞行员曾经如此评价：'潮汐是数量庞大的战机淹没一切的代名词，利爪倾泻而出，船员随之凋零。'尽管这名飞行员随后就被赛上了利爪，再也没有回来，但他的这句话却在潮汐-级的舰长之间一直流传着。,,,
ssp_tide_T,SHIP,潮汐-级的另一种型号，T型是搭载了终结者无人机的导弹巡洋舰。移除了绝大部分的飞行甲板并装载了支持导弹所需要设备。,,,
ssp_seaquake,SHIP,海啸-级性能均衡，是楼兰海军中泛用性最高的巡洋舰，其强大的火力和优秀的护盾，使她对任何敌人来说都是一个巨大的威胁。,,,
ssp_wave_M,SHIP,浪潮-级的另一种型号，M型定位为导弹驱逐舰，移除了飞行甲板并装载了支持导弹所需要的设备。尽管楼兰海军和其他舰队没有使用这款驱逐舰，但这并不意味着该舰船的蓝图已经遗失。,,,
ssp_tronado,SHIP,龙卷-级拥有的大量大型槽位、复数飞行甲板和厚重的装甲使它船如其名，在战场上化身一道恐怖的龙卷无情摧残任何战线。,,,
ssp_flood,SHIP,山洪-级是先进技术与经典设计的完美碰撞，这艘被冠以'楼兰之刃'称号的战列舰的火力基本集中在正面，且不擅长防守，但有句话说得好:'最好的防守就是进攻'。,,,
ssp_combustion,SHIP,火力凶猛且结构坚固的的重型护卫舰，忽视阴燃-级的结果往往就是被其无形的烈焰吞噬。,,,
ssp_flame,SHIP,专长突击的轻型驱逐舰，经常和拉尼娜-级一同承担追击任务，也常在一些专精机动战术的指挥官手中大放异彩。,,,
ssp_river,SHIP,专精护卫的护卫舰，战斗之外也可兼任打捞和探索工作。,,,
ssp_thunder,SHIP,既然有'楼兰之刃'，那么也会有'楼兰之盾'。球状闪电-级凭借优秀的护盾装甲和不俗的火力，成为了楼兰舰队中的一道坚固防线。,,,
ssp_turbulence,SHIP,重型驱逐舰，主要承担各种防御任务。乱流-级的先进阻尼力场，在防止船体受损的同时还会启动自动修复装置修复武器和推进器甚至重新装填武器。,,,
ssp_hanba,SHIP,很显然，旱魃-级是由另一艘战舰改造而来的。该战舰的存在象征楼兰和英仙座联盟曾经的紧密关系，逐渐延长的升级改造间隔也表明两者的关系正在不断恶化。相较于这艘战舰暗中给出的晦涩信息，一眼就能看出的强力导弹武装则直截了当的表明了成为它对手的后果。,,,
ssp_conduit,SHIP,以能量武器为主的重型炮艇，以阻尼力场取代了护盾。,,,
ssp_undergroundfire,SHIP,该轻型巡洋舰可搭载复数大型能量武器，拥有与其轻量化的船体不符的火力。根据楼兰海军官方统计，有约80%的地火-级选择炽焰之环作为舰船的主要武器，这可能与其低效的电网相关。,,,
ssp_dew,SHIP,作为楼兰海军的标准护卫舰，除了造价低廉易于维护，最重要的还是因无需太多配置的支持，就能让寒露-级拥有可观的能量火力。,,,
ssp_yu_lian,SHIP,很显然，热风-级是由另一艘战舰改造而来的。这艘战舰来自一次简单的技术交流，但通常人们都会去相信这是一名特工冒着生命危险从守卫森严的实验室中盗取的，很难想象是喝了什么酒的醉鬼能传出这样狸谱的谣言。这艘'迷你楼兰之刃'的火力基本集中在正面，且和山洪-级一样不擅长防守，只能依靠强大的炮火贯彻'最好的防守就是进攻'。,,,
ssp_zhurong,SHIP,火力强大且机动优秀的超级炮艇，被授以旧地球传说中火神之名的护卫舰。尽管外观上类似哨兵级护卫舰，但相关资料显示这两者毫无关联。,,,
ssp_gonggong,SHIP,拥有强大护盾发生器的防御平台，被授以旧地球传说中水神之名的护卫舰。尽管战术上类似监视者级护卫舰，但相关资料显示这两者毫无关联。,,,
ssp_TDS,SHIP,先进巡洋舰，向量喷发驱动系统赋予了和它厚重外观完全不符的机动性。,,,
ssp_naga,SHIP,专业反小型舰船巡洋舰，这艘舰船总是给人一种似曾相识的感觉。,,,
###################,,,,,
ssp_hivedrone,SHIP,造价低廉的无人机，主要用于护航任务。容量：200 耗散:40,,,
ssp_heavyfog,SHIP,配置有重型装甲和强大护盾的遥控战斗机，电网在战机中也极为优秀，不过火力欠佳。容量：600 耗散：80,,,
ssp_dustfog,SHIP,重火力反舰遥控战斗机，但火力受到幅能限制。容量：400 耗散：40,,,
ssp_mercurylake,SHIP,配置了重型装甲和无死角的护盾的超重型无人截击机。容量：600 耗散：100,,,
ssp_mudslide,SHIP,为一门爆炸性的武器装上推进器，那就是一台轰炸机了。容量：300 耗散：40,,,
###################,,,,,
ssp_swarm,WEAPON,内置的导弹发射器，由于其弹药易于生产因此不存在弹药限制。,,,
ssp_taclaser,WEAPON,战机版本的递送者，其配置了独立的幅能系统，因此其开火与否都不会影响到战机本身的幅能。这门递送者是长射程PD武器。,,,
ssp_taclaser_srfd,WEAPON,战机版本的递送者，其配置了独立的幅能系统，因此其开火与否都不会影响到战机本身的幅能。这门递送者仅仅是近距离幅能传输系统，杀伤力极低。,,,
ssp_GPD_fighter,WEAPON,战机搭载的磁轨炮，不仅是一款反护盾武器更是对轻型装甲的嘲讽:杂鱼装甲~杂鱼~杂鱼~,,,
ssp_TDS_buildinmissile,WEAPON,离子切割束是一款实验性武器，发射一对DEM单元从敌方侧翼发射带有强大EMP的光束，这对DEM单元不仅体积微小而且受到超重型装甲防护，任何点防御武器都无法拦截。,,,
ssp_shredder,WEAPON,什么？这不是离子束，这是一个电弧发生器，你看它通过提前散布介质粒子提升电弧的打击距离，维护方便节能环保，平时拿它来抢劫商队，劫掠仓库，最后再饱和轰炸......,,,
ssp_lanina_weapon,WEAPON,一门与推进系统连通的先进相位光束武器，功率足够高时甚至可以对惯性产生干涉。,,,
ssp_vulcan,WEAPON,火神炮增强版，仅此而已。,,,
ssp_siege,WEAPON,砾石河的主要组成部分。发射一枚等离子体炸弹造成范围性杀伤。,,,
,,,,,
ssp_heatbeam,WEAPON,反装甲光束。一种比较古老的武器，需要缓和的提供和断开能源才能正常运作，否则会导致武器急速的过热或冷却损坏脆弱其的结构。,,,
ssp_spot,WEAPON,压制型光束武器，三道平行排列的光束可对护盾和轻型装甲施加不可忽视的压力。,,,
ssp_solareclipse,WEAPON,这款等离子武器的历史可以追溯到能量武器诞生之初，和等离子炮复杂的原理不同，这款武器简单的利用束缚场将炽热的等离子体固定为环状的炮弹，大大提升了炮弹的稳定性，从而获得了更加远的射程和更高的飞行速度。,,,
ssp_heatneedle,WEAPON,基于重型针刺改装，射程和杀伤力比小槽位版本有所提升，发射铝热剂弹头通过铝热反应破坏装甲。,,,
ssp_lightheatneedle,WEAPON,基于轻型针刺改装，发射铝热剂弹头通过铝热反应破坏装甲。,,,
ssp_shortgun,WEAPON,基于重型撕裂者的结构设计的集束弹投射装置，炮弹离开炮管不久就会开始向周边释放小型炸弹杀伤周围的一切目标。,,,
ssp_gravitonluncher,WEAPON,标准中槽位版本。专业反护盾武器，一种稀有的实验性产品，在经过设计师们的不懈努力后终于可以量产。,,,
ssp_largegravitonluncher,WEAPON,射程更远杀伤力更强的大槽位版本。专业反护盾武器，一种稀有的实验性产品，在经过设计师们的不懈努力后终于可以量产。,,,
ssp_plasmamissile,WEAPON,支援型DEM，对目标的武器和推进器造成毁灭性打击，但哪怕是星区中最弱的护盾也能轻松防御。,,,
ssp_FragMachinegun,WEAPON,用于点防御的等离子武器，较弱的束缚场降低了弹丸的稳定性，使之可以产生极小范围性杀伤。,,,
ssp_MedMissle,WEAPON,标准中槽位版本。结构简单的火箭运载着大量惯性炸弹。运载火箭为这些炸弹配置了弹射装置，在离开运载火箭时获得了更高的速度和更广的散布。,,,
