name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
###Standard weapons###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##PD Weapon(s)##,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plasma Flak Cannon,ssp_FragMachinegun,0,0.5,700,550,,100,,1,60,7,3,2.5,3,FRAGMENTATION,25,,0,0.2,3,0.2,0,15,15,500,,600,,,100,,,PD,"ssp_bp,pd7",,LLI,,Point Defense,,,,,,,"This weapon's recoil decays rapidly, and the first shot in each burst has perfect accuracy.",,,6086
Clearsky Flak Cannon,ssp_TriFlak,0,0.5,1200,600,,300,,0,35,12,,,,FRAGMENTATION,75,,0,3.6,1,0,0,0,0,0,,700,,,200,,,PD,"ssp_bp,pd14",,LLI,,Space Cleanser (Area),,,,,,,,,,
##Energy weapons##,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transmission Beam,ssp_DeliverPDLaser,0,0.5,1100,800,150,,,0,60,11,,,,ENERGY,,120,0.1,0.1,,,,,,,3600,,,,,,,,"ssp_bp,energy6",,LLI,,Special,,,,,"%s: multiple ships firing Transmission Beams on the %s can transfer flux between each other, until each ship has an equal flux level. Each additional weapon with a Transmission Lens increases the rate by %s flux per second: all transferred flux will be converted into soft flux.",Transmission Lens|same ship|100,,,,274
Thermal Ray,ssp_heatbeam,0,0.5,1000,1000,180,,,0,12,10,,,,HIGH_EXPLOSIVE,,180,0.1,0.1,,,,,,,2400,,,,,,,,"he7,beam8,ssp_bp",,LLI,,Anti Armor,,,,,,,,,,2
Spotter Multibeam,ssp_spot,0,0.5,1000,1000,450,,,0,15,10,20,4,20,ENERGY,,450,0,0,0.1,0,,,,,1000000,,,,,,,,"energy6,beam6,ssp_bp",,LLI,,General,,,,,The beam can %s.,fire over allied ships,,,,3
Blazing Torus,ssp_solareclipse,0,0.5,2000,800,,750,,300,4,18,,,,ENERGY,900,,0.75,1.5,,,0,3,1.5,0.6,,1000,,,400,,,,"energy10, LR, ssp_bp",,LLI,,General,,,,,,,,,,4
Charge Lance,ssp_LargeShredder,0,0.5,3000,1000,600,,,0,4,30,,,,KINETIC,,1500,0.25,0.1,2.1,10,,,,,1000000,,,,,,,,"energy6,beam6, LR, ssp_bp",,LLI,,Anti Shield,,,,,"After firing, launches %s arcs at the beam's target, dealing %s kinetic and EMP damage; the damage of the arcs can be increased by up to %s depending on the firing ship's flux level.",10|100|100%,,,,3.51
##Ballistic HE weapons##,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firestorm Needler,ssp_heatneedle,0,0.5,1200,800,,40,,1,15,12,,,,HIGH_EXPLOSIVE,45,,0,4.55,30,0.05,0,9,0.8,4,,1200,,,10,,,,"he6,ssp_bp",,LLI,,Specialized Anti Armor,,,,,Deals additional damage to armor equal to %s of the projectile's damage. This damage is %s by armor damage reduction.,50%|not reduced,,,,5.75
Light Firestorm Needler,ssp_lightheatneedle,0,0.5,800,700,,40,,1,20,8,,,,HIGH_EXPLOSIVE,45,,0,5.3,15,0.05,0,9,0.8,4,,1200,,,10,,,,"he4,ssp_bp",,LLI,,Specialized Anti Armor,,,,,Deals additional damage to armor equal to %s of the projectile's damage. This damage is %s by armor damage reduction.,50%|not reduced,,,,23.6
Nether Cannon,ssp_shortgun,0,0.5,2200,900,,600,,1,9,22,,,,HIGH_EXPLOSIVE,840,,0.4,2.1,,,0,0,0,0,,350,,,10,,,,"he9,ssp_bp",,LLI,,Anti Armor (Area),,,,,Projectile spawns %s explosions nearby; the explosions' damage is equal to %s of the projectile's damage.,high explosive|25%,,,,
##Ballistic Kinetic weapons##,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revolver Autocannon,ssp_GPD,0,0.5,600,700,,100,0,1,60,6,,,,KINETIC,100,,0,3.4,6,0.15,4,10,1.5,4,,700,,,10,,,,"kinetic6,ssp_bp",,LLI,,Anti Shield,,,,,,,,,,5178
Gravity Hammer,ssp_gravitonluncher,0,0.5,1200,800,,200,,1,18,12,,,,KINETIC,320,,0,1.6,,,4,8,1.2,4,,700,,,10,,,,"kinetic8,ssp_bp",,LLI,,Specialized Anti Shield,,,,,Hits on shield increase the target's hard flux level by an amount equal to %s of the projectile's damage.,50%,,,,13.8
BF-Gravity Hammer ,ssp_largegravitonluncher,0,0.5,2500,900,,200,,1,12,25,,,,KINETIC,320,,0,1.4,2,0.2,2,8,1.2,4,,700,,,10,,,,"kinetic8,ssp_bp",,LLI,,Specialized Anti Shield,,,,,Hits on shield increase the target's hard flux level by an amount equal to %s of the projectile's damage.,50%,,,,13.8
##Ballistic Energy weapons##,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graviton Plasma Blaster,ssp_blaster,0,0.5,1500,1000,,700,350,300,10,15,,,,ENERGY,1000,,0,5.4,1,, ,0,0,0,,1000,,,10,,,,"ssp_bp,energy9",,LLI,,General(Sustained),,,,,%s: each hit from this weapon makes the target take %s more damage from all %s weapons: this debuff stacks infinitely.,Focus Fire|1%|Focus Fire,,,,4828
