name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
Wing Range Increase,omm_wing_range_increase,,,,,,,,,TRUE,0,0,0,0,tecrys.data.scripts.hullmods.omm_drone_weaponry,Increases Wing Range,Reduces ordnance point cost for drones.,graphics/hullmods/DroneHullmod.png
Modular Container Clamps,FreitagCorporation_Storage,,,,,,,,TRUE,,0,0,0,0,tecrys.data.scripts.hullmods.FreitagCorporation_Storage,"Increases maximum fuel, cargo or crew capacity %s,%s,%s depending on the first logistic hullmod installed on the ship. (Auxiliary Fuel Tanks, Expanded Cargo Holds or Additional Berthing)
The maximum number of logistic hullmods is increased by one.",Increases maximum capacity,graphics/hullmods/omm_clamps.png
Freitag Control Suite,omm_mainframelink,,,,,,,,TRUE,,0,0,0,0,tecrys.data.scripts.hullmods.FreitagCorporation_Storage,"Proprietary asset protection measures that come pre-installed on Freitag ships to avoid recovery by opposing forces.

This system also works as an advanced drone C3 system, allowing for drones to be equipped individually. Flux affecting and range increasing hullmods are shared between mothership and drones.

Manually controlled, the drones will aim towards the current position of the cursor much like a normal ship. 
However, the system does not allow for the grouping of weapons, only discriminating between missile and non-missile weapons, which are fired with middle mouse and left click respectively.",Drone equipment and data interface.,graphics/hullmods/DroneHullmod.png
Mobile Algae Farm,omm_algaefarm,,,,,,,,TRUE,,0,0,0,0,tecrys.data.scripts.hullmods.omm_algaefarm,"Pods of condensed algae flourish due to the abundance of ambient solar radiation. Produces 1/3/6/10 supplies and 1/2/3/6 fuel every day.
Stops prduction if fleet is in hyperspace or if the current system has no normal star. 
Black holes and neutron stars are not considered normal.",,graphics/hullmods/omm_algae_hullmod.png
no missile reload,omm_no_missile_reload,,,,,,,,,TRUE,0,0,0,0,tecrys.data.scripts.hullmods.omm_no_missile_reload,,,graphics/hullmods/DroneHullmod.png
Factory Limiter Override,omm_factory_override,,,Freitag Corporation,no_build_in,,,,TRUE,,0,0,0,0,tecrys.data.scripts.hullmods.omm_factory_override,"The crew has access to the codes necessary to override the factory limiter software installed on civilian grade ships produced by the Freitag Corporation, effectively doubling all positive effects of Militarized Subsystems, Assault Package and Escort Package. The fact that they are able to remove such limiters on ships produced by other manufacturers has gained them the allegation of industrial espionage but could not be proven so far.",,graphics/hullmods/limiter_override.png
Monofilament Tow Cable,omm_tow_cable,,,,,,,,TRUE,,0,0,0,0,tecrys.data.scripts.hullmods.omm_TowCable,"Improves the maximum burn level of the slowest ship in the fleet by 1. Up to 2 cables can be used to speed up the same ship by up to 2.

Can not be used in combat.",Increases burn level of another ship.,graphics/hullmods/omm_monofilament_cable.png
,,,,,,,,,,,,,,,,,,
Synergy Pod AI,omm_synergypodai,,,,,,,,TRUE,TRUE,0,0,0,0,tecrys.data.fighters.synergy_pod.synergypodHullmod,Controls the AI for the Weapons drone,,
Missile Pod AI,omm_missilepodai,,,,,,,,TRUE,TRUE,0,0,0,0,tecrys.data.fighters.missile_pod.missilepodHullmod,Controls the AI for the Weapons drone,,
Composite Pod AI,omm_compositepodai,,,,,,,,TRUE,TRUE,0,0,0,0,tecrys.data.fighters.composite_pod.compositepodHullmod,Controls the AI for the Weapons drone,,
Large Pod AI,omm_largepodai,,,,,,,,TRUE,TRUE,0,0,0,0,tecrys.data.fighters.large_pod.largepodHullmod,Controls the AI for the Weapons drone,,
Small Pod AI,omm_smallpodai,,,,,,,,TRUE,TRUE,0,0,0,0,tecrys.data.fighters.small_pod.smallpodHullmod,Controls the AI for the Weapons drone,,
Ballistic Pod AI,omm_ballisticpodai,,,,,,,,TRUE,TRUE,0,0,0,0,tecrys.data.fighters.ballistic_pod.ballisticpodHullmod,Controls the AI for the Weapons drone,,
PD Pod AI,omm_pddroneai,,,,,,,,TRUE,TRUE,0,0,0,0,tecrys.data.fighters.pddrone_pod.pddronepodHullmod,Controls the AI for the Weapons drone,,
,,,,,,,,,,,,,,,,,,
