name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
Crevette,omm_crevette,Mobile Welder,Freitag Corporation,plasmajets,5,1500,150,1950,1250,190,39,2,110,70,60,50,50,180,FRONT,,180,0.5,0.8,,,10,25,80,30,1,30,10,42000,8,14,240,0.25,4,4,,,,,,,"CIVILIAN,RENDER_ENGINES_BELOW_HULL","FreitagCorporation_pulse_bp, merc",,0.25,2,2,,
Ecrevisse,omm_ecrevisse,Heavy Manipulator,Freitag Corporation,FreitagCorporation_Manipulator,6,3800,450,3000,3000,220,60,3,80,50,45,25,35,500,FRONT,,125,0.5,0.8,,,20,50,80,70,2,35,9,96000,5,13,300,0.25,6,6,,,,,,,"CIVILIAN,RENDER_ENGINES_BELOW_HULL","FreitagCorporation_pulse_bp, merc",,0.7,2,3,,
Orchestia,omm_sandhopper,Salvage Defender,Freitag Corporation,omm_jumper,15,3500,400,5500,3000,250,75,4,90,55,40,40,70,350,OMNI,,160,0.5,0.7,,,30,50,50,60,2,30,8,120000,5,20,300,0.25,15,15,,,,,,,RENDER_ENGINES_BELOW_HULL,"FreitagCorporation_pulse_bp, merc",,0.7,2,3,,
Euphausia,omm_euphausia,Space Elevator Repair Unit,Freitag Corporation,FreitagCorporation_FluxEater,14,5000,300,5000,7500,300,110,7,80,35,30,25,20,1250,FRONT,,30,0.5,0.8,,,80,225,300,150,3,50,7,240000,4,16,480,0.25,14,10,,,,,,,"CIVILIAN,RENDER_ENGINES_BELOW_HULL","FreitagCorporation_pulse_bp, merc",,0.5,2,3,,
Nathantia,omm_nathantia,Hyperspace Vanguard,Freitag Corporation,FreitagCorporation_TemporalShellBuff,20,10000,550,8000,25000,450,200,8,70,25,15,15,12,2600,OMNI,,40,0.5,0.8,,,300,900,500,550,8,60,8,3000000,4,20,600,0.25,20,15,,,,,,,"CIVILIAN,RENDER_ENGINES_BELOW_HULL","FreitagCorporation_pulse_bp, merc",,0.6,2,4,,
Sesarma,omm_sesarma,Courier,Freitag Corporation,maneuveringjets,7,5500,250,2800,2000,175,50,2,55,25,10,10,10,1400,OMNI,,60,0.5,0.8,,,35,250,200,200,3,30,8,75000,3,10,480,0.25,7,7,,,,,,,"CIVILIAN,RENDER_ENGINES_BELOW_HULL, FREIGHTER, TANKER, TRANSPORT","FreitagCorporation_pulse_bp, merc",,0.6,2,3,,
Limnopilos,omm_limnopilos,Algae Host,Freitag Corporation,flarelauncher_active,3,3000,175,2000,1167,120,40,1,50,25,20,15,15,400,OMNI,,60,0.5,0.8,,,10,20,250,200,2,40,7,80000,5,20,240,0.25,3,3,133,200,,,,,"CIVILIAN,RENDER_ENGINES_BELOW_HULL","FreitagCorporation_pulse_bp, merc",,0.6,2,3,,304
Macrocheira,omm_macrocheira,Mobile Algae Farm,Freitag Corporation,flarelauncher_active,8,13000,220,6000,1167,300,104,3,45,25,20,15,13,3000,OMNI,,60,0.5,0.8,,,80,200,800,700,5,40,6,2000000,5,20,120,0.25,8,12,133,200,,,,,"CIVILIAN,RENDER_ENGINES_BELOW_HULL","FreitagCorporation_pulse_bp, merc",,0.6,2,3,,304
Koura,omm_koura,Phasecloak Testbed,Freitag Corporation,targetingfeed,12,2000,250,4000,3125,300,49,4,140,120,120,60,120,300,PHASE,phasecloak,,,,0.02,0.04,35,45,40,20,1,20,9,2500000,7,20,180,0.25,12,10,,,,,,,RENDER_ENGINES_BELOW_HULL,"FreitagCorporation_pulse_bp, merc",,0.25,2,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algae Pod,omm_algaepod,Algae Pod,Freitag Corporation,,1,3000,600,4000,5000,400,0,2,0,0,0,4,4,500,NONE,,180,0.1,1,,,0,0,0,0,1,80,,1500000,,1,,,0,0,,,,,,,"UNBOARDABLE, NO_AUTO_ESCORT",,,0.5,2,4,,
Octocorallia,omm_octocorallia,Defense Platform,Freitag Corporation,,1,3000,700,5000,5000,200,60,,0,0,0,4,4,500,OMNI,,180,0.1,1,,,0,0,0,0,1,80,,1500000,,1,,,0,0,,,,,,,"UNBOARDABLE, NO_AUTO_ESCORT",,,0.5,2,4,,
Shield Drone,FreitagCorporation_ShieldDrone,Shield Drone,Freitag Corporation,omm_drone_charge,,150,50,2000,,150,,,130,400,400,200,400,5,FRONT,,360,0,0.4,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
Point Defense Drone,omm_pddrone,Modular Point Defense Drone,Freitag Corporation,,,200,50,6000,,100,13,,150,50,50,40,15,30,FRONT,,120,0,0.5,,,0,0,,,,,,,,,,,,,,,,,,,UNBOARDABLE,,,0.5,2,2,,
Energy Pod,omm_weaponpod,Modular Weapon Drone,Freitag Corporation,,,300,100,6000,,100,13,,160,400,400,90,180,30,FRONT,,120,0,1,,,0,0,,,,,,,,,,,,,,,,,,,UNBOARDABLE,,,0.5,2,2,,
Synergy Pod,omm_synergypod,Modular Weapon Drone,Freitag Corporation,,,200,100,6000,,100,13,,160,400,400,90,180,30,FRONT,,180,0,1,,,0,0,,,,,,,,,,,,,,,,,,,UNBOARDABLE,,,0.5,2,2,,
Missile Pod,omm_missilepod,Modular Weapon Drone,Freitag Corporation,,,200,50,6000,,100,13,,160,400,400,90,180,30,FRONT,,120,0,1,,,0,0,,,,,,,,,,,,,,,,,,,UNBOARDABLE,,,0.5,2,2,,
Missile Pod,omm_medmissilepod,Modular Weapon Drone,Freitag Corporation,,,300,100,6000,,100,13,,160,400,400,90,180,30,FRONT,,120,0,1,,,0,0,,,,,,,,,,,,,,,,,,,UNBOARDABLE,,,0.5,2,2,,
Composite Pod,omm_compositepod,Modular Weapon Drone,Freitag Corporation,,,300,100,6000,,100,13,,160,400,400,90,180,30,FRONT,,120,0,1,,,0,0,,,,,,,,,,,,,,,,,,,UNBOARDABLE,,,0.5,2,2,,
Hybrid Pod,omm_smallpod,Modular Weapon Drone,Freitag Corporation,,,200,50,6000,,100,13,,160,400,400,90,180,30,FRONT,,120,0,1,,,0,0,,,,,,,,,,,,,,,,,,,UNBOARDABLE,,,0.5,2,2,,
Ballistic Pod,omm_ballisticpod,Modular Weapon Drone,Freitag Corporation,,,300,100,6000,,100,13,,160,400,400,90,180,30,FRONT,,120,0,1,,,0,0,,,,,,,,,,,,,,,,,,,UNBOARDABLE,,,0.5,2,2,,
Large Pod,omm_largepod,Modular Weapon Drone,Freitag Corporation,,,800,100,6000,,100,25,,160,400,400,90,180,30,FRONT,,180,0,1,,,0,0,,,,,,,,,,,,,,,,,,,UNBOARDABLE,,,0.5,2,2,,
Maintenance Drone,omm_nanodrone,Algae Tender,Freitag Corporation,flarelauncher_active,,400,100,1000,,100,0,,150,50,50,40,15,30,NONE,,180,0,0.2,,,0,0,,,,,,,,,,,,,,,,,,,UNBOARDABLE,,,0.5,2,2,,
