name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
#CAPITALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fregairt,ork_dreadnotv2,Dreadnought,Bultach Coalition,bt_assault_burn,35,25000,1900,19000,15000,900,365,,28,12,8,4,4,6000,FRONT,,110,0.4,1,,,825,1650,350,450,17,26,7,700000,3,20,720,0.15,50,50,,,,,,,,rare_bp,,.5,3,5,,
Nadhmòr,ork_battlecruiser,Battlecruiser,Bultach Coalition,bt_engine_burn,25,13500,1150,15500,30000,750,265,,65,35,25,12,13,2500,OMNI,,100,0.3,1.1,,,450,850,225,250,12,32,8,600000,3,15,680,0.25,45,45,,,,,,,,rare_bp,,0.5,2,4,,503
Daiche,ork_bigscrap,Battle Carrier,Bultach Coalition,bt_yoinker,24,15500,1600,14000,11250,575,230,2,28,18,10,8,6,2500,FRONT,,100,0.4,1,,,400,900,260,300,14,29,7,320000,2,20,720,0.25,36,36,,,,,,,,rare_bp,,0.75,3,5,,506.5
Retribution TWO,ork_sledgehammer,Battlecruiser,Bultach Coalition,offensive_orion_device,22,13500,1100,14000,17500,650,265,,55,30,25,12,9,2750,OMNI,,70,0.3,1.1,,,350,450,225,300,10,30,8,200000,3,12,600,0.25,40,40,,,,,,,HIDE_IN_CODEX,restricted,,0.6,2,4,,
Triumph,ork_triumph,Battleship,Midline,maneuveringjets,32,21500,1650,19500,15000,850,300,,28,13,10,5,4,3500,FRONT,,220,0.4,.8,,,800,1500,350,450,15,30,7,450000,3,12,720,0.25,50,50,,,,,,,,"rare_bp, merc",,0.4,2,4,,500
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#CRUISERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramala,ork_vencha,Battle Carrier,Bultach Coalition,bt_yoinker,12,10000,1050,6000,6000,275,140,2,33,25,10,12,6,1500,FRONT,,130,0.4,1,,,130,225,140,120,4,30,8,80000,5,10,480,0.25,18,18,,,,,,,,"rare_bp, ork_project_bp",,0.4,2,3,,
Mèinneadh,ork_mining,Cruiser,Bultach Coalition,reservewing,9,5500,600,4500,6000,200,115,2,40,15,10,12,6,1500,OMNI,,120,0.4,1.1,,,100,150,300,140,3,33,7,70000,5,10,480,0.25,14,14,,,,,,,,"base_bp, merc, ork_project_bp",,0.4,2,3,,402
Daignich,ork_tail,Cruiser,Bultach Coalition,bt_aegis,17,10000,850,11000,10000,550,170,,50,25,12,18,14,2250,FRONT,,150,0.4,0.9,,,150,225,150,150,5,33,8,145000,4,12,480,0.25,26,26,,,,,,,,ork_project_bp,,0.4,2,3,,404
Murtach,ork_murtach,Experimental Phase Cruiser,Bultach Coalition,bt_forcedphase,22,10000,1100,11500,4000,675,165,,65,35,25,30,18,2000,NONE,,,,,,,120,180,90,70,4,27,8,350000,4,12,350,0.25,32,32,,,,,,,,ork_project_bp,,0.5,2,3,,410
Dhaich,ork_bigracer,Light Cruiser,Bultach Coalition,bt_offensive_overdrive,15,6500,675,7000,8000,400,150,,70,65,45,18,23,650,FRONT,,200,0.4,0.9,,,90,145,120,100,3,33,8,130000,4,12,480,0.25,19,19,,,,,,,,"rare_bp, ork_project_bp",,0.5,2,3,,400
Plàigh,ork_interdictor,Phase Interdictor,Bultach Coalition,phase_interdict,13,8500,700,8000,17000,400,120,,50,35,15,20,14,1200,FRONT,,120,0.4,0.9,,,130,150,80,80,4,35,8,100000,3,8,480,0.25,21,21,,,,,,,,"rare_bp, ork_project_bp",,0.6,3,5,,
Aghaidh,ork_crusher,Heavy Cruiser,Bultach Coalition,ammofeed,15,14000,1450,10500,10000,450,150,,36,20,10,15,12,2250,FRONT,,150,0.4,1,,,160,200,145,100,5,30,7,125000,4,12,480,0.25,25,25,,,,,,,,ork_project_bp,,0.4,2,3,,404
