id,type,text1,text2,text3,text4,notes
#ships,,,,,,
,,,,,,
ork_dreadnotv2,SHIP,"One of the largest ship designs produced by the Bultach Coalition, the Fregairt-class is a heavy anchor found in larger fleets, bolstering a massive array of weapons. One of the Coalition's stakes in their struggle to oppose the Tri-Tachyon Megacorporation, this capital ship is primarily used to hold the line, unwavering, even against the most powerful foes such as the Astral or Paragon designs of Corporate fame. 

Carrying a massive amount of armaments, any fleet spotted with this vessel is rarely trifled with. ",,,,
ork_vencha,SHIP,"Inspired by an earlier, modified version of a Venture cruiser, the Ramala-class serves as a battlecarrier for the Coalition Navy, bringing fighters to the front line while keeping a heavy set of armor and weapons on hand in most engagements.",,,,
ork_faster,SHIP,"Trading armor for unmatched speed for its class and armaments, the Striopach-class is excellent at running down weaker ships and giving chase to damaged foes, often able to avoid any ships it cannot take in a direct fight. Quite popular with the more aggressive captains in the Coalition navy, who prefer a speedier alternative to the more common, heavily armored cruisers.",,,,
ork_smasha,SHIP,"A heavily armored, heavily armed destroyer, the Smàladair-class is capable of harassing a wide array of ships, or even forcefully repositioning them. Notorious for it's ability to use it's heavily armored front as a battering ram to disable shields, or to finish off weak ships.",,,,
ork_hammah,SHIP,"A support ship often seen escorting larger Bultach vessels, the Cruinn-class brings a cheap form of a heavy ballistics package to the front line. Capable of delivering much needed blows to armor that would otherwise require whittling down, often with lower grade weaponry.",,,,
ork_grot,SHIP,"Heavily armed and armored for it's class, the Dreach-class is a common frigate design used by Bultach for harrasser roles. Uniquely, the Dreach excels at soaking up damage for vulnerable ships of higher importance.",,,,
ork_bigscrap,SHIP,"The first capital design made by the Bultach Coaltion, the tried and true Daiche-class battlecarrier has seen several iterative upgrade packages over it's lifetime. While somewhat outdated compared to more modern designs fielded by the Persean Sector, the Daiche battlecarrier is a reliable anchor for smaller fleets and has survived over a century of continual combat against vastly superior oppoents in some cases. 

Heavily armored and slow, this Daiche has cemented itself as part of the Bultach Navy's fleet doctrine. Typically the flagship for smaller patrols, it is meant as the anvil to the hammer of it's escorts and packs enough firepower to consistently survive multiple engagements.",,,,
ork_spacehulk,SHIP,"Made of countless discarded hulls, chunks of stations, and often from cannibalized small pirate vessels, but just as often made from the various scrapyards left drifting in the void of space, no two Space Hulk-class vessels are the same. Regardless, each one is fitted with enough weapons to wrestle with stations, fleets and carries a terrifying amount of hangar bays to allow force projection over a large area. Worse still, even destroying it often leaves the carcass for pirates to reclaim, brought back with a vengeance each time. Thankfully, the vessel is extremely rare at best. Only aquired by the best and most ambitious pirate lords.

The ""zombie"" ship nature of a Space Hulk gives it something of a sinister reputation with captains and spaceport bars. Rumors spoken of seeing these crumbling hulks leading massive raiding fleets. Additionally, these vessels are a logistical nightmare with most repair crews as there is no proper standard when one arrives in a port of call for said repairs, often having additional plating simply hacked on wherever damage is done.",,,,
