trail,projectile,sprite,minLength,fadeIn,duration,fadeOut,sizeIn,sizeOut,colorIn,colorOut,opacity,textLength,textScroll,distance,dispersion,drift,fadeOnFadeOut,angleAdjustment,additive,velocityIn,velocityOut,randomVelocity,angle,rotationIn,rotationOut,randomRotation,renderBelowExplosions
ork_plasma_shot_trail1,ork_plasma_shot,Trail_Zappy,4,0.1,0,0.1,3,1,"[219,74,134]","[175,38,118]",0.3,300,500,0,40,1,TRUE,FALSE,TRUE,80,40,0.15,0,60,60,TRUE,FALSE
ork_plasma_shot_trail2,ork_plasma_shot,base_trail_zapWithCore,2,0.1,0.1,0.1,4,2,"[216,42,15]","[170,34,51]",0.3,300,500,0,40,1,TRUE,FALSE,TRUE,80,40,0.15,0,70,50,TRUE,FALSE
ork_plasma_shot_trail3,ork_plasma_shot,base_trail_zapWithCore,2,0.1,0.1,0.1,4,2,"[67,50,219]","[67,50,109]",0.3,300,500,0,40,1,TRUE,FALSE,TRUE,80,40,0.15,0,70,50,TRUE,FALSE
ork_plasma_shot_glow,ork_plasma_shot,base_trail_smooth,10,0,0.4,0.1,48,1,"[216,42,15]","[175,38,118]",0.6,300,1000,5,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
ork_plasma_shot_glow2,ork_plasma_shot,base_trail_smooth,10,0,0.5,0.2,20,2,"[255,255,255]","[214,146,255]",0.6,300,300,5,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
ork_plasma_shot_glow3,ork_plasma_shot,base_trail_smooth,10,0,0.6,0.3,36,1,"[216,42,15]","[170,34,51]",0.6,300,1000,5,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
ork_plasma_shot_glow4,ork_plasma_shot,base_trail_smooth,14,0,0.7,0.3,27,2,"[255,255,255]","[214,146,255]",0.8,300,300,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,
rip_shot_trail1,rip_shot,base_trail_smoke,6,0.1,0.3,0.45,10,8,"[150,150,150]","[50,50,50]",0.7,300,500,0,1,0,TRUE,FALSE,FALSE,80,10,0,0,0,0,FALSE,TRUE
rip_shot_trail2,rip_shot,base_trail_weave,6,0.1,0.3,0.45,10,8,"[255,160,50]","[189,154,115]",0.05,300,500,0,1,0,TRUE,FALSE,FALSE,80,10,0,0,0,0,FALSE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ork_plasma_shot_glow2,bigplasma_shot,base_trail_smooth,14,0.05,0.3,0.1,60,15,"[216,42,15]","[170,34,51]",0.6,300,1000,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
bigplasma_shot_trail2,bigplasma_shot,base_trail_zapWithCore,6,0.05,0.1,0.05,5,5,"[216,42,15]","[170,34,51]",0.3,300,20,0,75,2,TRUE,FALSE,TRUE,80,40,0.15,0,70,50,TRUE,FALSE
bigplasma_shot_trail3,bigplasma_shot,base_trail_zapWithCore,6,0.05,0.1,0.05,5,5,"[216,42,15]","[170,34,51]",0.3,300,20,0,75,2,TRUE,FALSE,TRUE,80,40,0.15,0,70,50,TRUE,FALSE
bigplasma_shot_trail4,bigplasma_shot,base_trail_zapWithCore,6,0.05,0.1,0.05,5,5,"[67,50,219]","[67,50,109]",0.3,300,20,0,75,2,TRUE,FALSE,TRUE,80,40,0.15,0,70,50,TRUE,FALSE
bigplasma_shot_trail5,bigplasma_shot,Trail_Zappy,6,0.05,0.1,0.05,5,5,"[35,138,255]","[35,138,255]",0.3,200,20,0,75,2,TRUE,FALSE,TRUE,80,40,0.15,0,70,50,TRUE,FALSE
bigplasma_shot_glow1,bigplasma_shot,base_trail_smooth,6,0.05,0.3,0.1,60,15,"[255,255,255]","[214,146,255]",0.6,300,300,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
bigplasma_shot_glow3,bigplasma_shot,base_trail_smooth,14,0.15,0.6,0.3,50,10,"[216,42,15]","[170,34,51]",0.6,300,1000,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
bigplasma_shot_glow4,bigplasma_shot,base_trail_smooth,14,0.1,0.7,0.3,20,2,"[255,255,255]","[214,146,255]",0.8,300,300,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
bigcannot_shot_trail1,bigcannon_shot,base_trail_heavySmoke,6,0.1,0.3,0.45,20,10,"[202,202,202]","[50,50,50]",0.6,300,500,0,1,0,TRUE,FALSE,FALSE,80,10,0,0,0,0,FALSE,TRUE
bigcannot_shot_trail2,bigcannon_shot,base_trail_smooth,25,0,0,0.5,20,15,"[255,160,30]","[204,50,50]",1,300,5,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
bigcannot_shot_trail2,bigcannon_shot,Trail_Doublehelix,6,0.1,0.4,0.45,35,25,"[150,150,150]","[50,50,50]",0.9,500,20,0,1,0,TRUE,FALSE,FALSE,30,10,0,0,0,0,FALSE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,
smallbore_shot_trail1,smallbore_shot,base_trail_smoke,4,0.1,0.25,0.30,8,6,"[150,150,150]","[50,50,50]",0.4,300,500,0,1,0,TRUE,FALSE,FALSE,80,10,0,0,0,0,FALSE,TRUE
smallbore_shot_trail2,smallbore_shot,base_trail_smooth,10,0,0,0.3,7.5,5,"[255,160,30]","[204,50,50]",1,300,5,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
smallbore_shot_trail3,smallbore_shot,Trail_Doublehelix,4,0.1,0.25,0.30,15,7,"[150,150,150]","[50,50,50]",0.9,200,20,0,1,0,TRUE,FALSE,FALSE,30,10,0,0,0,0,FALSE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ork_plasma_shot_trail1,ork_smallplasma_shot,base_trail_smooth,5,0.1,0,0.2,3,1,"[219,74,134]","[175,38,118]",0.3,300,500,0,30,1,TRUE,FALSE,TRUE,80,40,0.15,0,60,60,TRUE,FALSE
ork_plasma_shot_trail2,ork_smallplasma_shot,base_trail_zapWithCore,3,0.1,0.2,0.1,4,2,"[216,42,15]","[170,34,51]",0.3,300,500,0,30,1,TRUE,FALSE,TRUE,80,40,0.15,0,70,50,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,
giga_rail_core,giga_railgun_shot,base_trail_zapWithCore,10,0,0.25,0.8,40,40,"[67,50,219]","[67,50,109]",0.8,500,500,0,0,1,TRUE,FALSE,TRUE,0,0,0.5,0,120,120,TRUE,FALSE
giga_rail_outer_core,giga_railgun_shot,base_trail_weave,10,0,0.25,0.8,90,45,"[170,220,255]","[25,190,255]",0.85,300,-250,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
giga_rail_fringe,giga_railgun_shot,base_trail_zapWithCore,10,0,0.25,0.8,40,70,"[216,42,15]","[170,34,51]",0.75,400,500,0,0,1,TRUE,FALSE,TRUE,0,0,0.5,0,120,120,TRUE,FALSE
giga_rail_smoke,giga_railgun_shot,base_trail_smooth,10,0,0.1,1.75,70,700,"[255,255,255]","[214,146,255]",0.6,300,500,-50,5,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
giga_rail_wave,giga_railgun_shot,base_trail_contrail,10,0,0,1.25,200,700,"[219,74,134]","[175,38,118]",0.6,800,75,0,0,0,FALSE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
big_rail_outer_core,big_railgun_shot,base_trail_weave,10,0,0.25,0.8,8,8,"[170,220,255]","[25,190,255]",0.85,300,-250,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
big_rail_smoke,big_railgun_shot,base_trail_smooth,10,0,0.1,1.75,8,8,"[255,255,255]","[214,146,255]",0.6,300,500,-50,1,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
big_rail_wave,big_railgun_shot,Trail_Doublehelix,10,0,0,1.25,20,100,"[219,74,134]","[175,38,118]",0.6,800,75,0,0,0,FALSE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,
gigashotgun_shot_trail1,gigashotgun_shot,base_trail_smoke,6,0.1,0.3,0.45,10,8,"[150,150,150]","[50,50,50]",0.7,300,500,0,1,0,TRUE,FALSE,FALSE,80,10,0,0,0,0,FALSE,TRUE
gigashotgun_shot_trail2,gigashotgun_shot,base_trail_weave,6,0.1,0.3,0.45,10,8,"[255,160,50]","[189,154,115]",0.05,300,500,0,1,0,TRUE,FALSE,FALSE,80,10,0,0,0,0,FALSE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
dispenser_shot_trail1,dispenser_shot,base_trail_smoke,4,0.1,0.2,0.45,3,1,"[150,150,150]","[50,50,50]",0.5,300,500,0,1,0,TRUE,FALSE,FALSE,80,10,0,0,0,0,FALSE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ork_railgun_zap,screwshields_gauss_shot,base_trail_zapWithCore,10,0.1,0.2,0.1,3,1,"[216,42,15]","[170,34,51]",0.3,300,500,0,10,1,TRUE,FALSE,TRUE,80,40,0.15,0,40,30,TRUE,FALSE
ork_railgun_core,screwshields_gauss_shot,base_trail_smooth,10,0,0.1,0.3,5,2,"[235,135,5]","[255,50,100]",0.5,200,200,20,0,1,TRUE,FALSE,TRUE,100,20,0.3,0,40,30,TRUE,FALSE
ork_railgun_ring,screwshields_gauss_shot,Trail_Ring,10,0,0.5,0.8,25,5,"[235,135,5]","[170,34,51]",0.65,100,-20,0,0,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ork_firinndall_shot_trail1,ork_firinndall_shot,chaotic_trail,6,0,.4,0.1,45,40,"[250,10,25]","[250,10,25]",0.6,200,1500,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
ork_firinndall_shot_trail2,ork_firinndall_shot,chaotic_trail,6,0,.4,0.1,35,30,"[255,255,255]","[214,146,255]",0.6,200,1500,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
ork_firinndall_shot_trail3,ork_firinndall_shot,base_trail_smooth,6,0,0.05,0.1,80,65,"[255,255,255]","[214,146,255]",0.6,300,1000,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
bigplasma_shot_trail5,ork_firinndall_shot,Trail_Zappy,10,0.1,0.1,0.1,80,20,"[35,138,255]","[35,138,255]",0.4,200,20,0,40,1,TRUE,FALSE,TRUE,80,40,0.15,0,70,50,TRUE,FALSE
bigplasma_shot_trail2,ork_firinndall_shot,base_trail_zapWithCore,6,0.05,0.2,0.5,20,6,"[216,42,15]","[170,34,51]",0.5,300,20,0,60,1,TRUE,FALSE,TRUE,80,40,0.15,0,70,50,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
trails_bt_siegelaser_shot_glow,bt_siegelaser_shot,Trail_Smooth,10,0,0.05,0.4,70,1,"[250,10,25]","[255,120,35]",1,5000,-500,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
trails_bt_siegelaser_shot_core,bt_siegelaser_shot,Trail_Zappy,10,0,0.2,0.3,22,8,"[250,10,25]","[0,255,235]",1,500,-3000,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
trails_bt_siegelaser_shot_core2,bt_siegelaser_shot,Trail_Zappy,10,0,0.2,0.7,22,8,"[250,10,25]","[255,120,35]",1,500,-3000,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
trails_bt_siegelaser_shot_smoke,bt_siegelaser_shot,Trail_Smooth,10,0,0,2.5,1,50,"[250,10,25]","[255,120,35]",0.2,200,-350,-100,2,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
