name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Dakka,ork_dakka,5,,45000,950,,650,,350,3,16,,,,HIGH_EXPLOSIVE,370,,0,4,4,.20,0,5,5,10,,750,,,800,,,SYSTEM,"no_drop, no_drop_salvage, no_sell, no_dealer",,Bultach Coalition,,Anti Armor,,,,,,,,,,8
Trì-fillte Cannon,ork_rippa,2,,7000,1000,,450,,150,4,25,,,,HIGH_EXPLOSIVE,625,,0,1,,,0,5,5,10,,750,,,800,,,,"he22, rare_bp, ork_project_bp",,Bultach Coalition,,Anti Armor,,,,,,,,,,8
Shoota,ork_shoota,0,,100000,1000,,175,15,0,2,,,,,ENERGY,300,,0,0.2,3,.15,3,12,2,5,,1000,,,,,,"SYSTEM,SHOW_IN_CODEX",,,Bultach Coalition,,General,,,,,,,,,,40
Slige Autocannon,ork_thumpa,0,,1000,800,,225,,10,20,10,,,,KINETIC,250,,0,1.2,1,,0,5,.5,5,,1000,,,30,,,,"kinetic15, rare_bp, ork_project_bp",,Bultach Coalition,,Anti Shield,,,,,,,,,,4.125
Gnèag Cannon,ork_shotgun,0,0.75,2000,800,,225,,20,16,11,,,,HIGH_EXPLOSIVE,285,,0,3,2,.4,2,10,1,5,,725,,,400,,,,"he10, ork_project_bp",,Bultach Coalition,,Anti Armor,,,,,"Secondary resonance warhead deals scaling energy damage on shield hit, based on shield flux/dmg. Scales from a minumum of %s to a maxiumum of %s.",40 | 225,,,,15.66
Mòrangnè Cannon,ork_big_shotgun,1,,8000,900,,700,,500,5,20,,,,HIGH_EXPLOSIVE,900,,0,3,,,2,10,1,5,,600,,,1500,,,,"he20, ork_project_bp",,Bultach Coalition,,Anti Armor,,,,,"Secondary resonance warhead deals scaling energy damage on shield hit, based on shield flux/dmg. Scales from a minumum of %s to a maxiumum of %s.",100 | 500,,,,15.66
Peilt Autocannon,ork_slug,0,,100,700,,65,,4,30,5,,,,KINETIC,45,,0,2,4,.2,0,10,3,3,,675,,,10,,,,"kinetic6, ork_project_bp",,Bultach Coalition,,Anti Shield,,,,,,,,,,0.75
Hellburn,ork_hell,5,,0,1100,,3000,,800,2,0,,,,HIGH_EXPLOSIVE,3500,,0,12,1,,0,5,5,10,,525,,,4000,,,"SYSTEM,SHOW_IN_CODEX",he20,,Pirate,,Anti Armor,,,,,,,,,,8
Seilch Railgun,ork_bolta,2,,6000,1000,,700,,20,10,26,,,,KINETIC,1350,,0.75,1.25,,,0,4,2,2,,1100,,,500,,,,"kinetic21, ork_project_bp",,Bultach Coalition,,Anti Shield,,,,,Will impact all shields as if they had %s efficiency.,1.0,,,,7.25
guh,ork_beem,1,0.1,600,2750,4952.25,,,50,1,0,,,,ENERGY,,5000,,,,,0,15,1,2.5,3000,,,,300,,,"SYSTEM, STRIKE",,,Bultach Coalition,,General,,,,,,,,,,
Sgàirne Autocannon,ork_nailer,0,,5500,900,,400,,20,10,20,,,,KINETIC,470,,0,2,2,.5,0,8,1,10,,1050,,,100,,,,"kinetic18, ork_project_bp",,Bultach Coalition,,Anti Shield,,,,,,,,,,7.25
