bounty_id,level,rank,firstName,lastName,captainPersonality,fleetName,flagshipName,gender,faction,portrait,greetingText,suppressIntel,postedByFaction,creditReward,repReward,intelText,flagshipVariantId,fleetVariantIds,minimumFleetFP,playerFPScalingFactor,maximumFleetFP,chanceToAutoRecover,specialItemRewards,neverSpawnUnlessBountiesCompleted,neverSpawnWhenFactionHostile,neverSpawnWhenFactionNonHostile,neverSpawnBeforeCycle,neverSpawnBeforeLevel,neverSpawnBeforeFleetPoints
sa_lobster,10,spaceAdmiral,John,Nut,steady,Volturnian Grand Armada,Kaiju,MALE,sindrian_diktat,graphics/portraits/portrait_diktat07.png,"""Another pather come to inhibit our plans? Very well, you and your crew will make for good food in the pens.""",FALSE,luddic_path,500000,15,"A recently intercepted transmission detailing the most recent sighting of a particularly despised warship and it's escorting fleet outside of the core. While at first the data would appear as a bounty detailing from the luddic church with the religious text involved, the sheer number of quotes make it clear this is actually a message from the elusive pathers, it seems anyone bringing proof of death for the fleet's captain will be well rewarded for their troubles, however the ship itself doesn't particularly have to be destroyed, and is rumored to produce new lobster, possibly a reward of it's own for such trouble...",sa_lobster_royal,"sa_elanus_strike ,sa_elanus_strike, hammerhead_Support, hammerhead_Support",150,1.1,,1,,,FALSE,FALSE,208,1,1
sa_aegis,10,spaceCaptain,Cato,Hale,aggressive,Hale's Armada,Sundown,MALE,hvb_hostile,graphics/portraits/sa_syndie.png,"""It's all bullshit! Can't eat the volatiles this, can't bomb Jangala that. How's an honest man like me supposed to make a livin? Well, whoever you are, Tachyon loan shark, Hegemony tax collector, or some nobody lookin for a fight, it's about time we let our guns talk.""",FALSE,hegemony,700000,10,"WANTED:Cato Hale:DEAD/ALIVE

Cato Hale is in posession of multiple identified [REDACTED] hulks operated by unknown means, target is extremely hostile and operates with a rogue fleet, and commands the Sundown, an abominaton of a ship with evidence of an onslaught and, unkown, hull components. Approach with caution, bounty will be deposited upon confirmation of capture or death of target.",sa_ageis_assault,"sa_pillbox_assault, sa_pillbox_assault, sa_pillbox_assault, sa_pillbox_assault",200,1.1,,1,sa_corrupted_bp,,FALSE,FALSE,210,5,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# bounty_id : line ID. Must be unique across all mods. I recommend a prefix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# level : character level of bounty captain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# rank : must match a rank ID in Ranks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# firstName : bounty captain's first name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# lastName : bounty captain's last name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
