name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
Grunder,sa_grunder,,High Tech,,,100,5,300,,100,0,,400,500,450,180,360,10,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,102
Shilage,sa_shilage,,High Tech,,,300,15,500,,150,0,,350,400,450,170,340,15,FRONT,,180,.3,.7,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,645
Kilo,sa_kilo,,Pirate,,,400,25,100,,10,0,,200,100,75,150,75,50,NONE,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,0,,,,736
Durand,sa_durand,,Midline,,,700,225,350,,100,0,,250,300,250,150,280,30,FRONT,,360,.4,.8,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,524
Panoptes,sa_panoptes,,Corrupted Design,,,500,100,500,,200,0,,150,180,180,90,180,30,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,243
Grendel,sa_grendel,,Corrupted Design,flarelauncher_fighter,,750,125,350,,40,0,,220,380,350,90,180,40,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,524
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyresh,sa_kyresh,Patrol Skiff,Low Tech,flarelauncher,5,2000,175,1200,1875,125,55,,110,80,75,50,100,200,FRONT,,150,0.4,1,,,10,20,30,20,1,20,11,10000,10,20,180,0.25,5,5,,,,,,,,lowtech_bp,,0.5,2,2,,201
Gangster,sa_gangster,Missile Frigate,Pirate,flarelauncher_active,8,750,200,1500,1250,100,60,,130,65,45,30,60,200,OMNI,,90,0.5,1,,,15,30,15,100,2,50,8,9000,8,20,180,0.25,6,6,,,150,300,,,,pirate_bp,,0.7,2,4,,209
Cricket,sa_cricket,Light Frigate,Low Tech,ammofeed,4,2400,150,1300,1200,100,30,,140,70,60,40,35,250,FRONT,,260,0.6,1.1,,,5,10,5,10,1,10,12,5000,5,20,200,0.25,4,4,,,,,,,,"lowtech_bp, merc",,0.4,2,6,,145
Aberration,sa_aberration,Makeshift Frigate,Corrupted Design,temporalshell_degraded,5,1500,200,1750,1875,250,50,,180,100,75,60,120,300,FRONT,,300,0.5,0.8,,,10,40,70,30,1,30,10,9000,8,10,240,0.25,4,4,25,100,,,,,,"corrupted_bp, merc",,0.3,2,2,,213
Murk,sa_murk,Converted Droneship,Corrupted Design,displacer_degraded,8,1000,200,1750,2500,200,30,,110,200,140,90,270,150,OMNI,,180,0.4,0.8,,,20,15,30,40,1,40,11,30000,5,10,360,0.25,6,6,,,,,,,,"corrupted_bp, merc",,0.5,2,2,,335
Gloam,sa_gloaming,Converted Droneship,Corrupted Design,highenergyfocus,8,1400,150,2250,3125,200,45,1,120,200,180,90,270,200,FRONT,,100,0.4,0.8,,,25,40,40,40,1,40,11,30000,5,10,360,0.25,8,8,,,,,,,,"corrupted_bp, merc",,0.5,2,2,,343
Ocypote,sa_ocypote,Augmented Frigate,Corrupted Design,plasmajets,8,1200,200,2000,1000,180,50,,180,160,75,45,85,220,OMNI,,180,0.4,0.7,,,1,30,40,15,1,15,9,4000,5,20,180,0.25,8,8,,,,,,,,"corrupted_bp, merc",,0.75,2,2,,217
Monarque,sa_monarque,Stealth Frigate,High Tech,highenergyfocus,10,1300,150,2400,2000,200,50,,190,150,170,45,85,250,OMNI,,320,0.3,0.8,,,10,30,30,20,2,10,10,80000,5,10,180,0.35,10,10,,,,,,,,"rare_bp, merc",,0.5,2,3,,117
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Munin,sa_munin,Smuggler Runner,Midline,maneuveringjets,8,4500,275,3000,2833,200,75,2,100,50,25,40,30,425,OMNI,,180,0.4,0.8,,,50,120,300,150,2,75,10,36000,4,8,360,0.25,9,9,28,125,,,,,CARRIER,midline_bp,,0.6,2,3,,375
Hugin,sa_hugin,Smuggler Racer,Pirate,burndrive,8,4500,300,2700,2833,170,75,1,125,55,20,45,35,450,OMNI,,180,0.6,1.2,,,50,120,300,150,2,75,10,36000,4,8,360,0.25,9,9,28,125,,,,,,pirate_bp,,0.6,2,3,,376
Scalpel,sa_scalpel,Gunship,Midline,maneuveringjets,10,3500,200,6500,8333,700,100,,120,85,65,30,30,350,FRONT,,180,0.5,1.2,,,25,50,40,50,2,25,10,25000,5,10,300,0.25,10,10,,,,,,,,midline_bp,,0.5,2,3,,301
Scalpel (LP),sa_scalpel_lp,Gunship,Luddic Path,maneuveringjets,15,3500,200,6500,8333,700,100,,120,85,65,30,30,350,FRONT,,180,0.5,1.2,,,25,50,40,50,2,25,10,25000,5,15,300,0.25,15,15,,,,,,,,LP_bp,,0.5,2,3,,302
Trocar,sa_trocar,Impact Destroyer,Low Tech,joust,10,9500,850,8000,5000,300,70,,75,45,10,24,12,3500,OMNI,,90,0.8,1.2,,,50,150,200,200,2,100,10,10000,5,10,300,0.25,15,15,,,,,,,,lowtech_bp,,0.5,2,3,,532
Gorget,sa_gorget,Support Destroyer,Midline,maneuveringjets,10,7000,250,8000,4000,400,80,,90,60,50,45,35,350,OMNI,,90,0.7,1,,,25,50,25,200,2,100,9,20000,6,8,300,0.25,15,15,,,,,,,,midline_bp,,0.5,3,4,,420
Candela,sa_candela,Converted Droneship,Corrupted Design,overdrive,14,5500,475,5000,3750,300,110,,75,65,40,25,40,500,OMNI,,100,0.3,0.7,,,150,100,80,200,2,30,10,50000,5,15,420,0.25,14,14,,,,,,,,"corrupted_bp, merc",,0.5,2,3,,317
Almas,sa_almas,Augmented Destroyer,Corrupted Design,microburn,15,6000,800,7000,3333,350,140,,65,45,20,30,20,600,FRONT,,200,0.4,0.8,,,50,100,90,90,3,30,10,50000,5,12,420,0.25,15,15,,,,,,,,"corrupted_bp, merc",,0.4,2,3,,303
Penumbra,sa_penumbra,Converted Droneship,Corrupted Design,recalldevice,12,4750,325,3600,2100,170,75,1,55,50,20,15,10,500,OMNI,,270,0.4,0.7,,,100,150,40,60,2,30,9,48000,5,15,420,0.25,12,12,,,,,,,CARRIER,"corrupted_bp, merc",,0.6,2,3,,316
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacemaker,sa_pacemaker,Missile Cruiser,Low Tech,forgevats,15,10000,750,6000,5000,600,200,1,40,20,10,10,6,3500,FRONT,,180,0.5,1,,,250,600,300,250,4,62,7,150000,6,10,450,0.25,25,25,,,,,,,,lowtech_bp,,0.4,2,3,,424
Scrapship,sa_scrapship,Cruiser,Low Tech,burndrive,10,5000,600,7000,6000,300,75,2,50,30,25,20,15,1500,OMNI,,120,0.4,1,,,150,700,500,600,5,120,8,110000,5,10,540,0.25,15,15,,,,,,,CIVILIAN,lowtech_bp,,0.4,2,3,,402
Splint,sa_splint,Makeshift Cruiser,Low Tech,ammofeed,20,9000,1250,10000,6000,500,150,,40,10,5,8,4,3000,PHASE,damper,,,,,,230,550,300,200,4,50,7,150000,6,8,500,0.15,20,20,,,,,,,,lowtech_bp,,0.80,4,6,,492
