id,trigger,conditions,script,text,options,notes
swpEncounterFamous,BeginFleetEncounter,"$stillAlive
!$talked
$faction.id == famous_bounty score:100","unset $entity.ignorePlayerCommRequests
AddText ""You're being hailed by $personName."" $faction.baseColor
$talked = true 7
MakeOtherFleetPreventDisengage tOff true
MakeOtherFleetAggressive tOff true
OpenComms",,,
swpEncounterFamousSporeship,BeginFleetEncounter,"$stillAlive
!$talked
$faction.id == famous_bounty score:100
$stageName == STAGE_SPORESHIP","unset $entity.ignorePlayerCommRequests
AddText ""You're being hailed by $personName."" $faction.baseColor
$talked = true 7
MakeOtherFleetPreventDisengage tOff true
MakeOtherFleetAggressive tOff true
OpenComms","Your viewscreen is entirely filled by the vast bulk of a Domain sporeship steadily approaching your fleet. A bridge officer re-scales the tactical target display several times until its entire mass can be seen at once.

An ancient machine originating from the Domain Explorarium, the sporeship is fully armed and operational. Your tactical advisor remains silent, expression grim.",,
swpEncounterFamousTitanX,BeginFleetEncounter,"$stillAlive
!$talked
$faction.id == famous_bounty score:100
$stageName == STAGE_TITAN_X","unset $entity.ignorePlayerCommRequests
AddText ""You're being hailed by $personName."" $faction.baseColor
$talked = true 7
MakeOtherFleetPreventDisengage tOff true
MakeOtherFleetAggressive tOff true
OpenComms","Your bridge officer gapes, scrambling back from her station and pointing at the holodisplay in a clear expression of shock. ""What in Ludd's holy name is that?""

Clear in the center of the enemy fleet is a ship that can only be described as a Titan-class Planetbreaker, except scaled to the point that it puts some capital ships to shame. You immediately realize why none of the other IBB hunters made it back alive.",,
swpGreetingFamous,OpenCommLink,$faction.id == famous_bounty score:100,$entity.ignorePlayerCommRequests = true 1,"""$banterText""",cutCommLink:Cut the comm link,
swpIBBAwardStoryPoint,swpIBBAwardStoryPoint,,"AddStoryPoints 1
AddText ""You feel a rush of inspiration after defeating $personName.""",,,
,,,,,,
swpMarketAddOptionRestore1,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode == OPEN
SWP_RestoreAvailable
SWP_RestoreEnoughCredits","SetTooltip swpMarketRestore ""Cleaing $global.swpRestoreModsStr d-mod from $global.swpRestoreShip requires $global.swpRestoreCostStr credits. $player.creditsStr credits are available.""
SetTooltipHighlightColors swpMarketRestore buttonShortcut buttonShortcut buttonShortcut
SetTooltipHighlights swpMarketRestore $global.swpRestoreShip $global.swpRestoreCostStr $player.creditsStr
SWP_AddConfirmation swpMarketRestore ""Cleaing $global.swpRestoreModsStr d-mod from $global.swpRestoreShip requires $global.swpRestoreCostStr credits. $player.creditsStr credits are available. Do you want to proceed?""",,16:swpMarketRestore:Restore $global.swpRestoreShip,
swpMarketAddOptionRestore2,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode == OPEN
SWP_RestoreAvailable
!SWP_RestoreEnoughCredits","SetTooltip swpMarketRestore ""Clearing $global.swpRestoreModsStr d-mod from $global.swpRestoreShip requires $global.swpRestoreCostStr credits. Only $player.creditsStr credits are available.""
SetTooltipHighlightColors swpMarketRestore buttonShortcut buttonShortcut bad
SetTooltipHighlights swpMarketRestore $global.swpRestoreShip $global.swpRestoreCostStr $player.creditsStr
SetEnabled swpMarketRestore false",,16:swpMarketRestore:Restore $global.swpRestoreShip,
swpMarketOptionRestoreShip,DialogOptionSelected,$option == swpMarketRestore,"SWP_RestoreShip
AddText ""$global.swpRestoreShip is $global.swpRestoreAfterStr by clearing $global.swpRestoreRemovedDMod from the hull, at the cost of $global.swpRestoreCostStr credits. $global.swpRestoreNumDModsStr""
SetTextHighlightColors hColor bad hColor hColor
SetTextHighlights $global.swpRestoreShip $global.swpRestoreRemovedDMod $global.swpRestoreCostStr $global.swpRestoreNumDModsStrHighlight
FireBest SWPPostRestore",,,
swpMarketAddOptionPostRestore1,SWPPostRestore,"SWP_RestoreAvailable
SWP_RestoreEnoughCredits","SetTooltip swpMarketRestore ""Cleaing $global.swpRestoreModsStr d-mod from $global.swpRestoreShip requires $global.swpRestoreCostStr credits. $player.creditsStr credits are available.""
SetTooltipHighlightColors swpMarketRestore buttonShortcut buttonShortcut buttonShortcut
SetTooltipHighlights swpMarketRestore $global.swpRestoreShip $global.swpRestoreCostStr $player.creditsStr
SWP_AddConfirmation swpMarketRestore ""Cleaing $global.swpRestoreModsStr d-mod from $global.swpRestoreShip requires $global.swpRestoreCostStr credits. $player.creditsStr credits are available. Do you want to proceed?""",,,
