id,faction,ibbNum,stage
swp_boss_lasher_b,swp,1,STAGE_UNDINE
swp_boss_lasher_r,swp,1,STAGE_UNDINE
swp_boss_cerberus,swp,2,STAGE_HADES
swp_boss_mule,swp,3,STAGE_PONY
swp_boss_tarsus,swp,3,STAGE_PONY
swp_boss_beholder,swp,4,STAGE_ELDER_ORB
swp_boss_hammerhead,swp,5,STAGE_FRACTURE
swp_boss_sunder,swp,5,STAGE_FRACTURE
tiandong_boss_wuzhang,tiandong,6,STAGE_LIBERTY
swp_boss_falcon,swp,7,STAGE_RAPTOR
swp_boss_medusa,swp,7,STAGE_RAPTOR
swp_boss_eagle,swp,8,STAGE_KINGFISHER
#PACK IBB (no custom ships),pack,9,STAGE_BULLSEYE
swp_boss_onslaught_luddic_path,swp,10,STAGE_FRAMEBREAKER
swp_boss_dominator_luddic_path,swp,10,STAGE_FRAMEBREAKER
loamtp_macnamara_boss,ArkLeg,11,STAGE_BIG_MAC
swp_boss_dominator,swp,12,STAGE_EMPEROR
swp_boss_brawler,swp,12,STAGE_EMPEROR
tahlan_vestige,scalartech,13,STAGE_VESTIGE
sun_ice_ihs,sun_ice,14,STAGE_IHS
diableavionics_IBBgulf,diableavionics,15,STAGE_GULF
swp_boss_atlas,swp,16,STAGE_LEVIATHAN
swp_boss_phaeton,swp,16,STAGE_LEVIATHAN
ms_boss_charybdis,shadow_industry,17,STAGE_POSEIDON
ii_boss_dominus,interstellarimperium,18,STAGE_YAMATO
swp_boss_odyssey,swp,19,STAGE_ILIAD
swp_boss_aurora,swp,19,STAGE_ILIAD
swp_boss_frankenstein,swp,20,STAGE_FRANKENSTEIN
ms_boss_mimir,shadow_industry,21,STAGE_ODIN
msp_boss_potniaBis,shadow_industry,21,STAGE_ODIN
swp_boss_doom,swp,22,STAGE_LUCIFER
swp_boss_euryale,swp,22,STAGE_LUCIFER
swp_boss_afflictor,swp,22,STAGE_LUCIFER
swp_boss_shade,swp,22,STAGE_LUCIFER
uw_boss_astral,underworld,23,STAGE_EUPHORIA
uw_boss_wasp_wing,underworld,23,STAGE_EUPHORIA
FOB_boss_rast,fob,24,STAGE_RAST
tem_boss_paladin,templars,25,STAGE_CLERIC
#TITAN-X IBB (unboardable),ii_imperial_guard,26,STAGE_TITAN_X
swp_boss_excelsior,interstellarimperium,26,STAGE_TITAN_X
tem_boss_archbishop,templars,27,STAGE_POPE
#uw_boss_cancer (unboardable),underworld,28,STAGE_CANCER
#uw_boss_corruption (unboardable),underworld,28,STAGE_CANCER
#uw_boss_cyst (unboardable),underworld,28,STAGE_CANCER
#uw_boss_disease (unboardable),underworld,28,STAGE_CANCER
#uw_boss_malignancy (unboardable),underworld,28,STAGE_CANCER
#uw_boss_metastasis (unboardable),underworld,28,STAGE_CANCER
#uw_boss_pustule (unboardable),underworld,28,STAGE_CANCER
#uw_boss_tumor (unboardable),underworld,28,STAGE_CANCER
#uw_boss_ulcer (unboardable),underworld,28,STAGE_CANCER
#SPORESHIP IBB (unboardable),swp,29,STAGE_SPORESHIP
swp_boss_paragon,swp,30,STAGE_ZEUS
swp_boss_conquest,swp,30,STAGE_ZEUS
swp_boss_onslaught,swp,30,STAGE_ZEUS
