name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
Assault,swp_drone_assault,,,,,200,50,500,,40,,,150,200,200,90,180,5,OMNI,,120,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,700
Flak,swp_flakdrone,,,,,750,100,500,,50,,,300,600,600,90,240,30,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,700
Ray,swp_ray_drone,,,,,200,100,500,,75,,,200,400,500,90,240,10,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hexblade,swp_hexblade,,High Tech,swp_invocation,,500,100,600,,40,0,,150,240,240,90,240,40,FRONT,,360,0,1,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,110
Partisan,swp_partisan,,Midline,,,750,150,200,,40,0,,150,150,100,80,160,40,NONE,,0,0,0,,,3,3,,,,,,,,,,,,,,,,,,,,,,0,,,,110
Drake,swp_drake,,Low Tech,flarelauncher_single,,400,50,400,,100,0,,250,300,200,175,250,20,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,100
Falx,swp_falx,,High Tech,,,500,50,1000,,100,0,,350,500,400,200,800,30,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dram (LP),swp_dram_luddic_path,Frigate,Luddic Path,flarelauncher,3,750,200,1500,1250,100,35,,120,70,50,30,60,200,OMNI,,90,0.5,1.2,,,5,10,15,200,1,200,9,9500,8,20,180,0.25,3,3,,,,,,,,LP_bp,,0.75,2,4,,209.5
Excelsior,swp_excelsior,Superfrigate,High Tech,swp_phaseshuntdrive,16,750,150,5000,625,50,35,,200,200,150,90,360,100,PHASE,swp_excelsiorphase,,,,0,-0.25,1,5,10,20,1,20,11,94000,10,40,120,0.25,20,20,,,,,,,"PHASE, HIDE_IN_CODEX","no_autofit, req_military, no_dealer",,0,2,2,,226
Alastor,swp_alastor,Frigate,Midline,maneuveringjets,4,2000,250,2700,2500,200,60,,125,100,80,60,120,200,FRONT,,240,0.5,0.9,,,10,30,30,20,1,20,10,12000,8,12,180,0.25,5,5,,,,,,,,"midline_bp, merc, ind",,0.5,2,2,,227
Nautilus,swp_nautilus,Combat Freighter,High Tech,displacer,3,1500,250,1700,1500,120,38,,130,125,125,90,120,200,OMNI,,90,0.4,0.8,,,5,30,75,25,1,25,9,8000,5,12,180,0.25,3,3,25,75,,,,,,"base_bp, ind",,0.6,2,2,,231
Hecate,swp_hecate,Corvette,High Tech,highenergyfocus,4,1250,125,2000,1750,140,38,,175,150,125,90,180,125,FRONT,,180,0.4,0.8,,,5,15,20,15,1,15,10,8500,10,15,180,0.25,3,3,,,,,,,,"hightech_bp, ind",,0.7,2,2,,232
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebula (LP),swp_nebula_luddic_path,Destroyer,Luddic Path,flarelauncher,7,3000,175,2500,2500,150,50,,55,35,20,20,12,450,FRONT,,150,0.5,1,,,15,250,120,80,2,40,8,30000,4,20,240,0.25,6,6,,,,,36,125,,LP_bp,,0.6,2,3,,313
Sunder (U),swp_sunder_u,Destroyer,High Tech,highenergyfocus,11,4000,250,7500,8333,500,105,,90,80,60,30,30,350,FRONT,,300,0.4,1,,,50,70,80,50,2,25,9,53000,5,15,300,0.25,12,12,,,,,,,,"rare_bp, merc, ind",,0.5,2,3,,301.5
Nightwalker,swp_nightwalker,Phase Destroyer,High Tech,swp_chronoboost,16,4500,600,5500,8333,500,100,,80,60,60,25,60,550,PHASE,phasecloak,,,,0.06,0.03,30,40,45,30,2,15,9,130000,5,40,180,0.25,22,22,,,,,,,,"rare_bp, hist2t, merc, kanta_gift",0.75,0.7,2,3,,314
Caliber,swp_caliber,Destroyer,Low Tech,ammofeed,9,5000,800,5000,4167,200,85,,85,60,45,30,60,400,PHASE,damper,,,,,,40,75,75,60,2,30,9,35000,5,12,420,0.25,8,8,,,,,,,,"lowtech_bp, merc, ind",,0.4,2,3,,316
Archer,swp_archer,Missile Destroyer,Midline,forgevats,10,4500,400,3500,3333,200,95,,70,40,20,20,40,400,FRONT,,240,0.5,0.8,,,50,100,80,40,2,20,9,43000,5,12,300,0.25,10,10,,,,,,,,"midline_bp, merc, ind",,0.5,2,3,,317
Archon,swp_archon,Heavy Destroyer,High Tech,fortressshield,12,4500,500,9000,6667,400,90,,80,40,20,25,25,450,FRONT,,180,0.6,0.8,,,30,65,100,50,2,25,9,68000,5,15,360,0.25,14,14,,,,,,,,"rare_bp, hist1t, merc, ind",,0.4,2,3,,320
Arachne,swp_arachne,Advanced Destroyer,High Tech,flarelauncher_active,10,2500,400,7000,5000,300,65,,60,40,30,30,30,400,OMNI,,360,1,0.6,,,30,50,100,70,2,35,9,45000,5,15,420,0.25,9,9,,,,,,,,"hightech_bp, merc, ind",,0.5,2,3,,321
Albatross,swp_albatross,Escort Destroyer,Midline,canister_flak,7,5000,600,6000,3333,200,65,2,70,40,20,30,40,450,OMNI,,180,0.5,0.8,,,40,100,100,60,2,30,9,44000,4,12,420,0.25,7,7,,,,,,,,"midline_bp, merc, ind",,0.6,2,3,,325
Beholder,swp_beholder,Destroyer,High Tech,swp_drone_ray,10,4000,500,4500,5000,300,80,,60,40,40,20,60,400,OMNI,,180,0.5,0.8,,,40,60,70,40,2,20,9,57000,5,15,300,0.25,11,11,,,,,,,,"hightech_bp, merc, ind",,0.5,2,3,,328
Vortex,swp_vortex,Light Carrier,High Tech,swp_timefield,11,3000,250,5000,5000,300,75,2,80,60,45,30,45,350,OMNI,,180,0.5,0.7,,,50,100,80,40,2,20,9,64000,5,15,360,0.25,14,14,,,,,,,"CARRIER, COMBAT","rare_bp, hist2t, merc",0.75,0.6,2,3,,329
Striker,swp_striker,Light Destroyer,Low Tech,swp_punisherjets,8,4000,600,3500,3333,250,80,,80,80,55,40,70,350,FRONT,,210,0.4,1,,,30,70,60,60,2,30,9,26000,5,12,420,0.25,7,7,,,,,,,,"lowtech_bp, merc, ind",,0.5,2,3,,330
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vulture,swp_vulture,Fast Cruiser,Midline,drone_pd_x2,13,6500,850,7500,7000,350,120,,85,60,40,30,35,800,FRONT,,270,0.5,0.8,,,120,200,90,120,3,40,9,90000,4,12,480,0.25,17,17,,,,,,,,"midline_bp, merc, ind",,0.5,2,3,,412
Zenith,swp_zenith,Heavy Cruiser,High Tech,flarelauncher_active,17,10000,1000,12000,14000,700,170,1,55,35,25,12,15,2000,FRONT,,210,0.4,0.6,,,150,300,150,150,5,30,8,200000,3,15,420,0.25,30,30,,,,,,,,"rare_bp, hist2t, merc, ind",,0.5,2,3,,414
Circe,swp_circe,Combat Freighter,High Tech,plasmajets,12,6000,600,8000,6000,300,120,,80,60,40,30,20,700,OMNI,,120,0.4,0.7,,,50,250,450,180,3,60,8,88000,4,12,360,0.25,12,12,38,150,,,21,83,,"hightech_bp, ind",,0.7,2,3,,416
Vindicator,swp_vindicator,Siege Cruiser,Low Tech,fastmissileracks,15,10000,1200,9000,8000,400,135,,40,25,30,12,20,1750,OMNI,,90,0.4,1,,,150,250,175,150,5,30,8,140000,4,12,540,0.25,28,28,,,,,,,,"lowtech_bp, merc, ind",,0.4,2,3,,417
Vindicator (S),swp_vindicator_o,Siege Cruiser,Low Tech,swp_ammoloader,15,10000,1200,9000,9000,450,120,,40,25,30,12,20,1750,OMNI,,90,0.4,1,,,150,250,175,150,5,30,8,180000,4,12,540,0.25,28,28,,,,,,,,"rare_bp, merc, kanta_gift",0.5,0.4,2,3,,417.5
Punisher,swp_punisher,Light Cruiser,Low Tech,swp_punisherjets,14,8000,1000,9000,8000,400,135,,50,60,30,20,20,800,FRONT,,90,0.4,1,,,100,150,100,100,3,33,8,95000,4,15,540,0.25,18,18,,,,,,,,"lowtech_bp, merc, ind",,0.5,2,3,,418
Eos,swp_eos,Carrier,High Tech,swp_pddrones,15,8000,700,6000,6000,300,110,4,60,30,30,10,10,2000,FRONT,,360,0.6,0.6,,,150,300,75,80,4,20,8,150000,3,15,420,0.25,25,25,,,,,,,"CARRIER, COMBAT","rare_bp, merc, ind",,0.4,2,3,,407
Shimmer,swp_shimmer,Droneship Carrier,Remnant,displacer,16,7000,650,7000,6000,300,100,4,40,30,20,15,10,1750,OMNI,,270,0.5,0.6,,,0,0,100,40,4,10,9,155000,5,20,540,0.25,22,22,,,,,,,"CARRIER, UNBOARDABLE, HIDE_IN_CODEX","remnant, auto_rec",,0.5,2,3,,317
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathedral,swp_cathedral,Hubship,Luddic Church,swp_mine_strike_lt,40,10000,1000,15000,10000,400,140,2,20,4,3,3,3,2000,OMNI,,360,0.5,1,,,3000,10000,2500,3000,20,150,6,950000,2,15,840,0.25,85,85,29,125,35,150,59,250,"SHIP_WITH_MODULES, NEVER_DODGE_MISSILES","hist3t, req_military",,0.4,2,3,,507
Victory,swp_victory,Battleship,Midline,swp_victoryjets,30,20000,1600,22000,32500,1300,345,,35,15,10,5,4,4000,FRONT,,120,0.3,0.8,,,650,1000,300,400,15,27,7,475000,3,15,660,0.25,55,55,,,,,,,,"rare_bp, hist3t, merc",,0.4,2,4,,511
Chronos,swp_chronos,Battlecruiser,High Tech,swp_timeaccelerator,22,9000,1000,15000,22500,900,225,,65,50,40,12,20,1750,OMNI,,180,0.3,0.8,,,200,350,250,300,10,30,8,275000,4,20,600,0.25,35,35,,,,,,,,"rare_bp, hist3t, merc",,0.6,2,4,,512
Liberator,swp_liberator,Light Battleship,Low Tech,swp_punisherjets,24,16000,1600,18000,15000,600,270,1,45,25,35,5,8,3250,OMNI,,120,0.3,1,,,500,1000,400,400,12,33,7,290000,4,12,720,0.25,35,35,,,,,,,,"rare_bp, merc",,0.4,2,4,,500
