id,type,size,intensity,fadeout,color,offset,hit size,hit intensity,hit fadeout,hit color,flash size,flash intensity,flash fadeout,flash color,flash offset,chance,fighter dim
swp_reliant_shot,projectile,90,0.15,0.15,"[255,160,60]",,,,,,110,0.15,0.1,"[255,210,50]",,0.75,TRUE
swp_contender_shot,projectile,90,0.15,0.2,"[255,110,60]",,150,0.35,0.75,"[255,110,60]",125,0.2,0.4,"[255,225,150]",,1,TRUE
swp_plasmaflame_shot,projectile,125,0.2,0.25,"[255,25,25]",,150,0.25,0.5,"[255,25,25]",150,0.2,0.1,"[228,138,128]",,0.5,TRUE
swp_tripleflak_shot,projectile,100,0.3,0.2,"[255,75,40]",,175,0.35,1,"[255,180,155]",125,0.3,0.2,"[255,175,75]",,1,TRUE
swp_gungnir_shot,projectile,200,0.45,0.3,"[255,200,100]",,200,0.5,1,"[255,200,100]",225,0.5,0.75,"[255,140,50]",,1,TRUE
swp_gungnir_sub_shot,projectile,125,0.25,0.3,"[255,150,75]",,150,0.3,0.8,"[255,150,75]",175,0.25,0.65,"[255,150,150]",,1,TRUE
swp_boss_canistercannon_shot,projectile,300,0.55,0.5,"[255,150,100]",,300,0.7,1,"[255,150,100]",225,0.5,1.5,"[255,100,50]",,1,TRUE
swp_boss_canister_sub_shot,projectile,150,0.3,0.35,"[255,100,75]",,175,0.35,0.8,"[255,100,75]",200,0.1,0.75,"[255,150,100]",,1,TRUE
swp_devastator_f_shot,projectile,100,0.2,0.2,"[255,220,115]",,150,0.35,1.5,"[255,225,125]",100,0.2,0.15,"[255,225,165]",,1,TRUE
,,,,,,,,,,,,,,,,,
swp_hornet_mrm,projectile,90,0.2,0.3,"[255,145,75]",10,100,0.2,0.8,"[255,165,50]",,,,,,1,FALSE
swp_microswarmer_missile,projectile,75,0.15,0.5,"[255,145,75]",7,,,,,,,,,,0.75,TRUE
swp_iontorpedo_torp,projectile,125,0.5,0.5,"[100,165,255]",13.5,350,0.5,1,"[150,175,255]",,,,,,1,FALSE
swp_inferno_mirv,projectile,100,0.25,0.3,"[255,145,75]",10,225,0.25,1,"[255,200,10]",,,,,,1,FALSE
swp_flareburst_mrm,projectile,125,0.3,0.5,"[100,255,100]",12,250,0.3,1,"[100,255,100]",,,,,,1,FALSE
swp_trebuchet_lrm,projectile,100,0.25,0.3,"[255,145,75]",19,350,0.35,1.25,"[150,225,255]",,,,,,1,FALSE
swp_redeemer_missile,projectile,150,0.5,0.5,"[255,100,100]",22.5,600,0.7,1.25,"[255,100,70]",,,,,,1,FALSE
swp_redeemer_sub_missile,projectile,75,0.15,0.25,"[180,255,100]",6,100,0.15,0.7,"[195,255,70]",,,,,,1,FALSE
,,,,,,,,,,,,,,,,,
swp_lightninggun_shot,projectile,,,,,,200,0.4,0.5,"[95,120,200]",175,0.35,0.25,"[100,125,200]",,1,TRUE
swp_ionblaster_shot,projectile,250,0.4,0.3,"[90,255,200]",,250,0.4,0.75,"[90,255,200]",250,0.4,0.3,"[150,255,240]",,1,TRUE
swp_lightblaster_shot,projectile,100,0.3,0.3,"[100,100,255]",,125,0.45,0.75,"[100,100,255]",100,0.3,0.2,"[100,100,255]",,1,TRUE
