name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,noVent,isPhaseCloak,tags,icon
Sensor Array,swp_sensorarray,,0.5,,,,0.05,,,,0.5,,0.5,0,TRUE,,,,,,,,,,,restricted,graphics/icons/hullsys/drone_sensor.png
Phase Drive,swp_excelsiorphase,,,,,,,,,,0.2,,0.2,2,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,restricted,graphics/icons/hullsys/phase_cloak.png
Phase Shunt,swp_phaseshuntdrive,,,,,,0.05,,3,0.25,0.1,,0.25,0.65,,,,TRUE,,,,,,,,restricted,graphics/icons/hullsys/phase_cloak.png
Burst Jets,swp_punisherjets,,,,,,,,2,0.15,0.4,1.2,0.4,0,,,,,,,,,,,,,graphics/icons/hullsys/burn_drive.png
Sensor Drone (Single),swp_drone_sensorx1,,,,,,,,2,,0,,0,0,,,,,,,,,,,,restricted,graphics/icons/hullsys/drone_sensor.png
Ray Drones,swp_drone_ray,,,,,,,,4,0.05,0,,0,0,,,,,,,,,,,,,graphics/icons/hullsys/drone_sensor.png
Maximum Drive,swp_victoryjets,,,,,,,,,,0.5,4,1,10,TRUE,,,,,,,,,,,,graphics/icons/hullsys/burn_drive.png
Phase Teleporter (Slow),swp_phaseteleportervortex,,,,,,0.3,,,,0.5,0,0.5,19,,TRUE,,TRUE,,,,,,,,restricted,graphics/icons/hullsys/displacer.png
Chrono Boost,swp_chronoboost,1,,,,,0.2,,,,1,10,1,10,,,,,,,,,,,,,graphics/icons/hullsys/temporal_shell.png
Time Accelerator,swp_timeaccelerator,1,,,,,0.1,,3,0.1,0.5,3,0.5,1,,,,,,,,,,,,,graphics/icons/hullsys/temporal_shell.png
Time Acceleration Field,swp_timefield,1,0.3,,,,0.3,,,,2,8,2,20,,,,,,,,,,,,,graphics/icons/hullsys/temporal_shell.png
Phase Cloak (Lightning),swp_lightningcloak,,,,,,,,,,0.5,,0.5,2,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,restricted,graphics/icons/hullsys/phase_cloak.png
Invocation,swp_invocation,,,,,,,,,,0.1,1.8,0.1,10,,,,,,,,,,,,,graphics/icons/hullsys/high_energy_focus.png
Point Defense Drones,swp_pddrones,,,,,,,,10,,0,,0,0,,,,,,,,,,,,,graphics/icons/hullsys/drone_pd_high.png
Rapid Ammo Loader,swp_ammoloader,,,,,,0.1,,3,0.1,1,0,0,0,,,,,,,,,,,,,graphics/icons/hullsys/ammo_feeder.png
Mine Strike,swp_mine_strike_lt,,,,,,0.05,,5,0.2,0.25,,0.25,0,,,,,,,,,,,,,graphics/icons/hullsys/interdictor_array.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Overdrive,swp_boss_energyoverdrive,,,,,,,,,,1,5,0.5,20,,,,,,,,,,,,restricted,graphics/icons/hullsys/high_energy_focus.png
Zeus Shield,swp_boss_zeusshield,,,0.0125,,,,,,,0.5,,0.5,0,TRUE,,,TRUE,TRUE,,,,,,,restricted,graphics/icons/hullsys/fortress_shield.png
Nike Jets,swp_boss_nikejets,,,,,,,,2,0.075,1,5,1,0,,,,,,,,,,,,restricted,graphics/icons/hullsys/maneuvering_jets.png
Ares Drive,swp_boss_aresdrive,,,,,,,,,,0.5,6.5,1,10,TRUE,,,,,,,,,,,restricted,graphics/icons/hullsys/burn_drive.png
Phase Cloak (Advanced),swp_boss_cloak,,,,,,,,,,0.33,,0.33,1.33,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,restricted,graphics/icons/hullsys/phase_cloak.png
Death-Ray Drones,swp_boss_drone_death_ray,,,,,,,,9,0.1,0,,0,0,,,,,,,,,,,,restricted,graphics/icons/hullsys/drone_sensor.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super Jet,swp_arcade_superjet,,,,,,,,7,0.5,0.2,0.5,0.2,0,,,,,,,,,,,,restricted,graphics/icons/hullsys/burn_drive.png
Faerie Vortex,swp_arcade_faerievortex,,,,,,,,,,0.1,3,0.5,15,,,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,restricted,graphics/icons/hullsys/phase_cloak.png
Faerie Displacer,swp_arcade_faeriedisplacer,,,,,,0.3,,,,0.5,,0.25,15,,TRUE,,TRUE,,,,,,,,restricted,graphics/icons/hullsys/displacer.png
Shield Breaker,swp_arcade_shieldbreaker,,,,,,0.5,,,,1.5,0.1,0.1,30,,,,TRUE,,,,,TRUE,,,restricted,graphics/icons/hullsys/high_energy_focus.png
Phase Tunneler,swp_arcade_phasetunneler,,,,,,0.4,,,,0.9,0,1.75,20,,TRUE,,TRUE,,,,,,,,restricted,graphics/icons/hullsys/displacer.png
Force Burst,swp_arcade_forceburst,,,,,,,,,,0.7,0.1,0.1,7,,,,,,TRUE,TRUE,TRUE,TRUE,,TRUE,restricted,graphics/icons/hullsys/phase_cloak.png
Time Warp,swp_arcade_forceimpeder,,0.5,,,0.2,,,,,8,1,1,45,,,,TRUE,,,,,TRUE,,,restricted,graphics/icons/hullsys/temporal_shell.png
Prism Drones,swp_arcade_cristariumdrones,,,,,,,,10,0.05,0,,0,0,,,,,,,,,,,,restricted,graphics/icons/hullsys/drone_pd_high.png
