name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Reliant HMG,swp_reliant,0,,75,450,,6,,1,60,1,,,,KINETIC,3,,0,0.12,1,,0,10,0.2,15,,1500,,,5,,,PD,"pd0, kinetic0, base_bp, ind",,,,Point Defense,,,,,,,,,,4350
Contender Cannon,swp_contender,1,,125,500,,150,,10,25,3,,,,HIGH_EXPLOSIVE,125,,0,2.5,1,,0,5,2,10,,800,,,10,,,,"he4, strike0, base_bp, ind",,,,Anti Armor,,,,,,,,,,4351
Plasma Flamer,swp_plasmaflame,1,,1000,450,,30,,0,10,8,100,10,50,ENERGY,15,,0,0.05,9999,0.05,0,0,0,0,,600,,,10000,,,DO_NOT_CONSERVE,"energy12, SR, lowtech_bp, merc, ind",,,,General,,,,,,,,,,4352
Flare Gun,swp_flaregun,0,,50,400,,10,100,0,40,1,50,,,ENERGY,0,0,0,5,10,0.1,60,60,0,0,,150,300,3,1,,,PD,"pd2, utility1, base_bp, ind",,,,Anti Missile,,,,,Each flare has a %s chance to divert nearby missiles.,10%,,,TRUE,4353
Ion Torpedo Rack,swp_iontorpedo,3,0.5,600,1300,,1000,4500,25,10,6,2,,,FRAGMENTATION,0,,0,1,1,,0,0,0,0,,300,50,7,400,,,"STRIKE,USE_VS_FRIGATES,DO_NOT_AIM,CONSERVE_FOR_ANTI_ARMOR ","strike9, utility8, missile1, rare_bp, hist1t, merc, ind",,,,Torpedo (Suppression),Medium,Poor,,,"Deals up to %s energy damage and %s EMP to the target, as well as to ships and fighters in a large area, upon impact.",1000 | 4500,Hits on hull or armor raise the target's flux level by %s. Hits on shields raise hard flux instead.,1000,TRUE,4354
Hornet MRM,swp_hornet,2,,300,2000,,400,,10,50,5,8,,,HIGH_EXPLOSIVE,0,,0,3.6,2,0.4,0,0,0,0,,300,300,10.5,100,,,DO_NOT_AIM,"missile8, strike1, rare_bp, merc, ind",,,,Saturation,Medium,Excellent,,,,,,,,4355
Inferno MIRV Launcher,swp_inferno,1,,1750,2500,,350,,15,20,10,15,0.05,,HIGH_EXPLOSIVE,0,,0,10,1,,0,0,0,0,,250,250,16,200,,,"ANTI_FTR,DO_NOT_AIM","utility13, missile8, missile_bp, hist1t, merc, ind",,,,Anti Small Craft,Fast,Excellent,,,,,,,,4356
Tornado Hornet Launcher,swp_tornado,2,,1200,2000,,400,,10,30,12,40,,,HIGH_EXPLOSIVE,0,,0,6.8,4,0.4,0,0,0,0,,300,300,10.5,100,,,DO_NOT_AIM,"missile13, strike6, rare_bp, merc, ind",,,,Saturation,Medium,Excellent,,,,,,,,4357
Flare Burst Launcher,swp_flareburst,2,0.5,1500,1500,,150,,5,10,13,,,,ENERGY,800,,0,13,1,,0,0,0,0,,400,150,7,250,,,PD,"pd13, utility8, rare_bp, merc, ind",,,,Anti Missile (Area),Fast,Excellent,,,Each flare has a %s chance to divert nearby missiles.,30%,,,,4358
Trebuchet LRM Launcher,swp_trebuchet,2,0.7,7500,5000,,1000,1500,20,10,24,15,,,ENERGY,0,,0,15,3,0.75,0,0,0,0,,350,150,25,400,,,"DO_NOT_AIM, CONSERVE_1","missile20, strike13, utility15, rare_bp, hist1t, merc, ind",,,,Long Range Support (Area),Fast,Medium,,,"Deals up to %s extra energy damage and %s extra EMP to the target, as well as to ships and fighters in a large area, upon impact.",1000 | 1500,,,,4359
