id,type,text1,text2,text3,notes
,,,,,
# Ships,,,,,
,,,,,
filgap_asp,SHIP,"This custom-built bomber uses only low-tech parts. Unlike most other bomber designs, the Asp boasts a good speed to compensate the short range of the David missile it carries. Not able to make any difference in large battles, but cheap and good in pursuit and against small ships.",,,
filgap_ethon,SHIP,"This midline interceptor is a failed design brought back to life by the desperate times of the Sector. It sports a single Locust Salvo and a boosted PD Laser designed to engage small craft. The hull itself has good capabilities, but lacks firepower and is unable to shoot down enemy ordnance.",,,
filgap_filum,SHIP,"This drone has been used to limited extent to help construct remote stations in deep space. A bit more elegant than the ordinary mining drones, the Filum use its Wielding Beam to help manipulate material in space. It helps its parent ship not only to build, but also salvage all kind of space-born objects. The beam itself is an adequate PD weapon, while the graviton flux may occasionnally disable incoming enemy craft
",,,
filgap_maringuin,SHIP,"The always resourceful pirates developped this corvette to provide more firepower against heavily shielded prey. The concept is quite rudimentary -a loading shuttle which utility pods has been replaced by crude missile launchers- but is an easily replicable one",,,
filgap_bentu,SHIP,"A combat high tech drone able to operate in group. This fighter is only recently deploying alongside Tri-Tachyon fleets, with its parent ship, the Formica. While its link to the Terminator drone is quite evident in the design, some observators have noticed strong similarities with some autonomous designs observed in dangerous place of the Persean Sector. COMSEC is still trying to get some specimen to investigate these rumors.",,,


filgap_velite,SHIP,"
The Velite relies solely on ballistic and energy mounts, with sufficient power supply to keep a steady rate of fire. Unlike other mid-tech ships of its size, the Velite fits in no particular defensive or offensive role. While the ship sports no fancy systems or higher-than-average specificities like speed or armor, it is easily mass-produced and is able to field various weapon loadouts for increased adaptability.

When the Persean League was formed, the unification of the many various defense fleets was expected to be difficult. Indeed, industrial capabilities, weaponry and manpower varied greatly from one world to another. As Hegemony, and later Tri-Tachyon dreams of expansion were approaching, the Persean League was looking for a way to field a uniform fleet composition across its territory. The Velite is one of the results of the development programs of the time.",,,
filgap_huntsman,SHIP,"The Huntsman is an old design dating from the early era of the Sector. At the time, it was designed with a support role in mind. Bearing several composite mounts, the Huntsman could be assigned many different roles like missile boat, gunship, or escort. However, weak armor and poor generator performance means that the ship is not well suited to front-line duties. Instead, it uses a series of auxiliary jets to flee from overpowering foes and redeploy during battle.",,,

filgap_merx,SHIP,"Since Tri-Tachyon has some of the most valuable and rare assets in the sector, the Corporation cannot afford losing them in small skirmishes and looked for an alternative. The Merx is a small conversion of the Mercury acting as a cheap rank-and-file corvette. It mounts a supplementary slot for missile weaponry occupying most of the passenger space. Easily produced, its crew is expected to make sure to protect irrepleceable ships, going as far as to sacrifice itself in the process...",,,

