id,type,text1,text2,text3,notes
#---- frigate,,,,,
vanidad_cazador,SHIP,"As one of the earliest blueprints retrieved by archaeoengineers from the massive space station orbiting Krystos, the highly maneuverable and powerful Cazador is in high demand from hotshot pilots in the Operation. Prior to the Collapse, the original Vanidad y Afliction Operation used the Cazador as a testbed for its advanced power redirection systems. Despite the best efforts of the Hegemony-linked modern Operation, scientists have been unable to replicate its delicate circuitry, leaving the Cazador as the only known VAO hull capable of freely modifying the power flow of its weapons and propulsion systems. Unfortunately, this comes at the cost of higher-than-normal maintenance requirements that are nevertheless balanced out by its great speed and maneuverability. ",,,
vanidad_forrajeador,SHIP,"The Forrajeador is a neat logistics package wrapped in an efficient defense platform. Although its light weapons complement is unlikely to win a stand-up fight against a specialized combat vessel, the Forrajeador is a capable support ship when needed on the battlefield. The iconic shape of its containers is a bit of an annoyance for port workers in most of the Persean Sector to handle as they don't match standard Domain cargo container dimensions.",,,
vanidad_pazjoya,SHIP,"The Pazjoya is one of the few ""normal"" vessels in use by the VAO, with few of the advanced technologies common to other ships in their lineup. Considered by the modern Operation to be one of the oldest pre-Collapse VAO designs, it is a well-armored, somewhat slow frigate with a powerful forward complement. Primarily in use as support for VAO's more advanced destroyer and cruiser forces, its above-average defense and missile bafflement abilities allow it to protect the flanks of the Operation's fleets with ease.",,,
#---- destroyer,,,,,
vanidad_halcon,SHIP,"Considered by archaeologists to be one of the last VAO ships designed prior to the Gate shutdown, the Halcon is an aggressive skirmisher used to dictate the terms of the battlefield. Its plasma jets allow the Halcon to freely engage and disengage enemies to support its fleet and manipulate the battle lines. Unfortunately, this mobility comes at a price: despite its higher than average armor plating, poor hull integrity and a limited flux pool make the Halcon a poor frontline combatant.",,,
vanidad_ionizador,SHIP,"Boasting significant strike firepower from its oversized weapons mounts, the Ionizador is designed to punch above its weight in short engagements. Advanced turret stabilization systems allow the ship to briefly increase the range and accuracy of its heavy weapons complement, earning it a prized role in the VAO's pirate suppression fleets.

The Ionizador shares a large number of components and design decisions with the common Sunder, suggesting that the original Vanidad y Afliction Operation enjoyed support and funding from starship engineering firms throughout the Domain prior to the Gate collapse.

Crews assigned to this ship often complain about the position of the bridge at the forward bow. However, the bizarre orange crystalline material unique to VAO designs is durable enough to shrug off most weapon hits due to its angular profile and advanced material qualities.",,,
#---- cruiser,,,,,
vanidad_almadena,SHIP,"With a powerful frontal battery, strong defenses, and good mobility, the Almadena-class cruiser is a mainstay of VAO's fleet doctrine. As a support ship in a larger fleet, it is capable of forming a strong, nimble battle line. As the flagship of a smaller fleet, it has the staying power to keep up with the worst the pirates can throw at it.

The Almadena blueprint was recovered from the Debajo Del Sol station and quickly mass-produced once the station's nanoforge was brought back online. Its performance against early threats to the VAO gave it a good reputation, even among ex-Hegemony traditionalists. Unfortunately, without the use of its plasma drive, the ship's engines seem to be forced to operate at a lower efficiency than their specifications should allow them to. All efforts to fix this shortcoming have failed, leading VAO's baffled engineers to theorize that this was done to forcibly minimize maintenance costs.",,,
vanidad_viajero,SHIP,"A standard carrier of VAO design. Useful in an escort role, the Viajero is one of the few ships that fields the Lenador mobile worker, allowing it the flexibility to support salvaging and surveying efforts while also supporting a fleet using its versatile strike mecha.

Unlike other ships in VAO's arsenal, the Viajero design was reverse-engineered from a wreck discovered several kilometers from the main Krystos settlement. With no blueprints to draw from, the post-Collapse VAO determined that the ship was originally designed as a survey vessel whose bays could accommodate the Lenador mobile workers in use by the natives of Krystos. With that in mind, the VAO set about creating a battlecarrier capable of fielding militarized Lenadors in hostile space. The result is the modern Viajero, a striking example of the creativity and resourcefulness of the VAO's technical staff.",,,
