name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
Mattock,xlu_mattock,,XLU,,,700,175,250,,180,0,,100,60,60,45,60,70,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,1
Phosphor,xlu_phosphor,,XLU,forgevats_station,,4000,600,3000,,600,100,,250,400,300,60,90,200,FRONT,,120,0,1.2,,,0,0,,,,,,,,,,,,,,,,,,,UNBOARDABLE,no_dealer,,0.4,2,2,,2
Ytty,xlu_drone_ytty,,XLU,,,600,150,200,,50,,,240,300,300,180,200,25,NONE,,360,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,3
Anyonode,xlu_drone_anyonode,,XLU,,,500,100,300,,100,,,400,400,300,180,200,25,NONE,,360,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalis,xlu_kalis,,XLU,flarelauncher_fighter,,1200,250,400,,300,0,,135,150,125,75,150,65,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,100
Kampilan,xlu_kampilan,,XLU,flarelauncher_single,,360,40,150,,60,0,,350,400,400,150,225,30,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,101
Guna,xlu_guna,,XLU,flarelauncher_single,,450,125,600,,200,0,,220,275,300,120,135,50,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,102
Lantaka,xlu_lantaka,,XLU,flarelauncher_single,,1000,100,400,,100,0,,160,240,100,90,105,50,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alum,xlu_alum,Armored Frigate,XLU,xlu_dilationdamper,6,2000,600,2000,,250,45,,140,120,90,60,90,300,OMNI,,90,0.4,1.2,,,20,30,50,30,1.5,20,10,12000,8,8,240,0.25,5,5,,,,,,,,"xlu_bp, xlu_basic_bp, merc",,0.4,2,2,,200
Lead,xlu_lead,Phase Frigate,XLU,ammofeed,13,2500,550,3500,,250,55,,130,90,80,50,60,300,PHASE,phasecloak,90,,,0.07,0.05,35,50,50,35,1.5,23.33,10,18000,8,8,180,0.25,14,14,,,,,,,,"xlu_bp, xlu_heavy_bp",,0.4,2,2,,201
Zinc,xlu_zinc,Heavy Frigate,XLU,xlu_frenziedfeed,9,3000,700,4000,,350,65,,100,100,75,60,60,300,FRONT,,120,0.3,1.4,,,35,60,60,45,1.5,30,10,20000,8,8,240,0.25,10,10,,,,,,,,"xlu_bp, xlu_heavy_bp",,0.4,2,2,,202
Brass,xlu_brass,Frigate,XLU,maneuveringjets,7,3000,350,3000,,250,50,,120,135,80,75,75,250,FRONT,,180,0.4,1.2,,,25,40,50,30,1.5,20,10,14000,8,8,180,0.25,7,7,,,,,,,,"xlu_bp, xlu_basic_bp, merc",,0.4,2,2,,203
Tin,xlu_tin,Gun Shuttle,XLU,xlu_vectorpunch,5,2000,300,2500,,200,30,,110,90,60,60,45,250,FRONT,,210,0.4,1.2,,,10,60,50,60,2,30,10,10000,8,15,180,0.25,5,5,,,,,,,,"xlu_bp, xlu_basic_bp, merc",,0.6,2,2,,204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Espron,xlu_espron,Monitor,XLU,xlu_frenziedfeed,10,3500,1000,6500,,450,90,,70,45,25,30,15,400,FRONT,,240,0.4,1.2,,,70,120,130,75,3,25,9,45000,5,10,300,0.25,11,11,,,,,,,,"xlu_bp, xlu_heavy_bp, merc",,0.5,2,3,,300
Stibium,xlu_stibium,Destroyer,XLU,canister_flak,12,5000,800,6000,,350,100,,80,55,30,30,35,600,FRONT,,270,0.4,1.4,,,50,80,120,120,4,30,9,50000,5,10,360,0.25,11,11,,,,,,,,"xlu_bp, xlu_basic_bp",,0.5,2,3,,301
Butane,xlu_butane,Heavy Tug,XLU,burndrive,7,3000,450,3000,,150,60,,100,150,60,45,60,380,FRONT,,90,0.3,1,,,25,30,50,240,16,15,8,25000,7,20,240,0.25,8,8,,,,,,,CIVILIAN,"xlu_bp, xlu_basic_bp",,0.5,2,3,,302
Cobble,xlu_cobble,Armored Freighter,XLU,flarelauncher_active,5,3000,600,2000,,150,50,,60,30,20,30,15,500,FRONT,,210,0.3,1,,,20,80,350,90,3,30,8,28000,3,15,240,0.25,6,6,70,116.67,,,,,"CIVILIAN, FREIGHTER","xlu_bp, xlu_basic_bp, xlu_colossus",,0.6,2,3,,303
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobalt,xlu_cobalt,Heavy Cruiser,XLU,xlu_madmansfeed,21,9000,1600,15000,,750,200,,40,25,12,14,10,1800,FRONT,,150,0.3,1.2,,,250,350,220,210,7,30,8,140000,4,10,540,0.25,36,36,,,,,,,,"xlu_bp, xlu_heavy_bp",,0.4,2,4,,400
Ferros,xlu_ferros,Cruiser,XLU,xlu_vectorpunch,18,7000,1200,12000,,700,160,,60,40,20,20,8,1500,FRONT,,240,0.4,1.2,,,180,300,200,125,5,25,8,125000,3,10,420,0.25,26,26,,,,,,,,"xlu_bp, xlu_basic_bp",,0.5,2,3,,401
