name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Lgt. Shotcannon,xlu_shotcannon_s,0,,300,500,,320,,2,10,5,,,,KINETIC,200,,0,1.2,1,,10,15,0.2,9,,800,,,20,,,,"kinetic1, xlu_basic_bp, xlu",,XLU,,Anti Shield,,,,,"Each pellet does %s Kinetic damage with a total of %s pellets, at a spread of %s degrees.",40|8|15,,,,1000
,xlu_shotcannon_z_s,4,,100,500,,40,,2,5,,,,,KINETIC,25,,0,1,1,,10,15,0.2,9,,800,,,20,,,SYSTEM,,,,,,,,,,,,,,,1000.01
Gatler Cannon,xlu_gattler,1,,400,250,,25,,1,75,6,100,15,100,FRAGMENTATION,4,,0,0.05,1,,5,30,1.5,15,,700,,,10,,,PD,"pd7, SR, xlu_basic_bp, xlu",,XLU,,Point Defense,,,,,,,,,,1001
Light Tri-Autocannon,xlu_light_triac,2,,600,600,,50,,3,10,6,,,,KINETIC,40,,0,0.6,3,0.075,0,20,2,9,,800,,,20,,,,"kinetic7, xlu_basic_bp, xlu",,XLU,,Anti Shield,,,,,,,,,,1002
Light Calf Mortar,xlu_mortar_s,1,,300,600,,75,,4,30,5,,,,HIGH_EXPLOSIVE,45,,0,1.2,4,0.1,5,20,1,10,,500,,,10,,,,"he6, xlu_basic_bp, xlu",,XLU,,Anti Armor,,,,,,,,,,1003
Stubbon Thumper,xlu_stubbon,0,,200,600,,55,,1,15,4,30,5,30,FRAGMENTATION,20,,0,0.125,1,,0,15,0.5,20,,800,,,20,,,"PD, PD_ALSO","kinetic8, xlu_basic_bp, xlu",,XLU,,All-Purpose,,,,,,,,,,1004
Gyropult Bomb Bay,xlu_gyropult_s,2,,600,1500,,300,,50,15,4,6,0.2,,HIGH_EXPLOSIVE,10,,0,1,1,,0,0,0,0,,500,100,20,150,,,"STRIKE, BOMB","he0, xlu_basic_bp, xlu",,,,Strike,,,,,Bombs will avoid colliding with friendly ships.,,,,,1005
Light Assault Mortar 40th,xlu_40th_mortar_s,3,0.5,1000,700,,45,,3,40,9,,,,HIGH_EXPLOSIVE,32,,0,0.2,1,,0,5,1,5,,800,,,40,,,,"no_drop, he6, xlu, xlu_40th",,XL Ultra,,Anti Armor,,,,,,,,,,3
Twin Railgun 40th,xlu_40th_railgun,3,0.5,1500,700,,100,10,10,30,10,,,,KINETIC,80,,0,0.9,1,,,,,,,1200,,,50,,,,"no_drop, kinetic8, xlu, xlu_40th",,XL Ultra,,Anti Shield,,,,,,,,,,3.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Momus Assault Gun,xlu_momus,1,,1500,800,,120,,5,25,10,,,,HIGH_EXPLOSIVE,150,,0,0.5,1,,0,10,2,10,,800,,,50,,,,"he18, xlu_basic_bp, xlu",,XLU,,Anti Armor,,,,,,,,,,1100
Hypershot Flak Cannon,xlu_hyperflak,2,,2000,700,,600,,10,10,11,,,,FRAGMENTATION,80,,0,2,1,,0,10,2,10,,1000,,,200,,,PD,"pd13, SR, xlu_basic_bp, xlu",,XLU,,Point Defense (Area),,,,,,,,,,1101
Hvy. Shotcannon,xlu_shotcannon_m,1,,1600,650,,400,,4,7,11,,,,KINETIC,300,,0,0.9,1,,15,20,1.5,5,,800,,,30,,,,"kinetic1, xlu_basic_bp, xlu",,XLU,,Anti Shield,,,,,"Each pellet does %s Kinetic damage with a total of %s pellets, at a spread of %s degrees.",40|10|20,,,,1102
