id,trigger,conditions,script,text,options,notes
greetingxhanempireFriendly,OpenCommLink,"$faction.id == xhanempire
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""May the light of the Divine Emperor fall upon you.""
OR
""All Glory to the everlasting Empire""",,
greetingxhanempireHostileWeaker,OpenCommLink,"$faction.id == xhanempire
$entity.isHostile
$entity.relativeStrength < 0","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Transgressions against the Xhan Empire are not soon forgotten. Hostile action will not be to your benefit.""
OR
""The Xhan Empire may yet extend its infinite mercy to you. Do not commit to making this error.""",,
greetingxhanempireHostileWeakerDefiant,OpenCommLink,"$faction.id == xhanempire
$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding",$ignorePlayerCommRequests = true 1,"""The Xhan Empire shall stand eternal. Glory to the Divine Emperor!""
OR
""I fear nothing, for the might of the Xhan Empire stands behind me.""",cutCommLink:Cut the comm link,
greetingxhanempireHostileStronger,OpenCommLink,"$faction.id == xhanempire
$entity.isHostile
$entity.relativeStrength >= 0",$ignorePlayerCommRequests = true 1,"""May The mercy of the Divine Emperor fall upon you.""
OR
""Your transgressions against the Xhan Empire and its people shall now cease, prepare for the end. ""
OR
""For your crimes against the Xhan Empire you and your men are sentenced to have your individual lives terminated.""",cutCommLink:Cut the comm link,
greetingxhanempireNeutral,OpenCommLink,"$faction.id == xhanempire
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""What do you require from an enforcer of the Divine Emperors will?""
OR
""At this the Xhan Empire extends its inifnite hospitality to you. Ensure that you and your crew pay proper respects to the Divine Emperor""",,
flavorTextMarketxhanempire,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == xhanempirescore:4","AddText ""Xhan market description"" marketFlavorTextColor",,,
flavorTextMarketxhanempirecluster,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == xhanempire
$market.id == xhanempire_cluster_market score:5
$id == xhanempire_cluster","AddText ""Xhan Cluster Description"" marketFlavorTextColor",,,
,,,,,,
bar_descxhanempire,BarPrintDesc,"$faction.id == xhanempire
$market.id != xhanempire_cluster_market",ShowImageVisual space_bar,"The bar like most other Xhan architecture is spartan and bare. A a seemingly purely utilitarian installation, uniformed citizens and military personel sit in orderly even spaced groupings. Electronic screens slowly scrawl production statistics and commodity availability from adjacent facilites. The closest thing to any form of entertainment is a video screen displaying a gaudily dressed member of the Divine Emperors entourage listing todays citizens of merit. ",,
,,,,,,
