bounty_id,level,rank,firstName,lastName,captainPersonality,fleetName,flagshipName,gender,faction,portrait,greetingText,suppressIntel,postedByFaction,creditReward,repReward,intelText,flagshipVariantId,fleetVariantIds,minimumFleetFP,playerFPScalingFactor,chanceToAutoRecover,specialItemRewards,neverSpawnUnlessBountiesCompleted,neverSpawnWhenFactionHostile,neverSpawnWhenFactionNonHostile,neverSpawnBeforeCycle,neverSpawnBeforeLevel,neverSpawnBeforeFleetPoints
Xhan_goggergeck_bounty,30,spaceAdmiral,Zekor,Thexx,aggressive,The Emperors Will,Divine Gift,MALE,xhanempire,graphics/portraits/HVBP/Xhan_Zekor.png,"“Another slave, come to challenge an executor of the Divine Emperors will. Who do you serve? The obsolete vestiges of the old Domain? Are you a slave to the material? Or perhaps, you are a slave to fear. You fear mankinds accomplishments, and our future...”

Zekor stands up and paces, tracked by his view screen. Facing away, he stands contrapposto; exaggerating his lithe, bio-technologically enhanced body. Twisting around in a rehearsed; almost theatrical manner, he once again faces the view screen.

“Why do you not submit? I have snuffed out countless slaves like you, all willing to throw away not just their own lives, but all of mans future. Submit to the Divine Emperor, this is the only chance we will ever have. We have to run towards progress. Run fast enough so that when we finally jump, we will take flight and never come down. If we do not, then all mankind will fall, forever.”

Crossing his arms, he looks down towards an open hand. Staring at his fingers as he slowly curls them, seemingly impressed by his own synthetic body. After a moment his eyes dart up towards the screen and he takes on a morose expression; as if he had just been roused from a pleasant daydream. 

“May the infinite mercy of the Divine Emperor fall upon you.""",FALSE,hegemony,800000,25,"Thought to be a member of the divine emperors personal entourage, Zekor Thexx is an extremely dangerous and high ranking admiral within the Xhan Empire. He is engaged in a campaign of terror and disruption against those that have been deemed enemies of the Xhan Empire. Indiscriminately targeting both supply and military fleets. He strikes quickly and aggressively, attempting to cause as much damage as possible before retreating. Long range scouts have located one of his fleets regrouping points, no doubt he is preparing to strike again.

For the good of the sector, his murderous campaign must end.",XHAN_Goggergeck_EmperorsConqueror,"XHAN_Pharrek_variant_EmperorsScalpel, XHAN_Pharrek_variant_EmperorsScalpel",300,1.2,1,,,FALSE,FALSE,206,30,1
Xhan_vukan_bounty,15,spaceAdmiral,Mendoza,Red,steady,The Cobra Sect,Object 881,MALE,pirates,graphics/portraits/HVBP/Xhan_Mendoza.png,"""Do you know how many lives I've saved? Im a fucking hero! They want me to give this ship away? MY ship? Just because some son of a bitch was born into his daddies money means I have to lie down and lick his feet like a dog?! How much have I cost them by now? Was it fucking worth it!? Come on you merc asshole, I don’t have all day!” ",FALSE,persean,180000,10,"Once a hotshot Persean Leauge pilot, Mendoza Red defected after stealing an experimental ship meant as a political gift to curry favor with an influential mining magnate. He now leads a dangerous band of outlaws, deserters, and political dissidents. Not satisfied with haranguing poorly defended shipping fleets, he has turned towards extortion. He seems intent on building up an organized military force. Naively, he has put out a call on un-encrypted comm channels looking for recruits. With a bounty on his head and his location pinpointed, this terrorists days are numbered.  ",XHAN_Vukan_S_Hero,"XHAN_Vukan_Hunter, XHAN_Vukan_Executioner",110,1,1,,,FALSE,FALSE,206,8,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# bounty_id : line ID. Must be unique across all mods. I recommend a prefix,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# level : character level of bounty captain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# rank : must match a rank ID in Ranks,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# firstName : bounty captain's first name,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# lastName : bounty captain's last name,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# captainPersonality : must match a value from Personalities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
