name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
Divine Emperor's Mercy,CHM_xhanempire,,,Xhan Tech,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.CHM_xhanempire,"The Xhan Empire's focus on heavy armor utilizes several active components of ship armor to yield exceptional results. Increase the ship's armor for damage reduction calculation by %s/%s/%s/%s points, depending on hull size.",Increase armor.,graphics/hullmods/DEMercy.png
Optimized Targeting Systems,PAMED_targeting,,,UTONA Shipyards,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.PAMED_targeting,High quality targeting systems and optics extend the range of ballistic and energy weapons by %s.,Extends non-missile weapon range.,graphics/hullmods/PAMED_Targeting.png
Smart Armor Hardening,PAMED_armor,,,UTONA Shipyards,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.PAMED_armor,"Hardened armor has increased damage reduction, making it more effective against low damage projectiles. The hardening process also increases emp resistace by %s.",Increases armor damage resistance to lower damage projectiles. Increases EMP resistance,graphics/hullmods/PAMED_Armor.png
Flute Engines,PAMED_engines,,,UTONA Shipyards,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.PAMED_engines,The unique design of UTONA engines increases their durability by %s,Engine construction is more durable,graphics/hullmods/PAMED_Engines.png
Plasteen Armor,XHAN_PlasteenArmor,,,Alvarium Doctrine,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.XHAN_PlasteenArmor,"The ship's armor and internal superstructure is composed of a highly compressible, biologically derived plastic. Increasing resistance to High Explosive damage by %s. However the pliable plasteen construction is %s less reistant to Kinetic damage compared to conventional armor.","Increased reistance to HE damage, reduced reistance to kinetic damage.",graphics/hullmods/PLASTEEN_Armor.png
High-Volume DroneShip Constructor,XHAN_PlasteenProduction,,,Alvarium Doctrine,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.XHAN_PlasteenProduction,The ship is equipped with an internal bio-synthetic autoforge that will consume %s from ship cargo holds at the end of every month. It will produce %s drone frigates and %s drone frigate. Will not produce ships or consume resources if the required amount is unavailable.,Consumes organics to produce drone frigates.,graphics/hullmods/PLASTEEN_Production.png
Elite DroneShip Constructor,XHAN_Elite_PlasteenProduction,,,Alvarium Doctrine,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.XHAN_Elite_PlasteenProduction,The ship is equipped with an internal bio-synthetic autoforge that will consume %s from ship cargo holds at the end of every month. It will produce %s elite drone frigate. Will not produce ships or consume resources if the required amount is unavailable.,Consumes organics to produce a drone frigate.,graphics/hullmods/PLASTEEN__Elite_Production.png
First Generation Xhantech Armor Plating,XHAN_Gen1_armor,,,Xhan Tech,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.XHAN_Gen1_armor,First Generation Xhantech armor plating reduces High Explosive damage by %s and Energy Damage by %s ,Increased reistance to HE and ENG damage,graphics/hullmods/XHAN_Gen1armor.png
Second Generation Xhantech Armor Plating,XHAN_Gen2_armor,,,Xhan Tech,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.XHAN_Gen2_armor,Second Generation Xhantech armor plating reduces High Explosive damage by %s and Energy Damage by %s ,Increased reistance to HE and ENG damage,graphics/hullmods/XHAN_Gen2armor.png
Third Generation Xhantech Armor Plating,XHAN_Gen3_armor,,,Xhan Tech,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.XHAN_Gen3_armor,Third Generation AI designed Xhantech armor plating reduces High Explosive damage by %s and Energy Damage by %s ,Increased reistance to HE and ENG damage,graphics/hullmods/XHAN_Gen3armor.png
Divine Carapace,XHAN_Gen4_armor,,,Prime Divination,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.XHAN_Gen4_armor,The Divine Carapace is a composite of several as of yet unidentifed exotic materals that decrease High Explosive damage by %s and Energy Damage by %s aditionally the ships systems are %s more resistant to EMP damage,"Increased reistance to HE, ENG, and EMP damage",graphics/hullmods/XHAN_Gen4armor.png
Hardened Temporal Systems,XHAN_CronososTech,,,High Tech,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.XHAN_CronososTech,"The ship is capable of using its internal temporal distortion engine to extend its operational lifespan, causing combat readiness to degrade at an %s slower rate",Combat Readiness degrades 80% slower.,graphics/hullmods/XHAN_Cronososarmor.png
Bubble Shield,XHAN_BubbleShield,,,Transcendent Divination,,,,,TRUE,TRUE,0,0,0,0,data.scripts.hullmods.XHAN_BubbleShield,,,graphics/hullmods/XHAN_Cronososarmor.png
Azure Carapace,XHAN_TranscendentArmor,,,Transcendent Divination,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.XHAN_TranscendentArmor,A hardened carapace of unknown composition. Providing vastly increased protection against the abrasion caused by low yield weaponry when compared to more common composites found within the sector. Its sophisticated electromagnetic insulation properties also increases emp resistace by %s.,Increases armor damage resistance to lower damage projectiles. Increases EMP resistance,graphics/hullmods/XHAN_Gen5armor.png
Myrias Eye,XHAN_Myria_Targeting,,,Transcendent Divination,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.XHAN_Myria_Targeting,Esoteric targeting systems extend the range of ballistic and energy weapons by %s. Point defense weapons will never target flares.,Extends non-missile weapon range.,graphics/hullmods/XHAN_MyriaEye.png
XhanTech Targeting Mast,XHAN_targeting_mast,,,Xhan Tech,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.XHAN_targeting_mast,Targeting masts and linked systems extend the range of ballistic weapons by %s.,Extends non-missile weapon range.,graphics/hullmods/XHAN_Targeting.png
