name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
Zahkhan,XHAN_Zahkhan,,Xhan Tech,flarelauncher_fighter,,700,250,200,,50,0,,155,180,150,100,200,45,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,0,,,110
Palka,XHAN_Palka,,Xhan Tech,,,450,50,750,,100,0,,350,450,400,200,300,30,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,0,,,111
Shnerk,XHAN_Shnerk,,Xhan Tech,,,820,350,1400,,50,0,,150,160,140,35,120,70,NONE,,0,0,0,,,4,4,,,,,,,,,,,,,,,,0,,,118
Vil,XHAN_Vil,,Alvarium Doctrine,,,190,65,350,,100,0,,310,500,450,180,360,18,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,102
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oiehou-M1,XHAN_OieHou,Heavy Frigate,Xhan Tech,damper,6,2200,550,2200,2188,175,40,,125,110,100,45,80,300,OMNI,,90,0.4,1,,,30,50,70,25,1,25,10,10000,8,10,300,0.25,4,4,,XhanMidtech_bp,,0.4,2,2,89001
Boulo,XHAN_Boulo,Frigate,Xhan Tech,xhan_microburn,5,1600,300,2250,1875,150,45,,145,140,100,50,100,250,FRONT,,90,0.4,0.8,,,15,30,55,20,1,20,10,12000,10,20,200,0.25,5,5,,XhanMidtech_bp,,0.5,2,2,89002
Ubellop,XHAN_Ubellop,Phase Frigate,Xhan Tech,damper,11,1500,450,3000,5000,400,50,,130,120,100,45,90,265,PHASE,xhan_phasecloak,90,,,0.03,0.04,5,10,25,50,1,50,10,42000,10,20,200,0.25,8,8,PHASE,rare_bp,,0.5,2,2,89008
Pharrek,XHAN_Pharrek,Vivisector,Prime Divination,xhan_skipdrive,20,2500,300,6000,4000,500,50,,150,140,140,100,400,400,FRONT,,360,0.6,1,,,1,1,0,10,1,10,10,240000,8,30,360,0.25,25,25,,,0.5,100,16,20,89012
Odonata,PAMED_odonata,Phase Frigate,UTONA Shipyards,PAMED_holodecoy,12,1000,200,2500,5000,400,60,,180,120,120,65,120,200,PHASE,phasecloak,90,,,0.03,0.03,4,6,5,15,1,15,10,72000,10,20,190,0.25,12,12,PHASE,,,0.85,4,7,89022
Anuran,PAMED_anuran,Heavy Frigate,UTONA Shipyards,PAMED_Teleport,11,2300,250,2000,1875,400,60,,130,120,100,60,120,300,OMNI,,180,0.4,0.6,,,35,45,10,20,1,20,10,62000,7,20,225,0.25,11,11,,,,0.7,2,2,89023
ULTRA 233,PAMED_ultra233,Experimental Frigate,UTONA Shipyards,XHAN_ElectroChargedShields,16,2000,100,8000,1875,550,70,,120,110,100,50,110,300,FRONT,,280,0.4,0.6,,,10,15,0,5,1,5,10,165000,7,20,300,0.25,18,18,,,,1,10,15,89024
