id,type,size,intensity,fadeout,color,offset,hit size,hit intensity,hit fadeout,hit color,flash size,flash intensity,flash fadeout,flash color,flash offset,chance,fighter dim
,,,,,,,,,,,,,,,,,
Shtir_Shot,projectile,40,0.15,0.15,"[230,255,210]",,,,,,40,0.15,0.2,"[165,225,185]",,1,TRUE
,,,,,,,,,,,,,,,,,
Steizok_shot,projectile,50,0.15,0.15,"[255,120,50]",,,,,,60,0.15,0.2,"[255,120,50",,1,TRUE
,,,,,,,,,,,,,,,,,
Chok_Shot,projectile,,,,,,75,0.3,0.5,"[200,120,50]",50,0.1,0.4,"[200,120,50]",,1,TRUE
,,,,,,,,,,,,,,,,,
Igol_shot,projectile,,,,,,,,,,40,0.15,0.2,"[200,120,50]",,0.75,TRUE
,,,,,,,,,,,,,,,,,
XGAN_Igol_shot_fighter,projectile,,,,,,,,,,40,0.15,0.2,"[200,120,50]",,0.75,TRUE
,,,,,,,,,,,,,,,,,
Occuklop_shot,projectile,125,0.3,0.2,"[255,120,50]",,200,0.5,1.5,"[255,120,50]",150,0.3,0.15,"[255,120,50]",,1,TRUE
,,,,,,,,,,,,,,,,,
Zakrep_Prox_Shot,projectile,125,0.3,0.2,"[255,120,50]",,200,0.5,1.5,"[255,120,50]",150,0.3,0.15,"[255,120,50]",,1,TRUE
,,,,,,,,,,,,,,,,,
Xhan_TsebrekShot,projectile,125,0.3,0.2,"[255,250,215]",,180,0.5,1.5,"[255,250,215]",150,0.3,0.15,"[255,250,215]",,1,TRUE
,,,,,,,,,,,,,,,,,
Sharik_Cluster_Shot,projectile,125,0.3,0.2,"[255,120,50]",,200,0.5,1.5,"[255,120,50]",150,0.3,0.15,"[255,120,50]",,1,TRUE
,,,,,,,,,,,,,,,,,
Sharik_Missile,projectile,125,0.6,0.5,"[255,145,75]",14,250,0.5,1.25,"[255,165,10]",,,,,,1,FALSE
,,,,,,,,,,,,,,,,,
Stolb_grenade,projectile,100,0.5,0.3,"[255,120,50]",,700,1.25,1.5,"[255,120,50]",,,,,,1,FALSE
,,,,,,,,,,,,,,,,,
Gorel_Plas_Shot,projectile,200,0.75,0.5,"[153,255,51]",,200,0.8,1,"[153,255,51]",200,0.4,0.6,"[153,255,51]",,1,TRUE
,,,,,,,,,,,,,,,,,
Xhan_Uogek_Toroid,projectile,200,0.75,0.5,"[182,22,235]",,200,0.8,1,"[153,255,51]",200,0.4,0.6,"[182,22,235]",,1,TRUE
,,,,,,,,,,,,,,,,,
Palik_shot,projectile,50,0.40,0.5,"[153,255,51]",,50,0.8,1,"[153,255,51]",30,0.2,0.6,"[153,255,51]",,1,TRUE
,,,,,,,,,,,,,,,,,
Ugol_Shot,projectile,80,0.40,0.5,"[153,255,51]",,50,0.8,1,"[153,255,51]",65,0.2,0.6,"[153,255,51]",,1,TRUE
,,,,,,,,,,,,,,,,,
Xhan_Zarukel_Shot,projectile,80,0.40,0.5,"[128,255,198]",,50,0.8,1,"[128,255,198]",65,0.2,0.6,"[128,255,198]",,1,TRUE
,,,,,,,,,,,,,,,,,
