id,type,frame,magnitude,map,path
XHAN_OieHou,ship,,1,normal,graphics/ships/normals/OieHou_normal.png
XHAN_Boulo,ship,,1,normal,graphics/ships/normals/Boulo_normal.png
XHAN_Ubellop,ship,,1,normal,graphics/ships/normals/XHAN_Ulbellop_normal.png
XHAN_Pharrek,ship,,1,normal,graphics/ships/normals/Xhan_Pharrek_normal.png
XHAN_Meiche,ship,,1,normal,graphics/ships/normals/Meiche_normal.png
XHAN_Cronosos,ship,,1,normal,graphics/ships/normals/Xhan_Cronosos_normal.png
XHAN_Kassarek,ship,,1,normal,graphics/ships/normals/Xhan_Kassarek_normal.png
XHAN_Doskan,ship,,1,normal,graphics/ships/normals/Xhan_Doskan_normal.png
XHAN_Olkzan,ship,,1,normal,graphics/ships/normals/Olkzan_normal.png
XHAN_Olkzan_Carrier,ship,,1,normal,graphics/ships/normals/Xhan_olkzan_carrier_normal.png
XHAN_Ketsil,ship,,1,normal,graphics/ships/normals/Xhan_Ketsil_normal.png
XHAN_Ketsil_export,ship,,1,normal,graphics/ships/normals/Xhan_Ketsil_normal.png
XHAN_Slenzak,ship,,1,normal,graphics/ships/normals/XHAN_Slenzak_normal.png
XHAN_Vukan,ship,,1,normal,graphics/ships/normals/Xhan_Vukan_normal.png
XHAN_Vukan_S,ship,,1,normal,graphics/ships/normals/Xhan_Vukan_normal.png
XHAN_Cheborog,ship,,1,normal,graphics/ships/normals/Cheborog_normal.png
XHAN_Ennik,ship,,1,normal,graphics/ships/normals/Xhan_Ennik_normal.png
XHAN_Ennik_export,ship,,1,normal,graphics/ships/normals/Xhan_Ennik_normal.png
XHAN_Karoba,ship,,1,normal,graphics/ships/normals/Karoba_normal.png
XHAN_Cheborog_Carrier,ship,,1,normal,graphics/ships/normals/Xhan_Cheborog_Carrier_normal.png
XHAN_Brakad,ship,,1,normal,graphics/ships/normals/Xhan_Brakad_normal.png
XHAN_Brakad_S,ship,,1,normal,graphics/ships/normals/Xhan_Brakad_normal.png
XHAN_Ouggom,ship,,1,normal,graphics/ships/normals/Xhan_Ouggom_normal.png
XHAN_Occuklop,ship,,1,normal,graphics/ships/normals/Occuklop_normal.png
XHAN_Olkzan_pirate,ship,,1,normal,graphics/ships/normals/Xhan_olkzan_pirate_normal.png
XHAN_Olkzan_export,ship,,1,normal,graphics/ships/normals/Xhan_olkzan_export_normal.png
XHAN_Panrelka,ship,,1,normal,graphics/ships/normals/xhan_Panrelka_normal.png
XHAN_Goggergeck,ship,,1,normal,graphics/ships/normals/XHAN_Goggergeck_normal.png
XHAN_Gramada,ship,,1,normal,graphics/ships/normals/Xhan_Gramada_normal.png
,,,,,
PAMED_odonata,ship,,1,normal,graphics/ships/normals/PAMED_odonata_normal.png
PAMED_anuran,ship,,1,normal,graphics/ships/normals/PAMED_anuran_normal.png
PAMED_ultra233,ship,,1,normal,graphics/ships/normals/PAMED_ultra233_normal.png
PAMED_urodelan,ship,,1,normal,graphics/ships/normals/PAMED_urodelan_normal.png
PAMED_buffalo,ship,,1,normal,graphics/ships/normals/PAMED_buffalo_normal.png
PAMED_drover,ship,,1,normal,graphics/ships/normals/PAMED_drover_normal.png
PAMED_carillon,ship,,1,normal,graphics/ships/normals/PAMED_carillon_normal.png
,,,,,
XHAN_Svil,ship,,1,normal,graphics/ships/normals/Xhan_Svil_normal.png
