id,type,text1,text2,text3,notes
# Weapons,,,,,
,,,,,
,,,,,
Occuklop_Decimator,WEAPON,"The Occuklops built in weapon is an auto-loading tube array of large high explosive proximity-burst shells. The Decimator can effectively strip armor and even destroy smaller craft in a single well aimed volley. If used at an in-opportune time, the high burst of flux buildup can put an un-weary captain at a disadvantage.",Anti Armor,,
,,,,,
Xhan_Agmad,WEAPON,"An frighteningly efficient burst fire energy pulse weapon, The Agmad can deliver ruinous bursts of fire. However, even the Pharreks powerbanks do not allow to take advantage of its potential sustained fire rate.",Anti Armor,,
,,,,,
Xhan_Ertshan,WEAPON,"The Ertshan is an array of missile fabrication tubes connected to the Pharreks central power core. Confounding to both the Emperors finest engineers and the greater sectors best scientists, it seems to simply generate new micro-missiles using some form of energy to matter system.",General,,
,,,,,
Xhan_Pharrekcore,WEAPON,"The Pharrek can periodically release pulses of stored energy to intercept missiles and fightercraft. A boogeyman among fighter pilots across the sector. The existence of such a weapons system seems to constantly weave from myth, to terrifying first hand account. ",Point Defense,,
,,,,,
XHAN_Szar_Point_Defense,WEAPON,An effective point defense laser seemingly focused through an entirely opaque metalloid material.,Point Defense,,
,,,,,
Xhan_ShockTail,WEAPON,Discharge from the ships temporal generator is focused down into an electron rod and dissipated. However if enemy missiles or craft are in range the grounding can be disabled to allow repeated temporal discharge strikes.,Point Defense,,
,,,,,
Stolb_Demo_charge,WEAPON,"The Stolb fires heavy explosive charges that operate on a timer, rather than impact or proximity fuse like other comparable weapons of its class. 

Originally it was designed by XhanTech for heavy demolitions work and has even seen use in asteroid mining operations. Unsurprisingly it was easily re-purposed as an anti ship weapon. The weapon system itself tends to confound inexperienced captains, as the slow moving charges are completely harmless until they detonate.",Area Denial,,
,,,,,
Gorel_Plas_Proj,WEAPON,"The Gorel fires superheated globs of synth plastoid capable of melting though even exceptionally thick armor plating. The localized plasma channel generated due to the incredible heat is even able to disrupt ship systems at the point of impact. 

Like all third generation weapons the Gorels internal systems are essentially impenetrable even to experienced engineers. It is only the true savants of the Xhan Empire that have the honor of maintaining such weapons. It is rumored and spoken in hushed tones that the Divine Emperor himself posses an intimate understanding of even the most complex AGI divined systems. ",General,,
,,,,,
Zakrep_Prox_Burst,WEAPON,"A reliable heavy auto-cannon that fires high explosive burst shells. While not explicitly designed to do so, the Zakrep can be used to manually intercept missiles and fighters.

The Zakrep was designed as a simple heavy weapons system capable of filling most required roles. As a XhanTech product it never achieved much success in the export market due to its lack of specialization.",Anti Armor,,
,,,,,
Steizok_Autogun,WEAPON,"Firing consistent and accurate bursts of high explosive shells, the Steizok can quickly strip armor and destroy hull when used en-mass. 

A powerful autogun that sees extensive use within the Xhan Empire. It is generally seen as the Xhan standard weapon for its proliferation and ease of use.",Anti Armor,,
,,,,,
Igol_point_def,WEAPON,"The Igol can quickly saturate any location with a hail of fragmentation rounds, incredibly effective at stopping even large swarms of smaller missiles. 

While famed for its ability to swat large swathes of missiles with ease, the Igol struggles when forced to engage other ships and armored fighters. The low caliber fragmentation rounds can do little against even a modest amount of armor.",Point Defense,,
,,,,,
Ugol_Plas_Spit,WEAPON,"Firing bursts of heated plastoid shards, the Ugol provides effective ranged suppression against most targets.

The synth plastoids used within the Ugol are of an organic nature. The weapon system is able to produce them automatically by scrubbing the ships waste and  power systems for trace organic matter. ",General,,
,,,,,
Sharik_Demo_Torp,WEAPON,"The Sharik is a heavy cluster missile designed primarily for large asteroid demolition and mining. As it turns out, high explosive cluster shells are also incredibly effective at demolishing ship hulls. 

Often used as a last resort or finisher weapon by Xhan Empire captains. While it is ineffective against large shields, it can easily cripple or even outright destroy many lighter ships.",Finisher,,
,,,,,
Xhan_Yazer,WEAPON,"The Yazer is a supremely advanced energy weapon that deals an incredible amount of damage in a short burst. Because of its high energy requirements it uses a limited number of energy charges to supplement the ships main power systems when firing.

One of the most advanced weapons divined by the Xhan Empire. The Yazer is capable of atomically evaporating most known elements in a manner that should be impossible according to all known laws of thermodynamics. Effectively, every use of the Yazer is a heinous act of entropy. If there is a god, then man has found a way to make him bleed.",Strike,,
,,,,,
Chok_point_def,WEAPON,"A light; flak based point defense system. The Chok can efficiently intercept most missiles, but struggles against fast, laterally moving targets.

It is so easy to produce and replace the Chok that engineers do no bother with repairs. Indeed the Chok is produced as an entirely closed system, with no human access to internal systems available.",Point Defense,,
,,,,,
Shtir_Autocannon,WEAPON,"The Shtir is a light auto-cannon that provides good long range kinetic suppression, but is outclassed in terms of damage by other kinetics of comparable cost.

An invaluable weapon to most Xhan Empire commanders, its long range allows it to continually press faster ships that may attempt to harass slower Xhan forces and then retreat.",Anti Shield,,
,,,,,
