trail,projectile,sprite,minLength,fadeIn,duration,fadeOut,sizeIn,sizeOut,colorIn,colorOut,opacity,textLength,textScroll,distance,dispersion,drift,fadeOnFadeOut,angleAdjustment,additive,velocityIn,velocityOut,randomVelocity,angle,rotationIn,rotationOut,randomRotation,renderBelowExplosions
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorel_trail1,Gorel_Plas_Shot,xhan_trail_uogek,10,0,0,0.5,40,5,"[153,255,51]","[50,100,155]",0.7,300,-300,0,18,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
Zharukel_trail1,Xhan_Zarukel_Shot,xhan_trail_beam,10,0,0,0.2,20,3,"[128,255,198]","[50,100,155]",0.7,300,-300,0,6,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
Tsebrek_trail1,Xhan_TsebrekShot,xhan_trail_beam,10,0,0,0.8,30,1,"[255,178,54]","[255,224,173]",0.8,300,-300,2,5,1,TRUE,FALSE,TRUE,0,0,0,30,10,50,true,false
Toroid_trail1,Xhan_Uogek_Toroid,xhan_trail_uogek,10,0,0,0.3,50,5,"[182,22,235]","[22,182,235]",0.9,300,-300,0,5,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
Zakrep_trail1,Zakrep_Prox_Shot,xhan_trail_beam,10,0,0,0.4,40,4,"[255,178,54]","[255,224,173]",0.6,300,-300,2,5,1,TRUE,FALSE,TRUE,0,0,0,30,10,50,true,false
Bogul_trail1,Xhan_bogul_shot,xhan_trail_beam,10,0,0,0.5,35,1,"[255,41,80]","[0,255,110]",1,300,-300,0,20,1,TRUE,FALSE,TRUE,0,0,0,30,10,50,true,false
Kobraz_trail1,Xhan_Kobraz_shot,xhan_trail_beam,10,0,0,0.7,15,1,"[143,255,69]","[255,0,0]",1,400,-300,0,0,1,TRUE,FALSE,TRUE,0,0,0,30,10,50,true,false
Svech_trail1,Xhan_Svech_shot,xhan_trail_beam,1,0,0,0.8,8,1,"[5,255,109]","[255,0,80]",0.7,256,-300,0,8,1,TRUE,FALSE,TRUE,0,0,0,30,10,50,true,false
Grokan_trail1,Xhan_Grokan_Shot,xhan_trail_uogek,0,0,0,0.3,35,7,"[66,255,101]","[255,0,0]",0.3,550,-300,0,6,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
Grokan_trail2,Xhan_Grokan_Shot,xhan_trail_beam,10,0,0,0.7,35,1,"[255,0,0]","[255,0,247]",1,300,-300,0,10,1,TRUE,FALSE,TRUE,0,0,0,30,10,50,true,false
Shtral_trail,Xhan_Shtral_Shot,xhan_trail_beam,10,0,0,0.8,60,30,"[255,0,10]","[255,0,0]",1,400,-300,0,0,1,TRUE,FALSE,TRUE,0,0,0,30,10,50,true,false
Shtral_trail2,Xhan_Shtral_Shot,xhan_trail_beam,10,0,0,0.8,60,30,"[255,0,10]","[255,0,0]",1,400,-300,0,0,1,TRUE,FALSE,TRUE,0,0,0,30,10,50,true,false
Zhun_trail1,Xhan_Zhun_shot,xhan_trail_beam,1,0,0,0.8,8,1,"[255,235,71]","[255,0,80]",0.7,256,-300,0,8,1,TRUE,FALSE,TRUE,0,0,0,30,10,50,true,false
Shpizak_trail1,Xhan_Shpizak_shot,xhan_trail_beam,10,0,0,0.7,15,1,"[74,140,255]","[213,74,255]",1,400,-300,0,0,1,TRUE,FALSE,TRUE,0,0,0,30,10,50,true,false
Erlekhkeyt_trail1,Xhan_Erlekhkeyt_Shot,xhan_trail_uogek,0,0,0,0.4,28,50,"[50,36,255]","[255,0,0]",0.9,550,-300,0,9,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
PsyDischarge_trail1,Xhan_PsyDischarge,xhan_trail_uogek,0,0,0,0.5,35,15,"[50,36,255]","[255,0,0]",0.9,550,-300,0,9,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gromm_trail1,Xhan_Gromm_Shot,base_trail_heavySmoke,10,0.2,0.3,0.8,20,40,"[50,50,50]","[20,20,20]",0.5,300,5,-50,2,1,TRUE,FALSE,FALSE,0,0,0,0,0,0,TRUE,TRUE
Gromm_trail2,Xhan_Gromm_Shot,base_trail_heavyBurn,10,0,0,0.6,10,5,"[255,50,50]","[204,50,50]",0.5,300,5,20,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
Gromm_trail6,Xhan_Gromm_Shot,xhan_trail_sparks,0,0,0,0.5,15,70,"[255,58,28]","[255,0,0]",1,550,0,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
Gromm_trail3,Xhan_Gromm_Shot,xhan_trail_beam,10,0,0,0.4,30,2,"[255,50,50]","[255,50,50]",0.4,300,-300,2,5,1,TRUE,FALSE,TRUE,0,0,0,30,10,50,true,false
Gromm_trail4,Xhan_Gromm_Shot,base_trail_heavySmoke,10,0,0,0.4,25,35,"[50,50,50]","[50,10,10]",0.4,200,5,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
Gromm_trail5,Xhan_Gromm_Shot,base_trail_heavySmoke,10,0.05,0.1,0.2,20,30,"[180,120,100]","[50,10,10]",0.3,200,5,10,0,1,TRUE,FALSE,TRUE,10,30,0.3,0,0,80,TRUE,FALSE
Gromm_trail7,Xhan_Gromm_Shot,xhan_trail_sparks,0,0,0,0.3,15,40,"[252,20,114]","[255,142,56]",1,300,-100,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
