name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Neutron Chaingun,Domain_neutronchain,0,,6000,800,,220,100,10,0,0,10,1.3,15,HIGH_EXPLOSIVE,300,,0,0.13,1,,0,15,5,10,,1800,,,200,SYSTEM,,,,,General,,,,,,,,,,8.001
Occuklop Decimator,Occuklop_Decimator,0,,3500,1000,,500,,40,12,0,,,,HIGH_EXPLOSIVE,450,,0,6,10,0.12,5,30,5,5,,700,,,100,SYSTEM,he18,,Xhan Tech,,Anti Armor,,,,,,,,,,8.002
Xhan Emp Flare,xhan_empflare_launcher,,,,500,,50,800,,,,,0,,ENERGY,0,0,0,0.1,5,0.3,90,90,0,0,,400,200,7,60,SYSTEM,,,,,,,,,,,,,,,8.014
Xhan Blast Flare,xhan_blastflare_launcher,,,,600,,100,,,,,,0,,HIGH_EXPLOSIVE,0,0,0,0.1,6,0.2,60,60,0,0,,250,400,3,80,SYSTEM,,,,,,,,,,,,,,,36
Phased Decoy Anomaly,PAMED_holoemit,,,,1200,,10,400,,,,,0,,ENERGY,0,0,0,1,4,0.5,60,60,0,0,,200,250,20,300,SYSTEM,,,,,,,,,,,,,,,38
Agmad Pulse Laser,Xhan_Agmad,,,1200,600,,130,,0,20,0,5,1.8,,HIGH_EXPLOSIVE,110,,0.05,0.05,1,,7,20,5,10,,3000,,,,SYSTEM,energy13,,Prime Divination,,General,,,,,,,,,,8.019
Ertshan Missile Pods,Xhan_Ertshan,,,5000,900,,180,200,5,25,0,24,0.5,12,ENERGY,20,,0,2,12,0.1,0,0,0,0,,500,500,3.5,100,"SYSTEM, DO_NOT_AIM, DO_NOT_CONSERVE","utility18, missile15,",,Prime Divination,,General,Fast,Excellent,,,,,,,,8.017
Uogek Unstable Energy Toroid Discharger,Xhan_Uogek,0,,6000,600,,3000,2000,75,10,0,,,,ENERGY,2300,,0.6,4.5,1,,0,0,0,10,,420,420,3,40000,SYSTEM,energy13,,Prime Divination,,General,Fast,None,,,,,,,TRUE,8.003
Bio-Chemical Flare,Xhan_ChemFlare_Launcher,,,,350,,10,100,,,,,0,,ENERGY,0,0,0,0.1,2,0.25,60,60,0,0,,150,300,3,60,SYSTEM,,,Alvarium Doctrine,,,,,,,,,,,,36
Szar Point Defense Laser,XHAN_Szar_Point_Defense,0,,600,500,90,,,0,360,4,,,,ENERGY,,40,0,0.25,,,,,,,3000,,,,,"PD, ANTI_FTR, SYSTEM","pd9, beam6",,Prime Divination,,Point Defense,,,,,,,,,,15.6
Electron Rod,Xhan_ShockTail,0,,,360,,50,350,0,360,0,12,2,12,ENERGY,25,,0,0.16,1,,,,,,,10000,,,,"PD, ANTI_FTR, SYSTEM",25,,High Tech,,Unknown,,Point Defense,,,,Perfect,Fires an EMP arc at the nearest target close to the weapon's current facing. The arc always hits.,,,
Eye Of Myria,Xhan_MyriaEye,0,,,650,,200,350,0,660,0,25,3.5,25,ENERGY,150,,0,0.13,1,,,,,,,10000,,,,"PD, ANTI_FTR, SYSTEM",25,,Transcendent Divination,,Unknown,,Point Defense,,,,Perfect,Fires an EMP arc at the nearest target close to the weapon's current facing. The arc always hits.,,,
Gromm Artillery Battery,Xhan_Gromm,0,,3000,1400,,1350,,400,16,16,,,,HIGH_EXPLOSIVE,1350,,0,6,2,0.7,1,8,3,10,,1000,,,9000,"SYSTEM, NO_TURN_RATE_BOOST_WHEN_IDLE",he18,,Xhan Tech,,Anti Armor,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pharrek Pulse Core,Xhan_Pharrekcore,,,3500,320,,300,0,40,80,0,,,,ENERGY,200,,0.4,2,1,,,,,,,600,,,100,"SYSTEM, PD",energy20,,Prime Divination,,Point Defense,,,,,,,,,,8.018
Pharrek Frag gun,Xhan_pharrek_fraggun,,,1800,300,,50,,1,70,12,,,,FRAGMENTATION,4,,0,0.02,1,,0,10,2,10,,600,,,8,SYSTEM,,,Prime Divination,,Point Defense,,,,,,,,,,8.020
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nous Field Discharge,Xhan_PsyBlast,,,3500,800,,500,2000,40,80,0,,,,ENERGY,1000,,8,75,1,,,,,,,600,,,100,"SYSTEM, DO_NOT_AIM, DO_NOT_CONSERVE",energy20,,Transcendent Divination,,Unknown,,,,,,,,,,8.018
PsyDischarge,Xhan_PsyDischarge_gun,,,1200,1100,,500,2000,1,70,12,,,,ENERGY,4,,0,0.02,1,,0,10,2,10,,200,400,14.5,1000,SYSTEM,,,Transcendent Divination,,Point Defense,,,,,,,,,,8.020
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stolb Demoliton Charge Launcher,Stolb_Demo_charge,3,0.5,6000,800,,900,,75,10,26,,,,HIGH_EXPLOSIVE,700,,0,6,3,0.5,0,15,10,6,,360,260,3,1200,,"he18, rare_bp",,Xhan Tech,,Area Denial,Fast,None,,,,,,,TRUE,8.003
Gorel Plasma Projector,Gorel_Plas_Proj,3,0.5,7500,700,,1300,200,,20,30,,,,ENERGY,1300,,0.3,2.2,1,,,,,,,500,,0,4000,"STRIKE, USE_VS_FRIGATES","energy20, rare_bp",,Xhan Tech,,General,,,,,,,,,,8.004
Zakrep Proximity Burst Autocannon,Zakrep_Prox_Burst,2,0.5,3500,900,,240,,10,25,20,,,,HIGH_EXPLOSIVE,250,,0,1.2,2,0.3,0,5,5,6,,950,,,400,,"he18, XhanWartech_bp",,Xhan Tech,,Anti Armor,,,,,,,,,,8.005
Hezek Shredder Battery,Xhan_Hezek,2,0.6,3000,600,,180,,5,30,18,,,,FRAGMENTATION,55,,0,0.08,1,,1,10,2,10,,3000,,,50,,"he18, XhanWartech_bp",,Xhan Tech,,General,,,,,Shells have an explosive warhead that deals an additional %s damage on impact,20 HE,,,,8.015
Syr Plasma Missile Launcher,Xhan_Syr,2,0.5,5000,1600,,100,,5,25,22,400,,,ENERGY,0,,0,5,25,0.12,0,0,0,0,,750,100,4,60,"DO_NOT_AIM, DO_NOT_CONSERVE","utility18, missile15, rare_bp",,Xhan Tech,,General,Fast,Excellent,,,,,,,,8.016
Shtral Chemical Pulse Laser,Xhan_Shtral,0,0.5,4000,1000,,350,,40,10,25,6,0.5,3,ENERGY,600,,0.3,0.4,3,0.4,,,,,,4000,,0,4000,"STRIKE, USE_VS_FRIGATES","energy20, rare_bp",,Xhan Tech,,General,,,,,Chemical laser charges deal an additional %s damage on impact,100 HE,,,,24
Bloz Missile Heavy Autoloader,Xhan_Bloz_large,2,0.5,5200,1400,,1000,,40,10,22,90,,,FRAGMENTATION,0,,0,0.8,1,0.12,0,0,0,0,,320,180,8,350,"DO_NOT_AIM, DO_NOT_CONSERVE","missile13, missile15, XhanDemolitions_bp",,Xhan Tech,,Anti Hull Missile,Fast,Good,,,,,,,TRUE,9.75
Tsebrek Heavy Kinetic Autocannon,Xhan_Tsebrek,2,0.5,3000,900,,425,,20,10,20,,,,KINETIC,525,,0,1.4,1,,0,6,2,10,,800,,,525,,"kinetic18, XhanWartech_bp",,Xhan Tech,,Anti Shield,,,,,Shells have a high explosive warhead that deals an additional %s damage on impact,90 HE,,,,7.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steizok Autogun,Steizok_Autogun,2,0.75,2000,900,,90,,5,35,12,,,,HIGH_EXPLOSIVE,95,,0,0.8,3,0.15,0,4,2,5,,900,,,30,,"he16, LR, XhanDemolitions_bp",,Xhan Tech,,Anti Armor,,,,,,,,,,8.006
Igol Saturation Point Defense,Igol_point_def,1,0.75,1500,500,,22,,1,70,12,,,,FRAGMENTATION,4,,0,0.02,1,,0,10,2,10,,1100,,,8,PD,"pd15, SR, XhanDemolitions_bp",,Xhan Tech,,Point Defense,,,,,,,,,,8.007
Ugol Plasma Spitter,Ugol_Plas_Spit,2,0.75,1200,700,,70,,0,20,10,,,,ENERGY,70,,0.2,0.7,5,0.08,0,6,2,10,,750,,,,,"energy13, XhanWartech_bp",,Xhan Tech,,General,,,,,Plastoid shards deal an additional %s damage on impact,5 HE,,,,8.008
Sharik Heavy Demolition Torpedo,Sharik_Demo_Torp,3,0.2,4000,900,,8000,,200,10,10,2,,,HIGH_EXPLOSIVE,0,,0,28,1,,0,0,0,0,,160,50,6,1100,"DO_NOT_AIM, STRIKE","strike8, rocket3, rare_bp",,Xhan Tech,,Finisher,Fast,None,,,,,,,TRUE,8.009
Yazer Neutron Destabilizer,Xhan_Yazer,3,0.2,4000,550,1800,,,0,18,15,10,,,ENERGY,,1350,0.05,0.5,2.2,15,,,,,3200,,,,,"USE_VS_FRIGATES, GROUP_ALTERNATING","energy14, beam10, rare_bp",,Xhan Tech,,Strike,,,,,,,,,,8.012
Shtir Twinlinked Autocannon,Xhan_Shtir_Twinlink,2,0.5,2300,1000,,45,,6,35,14,,,,KINETIC,42,,0,1,8,0.15,0,7,4,8,,850,,,50,,"kinetic8, LR, XhanWartech_bp",,Xhan Tech,,Anti Shield,,,,,,,,,,8.011
Bloz Missile Rack,Xhan_Bloz_medium,2,0.75,1200,1400,,1000,,40,10,10,24,,,FRAGMENTATION,0,,0,5,3,0.18,0,0,0,0,,320,150,7,350,DO_NOT_AIM,"missile13, strike9, XhanDemolitions_bp",,Xhan Tech,,Anti Hull Missile,Fast,Good,,,,,,,TRUE,9.75
Zarukel Omni-Weapon,Xhan_Zarukel,3,0.2,4000,700,,107,100,0,40,15,,,,ENERGY,107,,0.15,0.3,1,,0,6,2,10,,950,,,,"PD, PD_ALSO","energy13, rare_bp",,Prime Divination,,Omni-Weapon,,,,,,,,,,8.008
Luzna Incapacitator Missile,Xhan_Luzna,3,0.2,3200,2000,,650,2500,15,10,14,,,,ENERGY,0,,0,25,1,,0,0,0,,,450,50,18,400,"DO_NOT_AIM, HEATSEEKER","utility13, XhanWartech_bp",,Xhan Tech,,Anti Engine,Fast,Excellent,,,,,,,TRUE,12.2
