name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
#MODULAR,,,,,,,,,,,,,,,,,,
Converted Missile Holds,ordnance_amendment7s,1,,Brand-New,"offensive, merc, standard, no_build_in, persean, ind",Weapons,10000,,,,5,15,30,60,data.hullmods.Ordnance_Amendment7s,,,graphics/hullmods/ordnance_amendment7s.png
Safety Protocols,safety_protocols7s,0,,Brand-New,"special, merc, standard, no_build_in, persean, ind",Special,6000,TRUE,,,10,20,30,40,data.hullmods.SafetyProtocols7s,,,graphics/hullmods/safety_protocols7s.png
Quantum Damper,quantum_damper7s,2,,Brand-New,"defensive, special, standard, persean, ind, hegemony, luddic_church",Defensive,8000,,,,2,4,6,8,data.hullmods.Quantum_damper7s,,,graphics/hullmods/quantum_damper7s.png
Repulse-Field,force_field7s,2,,Brand-New,"defensive, special, standard, persean, ind, hegemony, luddic_church, no_build_in",Defensive,12000,,,,4,12,25,40,data.hullmods.Force_field7s,,,graphics/hullmods/Force_field7s.png
Guerrilla Overhaul,guerrilla_overhaul7s,1,,Brand-New,"defensive, special, standard, persean, ind, hegemony, luddic_church, no_build_in",Special,7000,,,,2,4,6,8,data.hullmods.Guerrilla_Overhaul7s,,,graphics/hullmods/guerrilla_overhaul7s.png
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Robust Flux Reactor,defensemode7s,,,,"no_build_in, tritachyon",,,,TRUE,,0,0,0,0,data.hullmods.Defensemode7s,,,graphics/hullmods/defensemode7s.png
Extra Propulsion Systems,attackmode7s,,,,"no_build_in, tritachyon",,,,TRUE,,0,0,0,0,data.hullmods.Attackmode7s,,,graphics/hullmods/attackmode7s.png
Prototype Core,chasemode7s,,,,"no_build_in, tritachyon",,,,TRUE,,0,0,0,0,data.hullmods.Chasemode7s,,,graphics/hullmods/chasemode7s.png
,,,,,,,,,,,,,,,,,,
Ballistic Adapters,ballistic_support7s,,,Brand-New,no_build_in,,,,TRUE,,9999,9999,9999,9999,data.hullmods.Ballistic_Support7s,,,graphics/hullmods/ballistic_support7s.png
Elite Configuration,elite_package7s,,,Brand-New,no_build_in,,,,TRUE,,9999,9999,9999,9999,data.hullmods.Elite_Package7s,,,graphics/hullmods/distributed_fire_control.png
,,,,,,,,,,,,,,,,,,
#HIGH_TECH IN GENERAL,,,,,,,,,,,,,,,,,,
Shield Shenanigans HT,highshield7s,,,,no_build_in,,,,TRUE,TRUE,9999,9999,9999,9999,data.hullmods.secondhightech7s,,,
,,,,,,,,,,,,,,,,,,
#MAYAWATI,,,,,,,,,,,,,,,,,,
TIMEOUT MAYA,aclone_timeout7s,,,,no_build_in,,,,TRUE,TRUE,0,0,0,0,data.hullmods.clone_timeout7s,,,
FORCE ACTIVATION,active7s,,,,no_build_in,,,,TRUE,TRUE,0,0,0,0,data.hullmods.Alwayson7s,,,
ORB TRAITS,orbtraits7s,,,,no_build_in,,,,TRUE,TRUE,0,0,0,0,data.hullmods.Orbtraits7s,,,
ORB TRAITS 2,orbtraits7s_2,,,,no_build_in,,,,TRUE,TRUE,0,0,0,0,data.hullmods.Orbtraits7s_second_trigger,,,
Illusia Resonance,resonance7s,,,,no_build_in,,,,TRUE,,0,0,0,0,data.hullmods.MayawatiResonance7s,,,graphics/hullmods/mayawati_resonance7s.png
Breakpoint Frame,breakpoint7s,,,,no_build_in,,,,TRUE,,0,0,0,0,data.hullmods.BreakpointFrame7s,,,graphics/hullmods/hull_synergy7s.png
