name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,noVent,isPhaseCloak,tags,icon
Intercept Burn,interceptburn7s,1,,,,,,,,0.1,0.5,1,0.5,,TRUE,,,,,TRUE,TRUE,TRUE,TRUE,,,,graphics/shipsystems/interceptburn.png
Damper Venting,damper7s,,,-0.08,,,,,2,0.09,0.5,5,,,,,,,,,,,,TRUE,,,graphics/icons/hullsys/damper_field.png
Reverted Skimmer,displacer7s,,,,,,0.2,,,,,,0.1,1,,TRUE,,,,,,,,TRUE,,,graphics/icons/hullsys/displacer.png
Fortress Shield,fortressshield7s,,,0.025,,,,,,,1.5,,1.5,0,TRUE,,,TRUE,TRUE,,,,,,,restricted,graphics/icons/hullsys/fortress_shield.png
Flux Drive,fluxdrive7s,,,,,,,,,,0.5,7,0.5,12,,,,,,,,,TRUE,,,uses_damper_ai,graphics/icons/hullsys/damper_field.png
Illusia Dive,illusiaskimmer7s,,,,,,,,4,0.125,0.15,,0.15,0,,TRUE,,,,,,,,,,restricted,graphics/icons/hullsys/displacer.png
Illusia Dive (orb),illusiaskimmer7s_orb,,,,,,,,3,0.085,0.3,,0.3,0,,TRUE,,,,,,,,,,restricted,graphics/icons/hullsys/displacer.png
Orb Spawner,orbspawn7s,,,,,,,,1,0.2,0,,0,0,,,,,,,,,,,,restricted,graphics/icons/hullsys/drone_pd_high.png
Orb Spawner 2,orbspawn7s_2,,,,,,,,1,0.2,0,,0,0,,,,,,,,,,,,restricted,graphics/icons/hullsys/drone_pd_high.png
Clone Smoking,Clonesmoking7s,,,0.05,,,,,,,0.5,99999,0.5,1.5,,,TRUE,TRUE,TRUE,,,,TRUE,,,,
Breakpoint Field,paradox7s,0,,,,,,,4,0.15,0.15,1,0.15,0,TRUE,,,,,,,,,,,"restricted, uses_damper_ai",graphics/icons/hullsys/damper_field.png
Fake jets,fakemaneuvjets7s,,,,,,,,,,0.8,99999,0.1,,,,,,,,,,,,,restricted,
Illusia Cloak,illusiacloak7s,,,,,,,,,,0.5,,0.5,2,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,restricted,graphics/icons/hullsys/phase_cloak.png
Tempestas Vanish,tempestas_cloak7s,,,0.005,,,0.025,,,,2.5,22,3,8,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,,,restricted,graphics/icons/hullsys/phase_cloak.png
Entropy Damper,entropy_damper7s,1,,0.0125,,,0.02,,4,0.075,0.25,3,0.25,,TRUE,,,,,,,,TRUE,TRUE,,"uses_damper_ai, restricted",graphics/icons/hullsys/damper_field.png
Phase Attractor,phase_attractor7s,,,,,,0.2,,,,0.5,10,1,10,,,,,,,,,,,,restricted,graphics/icons/hullsys/entropy_amplifier.png
Entropy Miasma,entropy_field7s,1,,,,,,,3,0.08,0.55,4.45,0.25,0.25,TRUE,,,,,,,,,,,,graphics/icons/hullsys/damper_field.png
Hypercharge,hypercharge7s,1,,,,,,,,,3,4,1,6,TRUE,,,,,,,TRUE,,,,,graphics/icons/hullsys/burn_drive.png
"#uses_damper_ai, ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,uses_damper_ai,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
