name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Entropic Autoloader,Arx_Mod_EntropicAutoloader,,,Entropic,,Special,0,TRUE,,,9999,9999,9999,9999,data.hullmods.Arx_Mod_EntropicAutoloader,"Every 60s, reloads missile systems with depletable missile ammo",Reloads missiles,,graphics/hullmods/Arx_Mod_EntropicAutoloader.png
Entropic Engineering,Arx_Mod_EntropicEngineering,,,Entropic,,Special,0,TRUE,,,9999,9999,9999,9999,data.hullmods.Arx_Mod_EntropicEngineering,Increases ship stats,Increases ship stats,,graphics/hullmods/Arx_Mod_EntropicEngineering.png
Entropic Engines,Arx_Mod_EntropicEngines,,,Entropic,,Special,0,TRUE,,,9999,9999,9999,9999,data.hullmods.Arx_Mod_EntropicEngines,Increases ship stats,Increases ship stats,,graphics/hullmods/Arx_Mod_EntropicEngines.png
Entropic Integration,Arx_Mod_EntropicIntegration,,,Entropic,,Special,0,TRUE,,,9999,9999,9999,9999,data.hullmods.Arx_Mod_EntropicIntegration,Increases ship stats,Increases ship stats,,graphics/hullmods/Arx_Mod_EntropicIntegration.png
Entropic Logistics AI,Arx_Mod_EntropicLogisticsAI,,,Entropic,,Special,0,TRUE,,,9999,9999,9999,9999,data.hullmods.Arx_Mod_EntropicLogisticsAI,Increases ship stats,Increases ship stats,,graphics/hullmods/Arx_Mod_EntropicLogisticsAI.png
Entropic Mothership Protocol,Arx_Mod_EntropicMothershipProtocol,,,Entropic,,Special,0,TRUE,,,9999,9999,9999,9999,data.hullmods.Arx_Mod_EntropicMothershipProtocol,Increases ship stats,Increases ship stats,,graphics/hullmods/Arx_Mod_EntropicMothershipProtocol.png
Entropic Weapon Systems,Arx_Mod_EntropicWeaponSystem,,,Entropic,,Special,0,TRUE,,,9999,9999,9999,9999,data.hullmods.Arx_Mod_EntropicWeaponSystem,Increases ship stats,Increases ship stats,,graphics/hullmods/Arx_Mod_EntropicWeaponSystem.png
Ragnorak Core,Arx_Mod_RagnorakCore,,,Entropic,,Special,0,TRUE,,,9999,9999,9999,9999,data.hullmods.Arx_Mod_RagnorakCore,A mysterious entropic core of unknown orgins that seems to change the ship in mysterious ways.,Increases ship stats,,graphics/hullmods/Arx_Mod_RagnorakCore.png
Warden Core,Arx_Mod_WardenCore,,,Entropic,,Special,0,TRUE,,,9999,9999,9999,9999,data.hullmods.Arx_Mod_WardenCore,The standard entropic core of the Astramyran Silver Standard Fleet.,Increases ship stats,,graphics/hullmods/Arx_Mod_WardenCore.png
Kraken Core,Arx_Mod_KrakenCore,,,Entropic,,Special,0,TRUE,,,9999,9999,9999,9999,data.hullmods.Arx_Mod_KrakenCore,The standard entropic core of the Astramyran Golden Imperial Fleet.,Increases ship stats,,graphics/hullmods/Arx_Mod_KrakenCore.png
