name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,traveldrive,number,,,,,,,,,
#FRIGATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homestead,DEX_pasture,Tender Drone,Explorarium,flarelauncher_active,5,2200,200,750,1250,100,20,1,70,120,70,90,180,200,NONE,,0,0,0,,,0,0,80,40,1,40,9,10000,5,20,720,0.15,3,3,"CIVILIAN, CARRIER, UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec",,0.5,2,2,,216,,,,,,,,,
Barrier,DEX_barrier,Drone,Explorarium,damper,3,6000,550,100,,50,20,,35,30,20,25,15,2100,NONE,,0,0,0,,,0,0,10,10,2,20,8,20000,"5
",5,720,0.15,1,5,"UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec",,0.5,2,3,,2001,,,,,,,,,
Battalier,DEX_battalier,Drone,Explorarium,damper,4,4000,500,1000,,100,40,,35,30,20,25,15,2100,NONE,,0,0,0,,,0,0,50,20,2,20,8,20000,"5
",5,720,0.15,4,5,"UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec",0.7,0.5,2,3,,2001,,,,,,,,,
Wartry,DEX_wartry,Drone,Explorarium,ammofeed,2,1500,250,750,1250,100,30,,130,400,300,90,180,150,NONE,,0,0,0,,,0,0,20,20,1,20,9,10000,5,5,720,0.15,3,3,"COMBAT, UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec",0.7,0.5,2,2,,225,,,,,,,,,
Bailbond,DEX_bailbond,Drone,Explorarium,fastmissileracks,5,3250,250,750,1250,100,55,,120,100,90,90,120,150,NONE,,0,0,0,,,0,0,,40,1,40,9,12000,5,5,720,0.15,6,3,"COMBAT, UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec",0.7,0.5,2,3,,2001,,,,,,,,,
Bailey,DEX_bailey,Drone,Explorarium,fastmissileracks,4,2750,250,750,1250,100,30,,120,100,90,90,120,150,NONE,,0,0,0,,,0,0,80,40,1,40,9,12000,5,5,720,0.15,5,3,"COMBAT, UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec",,0.5,2,3,,2001,,,,,,,,,
Pallisade,DEX_pallisade,Drone,Explorarium,maneuveringjets,3,2250,300,750,1250,250,30,,130,150,120,120,120,150,NONE,,0,0,0,,,0,0,50,40,1,40,9,10000,5,3,720,0.15,3,3,"COMBAT, UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec",,0.5,2,3,,2001,,,,,,,,,
Gangway,DEX_gangway,Dropship Drone,Explorarium,damper,3,2550,300,750,1250,100,34,,100,100,90,90,120,150,NONE,,0,0,0,,,0,50,80,40,1,40,9,10000,5,20,720,0.15,3,3,"COMBAT, UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec",,0.5,2,3,,2001,,,,,,,,,
Catapult,DEX_catapult,Drone,Explorarium,lidararray,4,2250,200,3000,1250,450,30,0,120,100,90,90,120,150,NONE,,0,0,0,,,0,0,20,20,1,20,9,10000,3,3,720,0.15,4,2,"COMBAT, UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec",,0.5,2,2,,,,,,,,,,,
Fullasade,DEX_fullisade,Drone,Explorarium,maneuveringjets,6,4500,600,1500,1250,500,60,,80,75,60,60,60,300,NONE,,0,0,0,,,0,0,80,80,2,20,8,20000,8,5,720,0.15,5,4,"COMBAT, UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec",0.7,0.5,2,3,,2001,,,,,,,,,
#DESTROYERS,,,,,,,,,,,,,,,,,,,,,,,,,,,
