id,type,text1,text2,text3,notes
DEX_barrier,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'.

If a Barrier drone even counts as an independent ship is questionable. Little more than a slab of thick armor with manuvering thrusters and paltry point defence, this simplistic escort bears more in common with staiton defence drones than with most actual ships. Still, since it is little more than a flying slab of armor, the drone is exceedingly durable, and its' propensity to act as a 'human' shield for larger Explorarium drones can make it a profoundly aggrivating escort vessel.",,,
DEX_blockade,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'.

In principle an upscaled Barrier designed with the exact same function in mind, the Blockade makes significantly better use of its' upscaling than most similar Explorarium designs. Fitting several actual weapons, as well as even more heavy armor than its' diminutive counterpart, the intended combat role of the Blockade remains functionally identical. Which is to say, it attempts to fly directly into enemy guns with a suicidal abbadon that makes the Berserker look restrained. Cannonfodder, throguh and through.",,,
DEX_larder,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'.

The unmodified original-spec Larder drone differs little from its' civilianized counterpart. Other than the pointless addition of a bridge, all that really changes is the exact details of its' carrying capacity and logistical footprint. That said, as the exact shape of that footprint is what brought this little drone into the public eye in the first place, perhaps it is worth considering after all.",,,
DEX_pasture,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'.

The Homestead's data file suggests that it is a distant grand-uncle of the modern Shepard, the result of the Ko Combine being contracted to produce a lightweight drone control hub for the Domain Explorarium in the program's heyday. Evidently, the need to design a self-sufficient platform capable of functioning on the far side of the Orion-Perseus void without support played a significant part in the development of the base platform underpinning the modern Shepard. In modern times, scavenged schematics for the drone, despite being nominally illegal, seem to consistently find their way into the hands of independent groups, as the idea of a completely automated and even cheaper to operate Shepard is a very enticing prospect to any pirate or scavenger with a willingness to skirt Hegemony law.",,,
DEX_bailey,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'.

The Bailey began life as an up-gunned Pallisade developed by Tachyon Industries, the ancient precursor to the Tri-Tachyon corporation we know today. As befitting of a product designed by the people who went on many centures later to develop machines like the Terminator Drone, the Bailey is one of the nastier low-level wardrones in the Explorarium database. Initially engineered as a support ship, the impressive broadside missile-launch capability the Bailey brings to the table, when combined with its' inherited agility and flexible main armiment, means that these drones were frequently repurposed as devastating barrage frigates even in AI hands, with learning algorithims discovering that filling the ship's missile mounts with high-yield torpedos had the potential for inflicting major casualties in a cost-efficient manner after an event around c-702 where a group of rebels attempting to attack an Explorarium resource operation were wiped out to a man by a single Bailey outfitted for mining duty with a plethora of Hammer torpedos.

While it lacks the infuriating agility and speed of the Pallisade, the Bailey is among the most heavily armed of Explorarium frigates, and its' variable missile compliment makes it something to be underestimated at the spacer's own peril.",,,
DEX_gangway,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'.

Effectively an oversized automated dropship, this drone is effectively a more tactically flexible and reusible version of the Siege Tower troop lander drone, and as such while it cannot actually support non-machine units, is nonetheless useful in ground support roles.",,,
DEX_pallisade,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'.

A thrusting spear to the hammer of the Warden, the Pallisade Hunter-Killer drone brings a smilar heavy armiment to bear, but in a significantly more aggressive manner. Effectively little more than an oversized engine modue with a ballistic turret mount, the Pallisade boasts a ludicrious top speed that allows it to easily chase down and slaughter unshielded smallcraft with a powerful and flexible rotary cannon. What the design lacks in durability, it makes up for in sheer efficiency and raw attack power.

All of this put together has resulted in the Pallisade becoming one of the Explorarium designs that remains the most relevant in modern times, proving that sometimes the best solution really is the simpliest one.",,,
DEX_marche,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'.

A suprise addition to an Explorarium contract bidding at the last moment by a previously unheard of company, this oddly squat little mass of heavy firepower remains as said corporation's only significant contribution to the world of warship design. This has resulted in the strange little drone finding a place in the hangars of many ship collectors over the centuries, despite being far from worth the price tag they are often sold for.",,,
DEX_condrone,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'.

An Explorarium Construction Drone is about as humble as it is possible to get. These vessels actually come in several makes with mild differences between them. The Mbkae-Gogel varient sports an abnormally capable AI core that skirts the line between Gamma and Beta-class (though by modern classifications it is more akin to a Delta-class) for example, while the Ko Combine varient (the most commonly seen one) features a small fabrication bay capable of deploying subdrones. However, the general principle remains unchanged, a Construction Drone is a large space multipurpose space utility vehicle armed with a variety of high-lift manipulators and assembly tools that is used as something of a space-based Mobile Construction Vehicle by the Explorarium, 'unpacking' into a central assembly spire that can rapidly build out sub-facilities to assist in the construction of whatever infrastructure project it has been tasked with.

Alternatively, the highly-automated general-purpose toolset can be used for destructive purposes instead, breaking down hull and armor alike with an endless array of cutting torches and assembly arms. However, the relative fragility of the drone ensures that it can only do such things with salvage material that can no longer shoot back. Similar to manned Construction Rigs, the Construction Drone is frequently hacked and used as a salvage rig by enterprising spacers willing to skirt AI law.",,,
DEX_haunt,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'.

It was often wondered what, exactly, the phase coil the Gremlin test rig was prototyping was ultimately planned for. The answer, evidently, was the Haunt Drone. Seemingly the Domain's early solution to the trouble of psychological aftereffects with phase coils was to simply automate the craft using them. No crewmen, no psychotic breaks. What they did not anticipate was that computers are just as disinclined to Phase Space as living beings. AI 'pilots' in these drones would often develop erratic behaviors and actively attempt to avoid using their coils wherever possible, developing the original phase 'skim' technique as a means of spending as little time with the coil active as possible, something that only doomed more of their kind to be sent to the same fate as this massively increased the Haunt's tactical mobility above its' already high-mark performance.

Even in modern times, Haunt drones are almost never directly controlled by an actual Explorarium AI Core, and even the simplistic onboard computers still behave erratically when ordered to activate the drone's phase coil.",,,
