id,trigger,conditions,script,text,options,notes
# DPL fleet greeting lines,,,,,,
dpl_greetingFriendly,OpenCommLink,"$faction.id == dpl_phase_lab
$faction.friendlyToPlayer
","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Acknowledging receipt of AIS code. Good to see you, $playerName. Burn bright, and may we make our lives better in this sector.""
OR
""Identity acknowledged. We welcome your assistance in our efforts to make this sector a better place. May we make our lives better in this sector!""
OR
""Greetings from the Phase Lab! I'm so happy to see amazing spacers like you around here! Burn bright, $playerName.""
OR
""Comms received, status friendly. Greetings from the Phase Lab navy, we are currently occupied by an important mission, so we can't chat with you. But we wish you all the best. Burn Bright $playerName!""
",,
dpl_greetingHostileWeaker,OpenCommLink,"$faction.id == dpl_phase_lab
$entity.isHostile
$entity.relativeStrength < 0
",$entity.ignorePlayerCommRequests = true 1,"""Hostile $shipOrFleet, stop your hostile actions immediately! Your fancy ships and guns will not scare us. As soldiers of the Phase Lab navy, my crews and I already swore to fight with our lives for our duty!""
OR
""We are from the Phase Lab, and hereby obeys domain navy doctrines! By the Domain Navy Articles of War, we shall engage the enemy forces and fight courageously!""
OR
""Do you think destroying us will bring everything to an end? It's merely just the beginning! We are prepared to fight to the end of our lives, and we hope you are prepared to face the consequences of your actions as well.""
",cutCommLink:Cut the comm link,
dpl_greetingHostileWeakerDefiant,OpenCommLink,"$faction.id == dpl_phase_lab
$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding
",$entity.ignorePlayerCommRequests = true 1,"The Phase Lab $personRank looks grim but defiant. ""We will fight you to the last,"" $heOrShe says.
OR
""We fight and we die for the lives of the civilians, and for humanity!"" The comm-line cuts out.
OR
""We are fighting to protect the lives of civilians, what are you fighting for?"" The Phase Lab $personRank stares at you, then cuts the comm link.
",cutCommLink:Cut the comm link,
dpl_greetingHostileStronger,OpenCommLink,"$faction.id == dpl_phase_lab
$entity.isHostile
$entity.relativeStrength >= 0
",$entity.ignorePlayerCommRequests = true 1,"""Resistance to domain navy regulations is an act of insurrection and shall be punished accordingly. Surrender now or be met with force.""
OR
""Hostile $shipOrFleet, we appreciate you for giving us a chance to earn our glories through fighting for humanity. We hope you would fight to the very last like a naval officer would do."" The comm-line cuts out.
OR
""As a domain navy officer serving in the Phase Lab, I truly respect your courage. And I hope you could've chosen to protect the civilians, not to harm them.""
",cutCommLink:Cut the comm link,
dpl_greetingNeutral,OpenCommLink,"$faction.id == dpl_phase_lab
$faction.neutralToPlayer
","$menuState = fleetConvMain 0
FireAll PopulateOptions","""You have been scanned and identified, spacer. Greetings from the Phase Lab! Please comply with local legal rules, enjoy your trip, and Burn Bright!""
OR
""Are you from the core worlds? I'm serving in the Phase Lab, and I never got chance to visit those amazing planets. I heard that Volturn is a great place to produce lobsters, and I have to visit there one day, maybe after I retire. Burn Bright!""
OR
""Are you from the core worlds? That's so cool! I heard Gilead is like the pearl of the sector, and I really hope to live there! Maybe after I retire. Burn Bright!""
OR
The Phase Lab $personRank looks at you with surprise: ""Wow, a spacer from the core worlds! Nice to see you, do you like our innovative ships and weapons? You may buy some at Research Site V! As we lost connection with the domain navy, the Phase Lab decided to put some mature designs on market to raise research fundings. We have to go, see you in the space, and Burn Bright!""
",,
,,,,,,
# relationship level descriptions,,,,,,
dpl_relLevelCooperative,RelationshipLevelDesc,"$faction.rel == COOPERATIVE
$faction.id == dpl_phase_lab",FireAll RelLevelMoreDescription,"You are completely trusted and valued by the Phase Lab, green-lit by patrols and port authorities alike, and have considerable access to high-level officials. You are given much leeway, and may receive trade concessions and access to high-quality domain navy grade ships and munitions.",,
dpl_relLevelFriendly,RelationshipLevelDesc,"$faction.rel == FRIENDLY
$faction.id == dpl_phase_lab",FireAll RelLevelMoreDescription,"You are considered a member of the Phase Lab. The naval officers admire your deep understandings in the art of command, and the civilians believe that you are a legend in the sector, like Orcus Rao commanding ISS Black Star. Some of the senior researchers even believe that you may be eligible to view some classified research documents as you can be helpful to those projects. ",,
dpl_relLevelWelcoming,RelationshipLevelDesc,"$faction.rel == WELCOMING
$faction.id == dpl_phase_lab",FireAll RelLevelMoreDescription,"Your name is known to some high-level Phase Lab officials, and many Phase Lab spacers heard your story. You are welcomed to visit the military grade products of the Phase Lab, and you are free from some more tedious inspections.",,
dpl_relLevelFavorable,RelationshipLevelDesc,"$faction.rel == FAVORABLE
$faction.id == dpl_phase_lab",FireAll RelLevelMoreDescription,"The Phase Lab notices you as an outstanding person that could be helpful in protecting civilians, and their limited trust at least means  that you are free from some annoying and unnessary investigations.",,
dpl_relLevelNeutral,RelationshipLevelDesc,"$faction.rel == NEUTRAL
$faction.id == dpl_phase_lab",FireAll RelLevelMoreDescription,"The Phase Lab welcomes you as a core worlds visiter. And the Phase Lab people are excited to hear stories of the persean sector from you. You understand that most of them are cryosleepers or descendants of the cryosleepers that just arrived in the sector two decades ago, but their level of curiosity still surprise you.",,
dpl_relLevelSuspicious,RelationshipLevelDesc,"$faction.rel == SUSPICIOUS
$faction.id == dpl_phase_lab",FireAll RelLevelMoreDescription,"The Phase Lab finds your actions suspicious, but the level of suspicion is not enough for the Phase Lab officials to believe that it is fair to cancel your right of docking. You may still visit the Phase Lab stations and trade, but you have to prove that you are not against the Phase Lab's mission to protect civilians to win their trust back.",,
dpl_relLevelInhospitable,RelationshipLevelDesc,"$faction.rel == INHOSPITABLE
$faction.id == dpl_phase_lab",FireAll RelLevelMoreDescription,"You are not welcomed in the Phase Lab regulated space. The Phase Lab wants you to stay away from their planets, stations, and warships, to prevent you from causing unnessary casualties to the Phase Lab.",,
dpl_relLevelHostile,RelationshipLevelDesc,"$faction.rel == HOSTILE
$faction.id == dpl_phase_lab",FireAll RelLevelMoreDescription,"The Phase Lab believes that you are a danger to the lives of civilians in the persean sector, and you are considered the enemy against the Phase Lab. According to the Domain Navy Articles of War, all the Phase Lab warships shall engage you courageously whenever they see you, or their crews will face severe military criminal charges.",,
dpl_relLevelVengeful,RelationshipLevelDesc,"$faction.rel == VENGEFUL
$faction.id == dpl_phase_lab",FireAll RelLevelMoreDescription,"The Phase Lab believes that you are one of the greatest dangers to the lives of civilians in the persean sector, and now destroying you is one of the targets of highest importance to the Phase Lab Navy. Soon there will be a high-ranking Phase Lab naval officer leading a task force to hunt you down.",,
dpl_relLevelPhaseLabAgents,RelLevelMoreDescription,"$global.dpl_bidw_Completed
$global.dpl_jasp_Completed
$global.dpl_swts_Completed
$global.dpl_lmtd_Completed
$global.dpl_ptrs_Completed
$faction.id == dpl_phase_lab",,"You are a living legend to the Phase Lab. There are rumors that you are an ace agent working for Vice Admiral Lovelace, and people call this figure by the name ""Phantom of RSV"", where RSV stands for Research Site V.",,
dpl_relLevelChicomoztocHero,RelLevelMoreDescription,"$global.dpl_justice_Completed
$faction.id == hegemony",,You are a living hero in Hegemony. People know you as the legendary defender of Chicomoztoc and the officer who caught Nelson Bonaparte.,,
,,,,,,
# DPL commission,,,,,,
dpl_CMSNTextRejectHostile,CMSNTextRejectHostile,$faction.id == dpl_phase_lab,,"""Is this some kind of joke? If you are who you say you are, you should surrender yourself and serve your sentences. The Phase Lab does not give commission to dangerous people who would harm civilians.""",,
dpl_CMSNTextHasOther,CMSNTextHasOther,$faction.id == dpl_phase_lab,,"""You're already commissioned by $theOtherCommissionFaction. We don't mind your help and we appreciate your interest in helping the Phase Lab. But are you sure they wouldn't be mad at you if you join us without even noticing them first?""",,
dpl_CMSNTextUnsuited,CMSNTextUnsuited,$faction.id == dpl_phase_lab,,"""We know too little about you, try to come back when you could prove your values to us through your good deeds. We wish you all the best!""",,
dpl_CMSNTextSuitedPart1,CMSNTextSuitedPart1,$faction.id == dpl_phase_lab,,"""Well, we've seen your efforts to help the civilians and your actions to help the Phase Lab, and hereby I declare that you are eligible for a Phase Lab Commission for now!

Accepting a commission with the Phase Lab is a serious matter, captain. As a large scale classified military research institute, we usually don't offer such commissions to anyone, and the domain navy will guard us with huge armadas from its battle groups like battle group XIV. But now is a special period, and we have to make special changes. By accepting such a commission, you have to obey the Domain Navy Articles of War under any circumstances. And above all, you will dedicate yourself to fighting to protect the civilians from the threats.

I must inform you that you have the right to resign your commission at any time, since you are not registered as a domain navy officer, and your commission is afterall, voluntary. Your service and your help during your commission will be remembered and appreciated. But all of the special accesses you gained using your identity during your commision will be canceled.",,
dpl_CMSNTextSuitedPart2,CMSNTextSuitedPart2,$faction.id == dpl_phase_lab,,"""By the special regulation rules of the Phase Lab of Domain of Man, I offer you commission as Auxiliary to the Phase Lab Navy, the special naval force from the Domain of Man Navy assigned to protect the personnels and properties of the Phase Lab of Domain of Man. Do you wish to sign on?""",,
dpl_CMSNTextWelcomePart1,CMSNTextWelcomePart1,$faction.id == dpl_phase_lab,,"""Excellent! Welcome to the service.""",,
dpl_CMSNTextWelcomePart2,CMSNTextWelcomePart2,$faction.id == dpl_phase_lab,,"""Is there anything else I can do for you, captain?""",,
dpl_CMSNTextChangeMind,CMSNTextChangeMind,$faction.id == dpl_phase_lab,,"""Noticed. The Phase Lab appreciates your interest in asking for a commission, and we understand that it is too heavy to carry the duty as required by the Domain Navy Article of War. We hope you all the best in your future!

Anything else I can do for you?""",,
dpl_CMSNResignAskToConfirm,CMSNResignAskToConfirm,$faction.id == dpl_phase_lab,,"""Noticed. The Phase Lab appreciates your service in the past, and let me address that your commission is voluntary, don't be afraid to terminate it if you are not comfortable of what we ask. But please also remember, it's not just a commission, it's the duty to protect the civilians, and to service the humanity. Now let me ask again, are you sure that you want to end your commission?""",,
dpl_CMSNResignConfirmed,CMSNResignConfirmed,$faction.id == dpl_phase_lab,,"""Good. I'm glad you made your decision, and you are one step closer to clarify what you really want. The Phase Lab remembers your service and your efforts. We truly wish you all the best in your future!""",,
dpl_CMSNResignCancelled,CMSNResignCancelled,$faction.id == dpl_phase_lab,,"""A good decision! We are glad that you end up deciding to stay with us, and to continue your service. Please let me know if there is anything else I may help with.""",,
,,,,,,
# Test Pilot,,,,,,
dpl_TestPilotIntro,PopulateOptions,"$id == dpl_research_site_v
$player.fcm_faction == dpl_phase_lab
$global.dpl_test_pilot
!$global.dpl_askedForSilence",,,dpl_ask_for_Silence: Check out the Phase Lab test pilot propaganda.,
dpl_TestPilotIntro1,DialogOptionSelected,$option == dpl_ask_for_Silence,,"As you are looking at the propaganda, a Phase Lab officer comes by and greets you. He asks you whether you are interested in becoming a test pilot for the latest prototype space ship.",dpl_ask_for_Silence1: Ask for more details.,
dpl_TestPilotIntro2,DialogOptionSelected,$option == dpl_ask_for_Silence1,,"As he explains the details, you find out that the Phase Lab is looking for new test pilots to fly a new experimental vessel. But only the best captains with extraordinary skills and courage could get accepted.",dpl_ask_for_Silence2: Tell the officer that you have passed the sim fight.,
dpl_TestPilotIntro3,DialogOptionSelected,$option == dpl_ask_for_Silence2,,"The officer looks very surprised: ""You are not lying, I could see that you have taken down the entire pather fleet with that single vessel from your Phase Lab commission records. Very impressive. So you are qualified, and you have an idea about everything. Let's get to the point then, do you want to be a test pilot?""

As he goes on and explains more details, you find out that this test pilot position will not give you better salary, but you will get a new ship to fly with, for free. You have to maintain it as your own ship. It's a powerful ship, but only very few ace captains could fly well with it.","dpl_accept_Silence: ""Yes, I do.""
dpl_deny_Silence: ""Please give me more time.""",
dpl_TestPilotIntro4,DialogOptionSelected,$option == dpl_accept_Silence,"$global.dpl_askedForSilence = true
dpl_colony_CMD giveSilence","""Wonderful."" The officer smiles: ""Finally we get someone brave enough to continue the test flights for this project. I'll make a report, and you should receive the ship as soon as possible.""","cutCommLink: ""Good. See you then.""",
dpl_TestPilotIntro5,DialogOptionSelected,$option == dpl_deny_Silence,,"""Well, it's OK."" The officer sighs: ""But you could always consider this option. Please come back at any time if you want to discuss about this matter.""",cutCommLink: Leave,
,,,,,,
# Experimental Drone,,,,,,
dpl_ExpDroneIntro,PopulateOptions,"$id == dpl_factory
$player.fcm_faction == dpl_phase_lab
$global.dpl_exp_drone
!$global.dpl_askedForGunboat",,,dpl_ask_for_Gunboat: Check out the Phase Lab drone fighter propaganda.,
dpl_ExpDroneIntro1,DialogOptionSelected,$option == dpl_ask_for_Gunboat,,"As you are looking at the propaganda, a Phase Lab officer comes by and greets you. He asks you whether you are interested in becoming a tester for the latest drone fighters.",dpl_ask_for_Gunboat1: Ask for more details.,
dpl_ExpDroneIntro2,DialogOptionSelected,$option == dpl_ask_for_Gunboat1,,"As he explains the details, you find out that the Phase Lab is looking for new testers to test a new experimental drone fighter. But the availability is very limited, only the most experienced captain could get accepted as a tester.",dpl_ask_for_Gunboat2: Tell the officer that you have passed the sim fight.,
dpl_ExpDroneIntro3,DialogOptionSelected,$option == dpl_ask_for_Gunboat2,,"The officer looks very surprised: ""You are not lying, I could see that you have taken down the entire invasion fleet with a small fleet from your Phase Lab commission records. Very impressive. So you are qualified, and you have an idea about everything. Let's get to the point then, do you want to be a tester?""

As he goes on and explains more details, you find out that this tester position will not give you better salary, but you will get one copy of the LPC for an advanced drone fighter, for free. It's a powerful fighter, but only very few experienced captains know how to use its power.","dpl_accept_Gunboat: ""Yes, I do.""
dpl_deny_Gunboat: ""Please give me more time.""",
dpl_ExpDroneIntro4,DialogOptionSelected,$option == dpl_accept_Gunboat,"$global.dpl_askedForGunboat = true
AddRemoveAnyItem FIGHTER_CHIP dpl_gunboat_wing 1","""Wonderful."" The officer smiles: ""Finally we get one more good captain to join the test works for this project. I'll make a report, and you should receive the LPC as soon as possible.""","cutCommLink: ""Good. See you then.""",
dpl_ExpDroneIntro5,DialogOptionSelected,$option == dpl_deny_Gunboat,,"""Well, it's OK."" The officer sighs: ""But you could always consider this option. Please come back at any time if you want to discuss about this matter.""",cutCommLink: Leave,
,,,,,,
# Old Ship,,,,,,
dpl_OldShipIntro,PopulateOptions,"$id == dpl_security
$player.fcm_faction == dpl_phase_lab
$global.dpl_lyre_access
!$global.dpl_askedForLyre",,,dpl_ask_for_Lyre: Check out the Phase Lab navy recruitment propaganda.,
dpl_OldShipIntro1,DialogOptionSelected,$option == dpl_ask_for_Lyre,,"As you are looking at the propaganda, a Phase Lab officer comes by and greets you. He asks you whether you are interested in becoming a test pilot for a prototype space ship.",dpl_ask_for_Lyre1: Ask for more details.,
dpl_OldShipIntro2,DialogOptionSelected,$option == dpl_ask_for_Lyre1,,"As he explains the details, you find out that the Phase Lab is looking for new test pilots to fly a prototype vessel. It's an old design, but in the hands of best captains, they could still produce valuable combat performance dara. But the availability is very limited, only the most skilled captain could get accepted as a test pilot.",dpl_ask_for_Lyre2: Tell the officer that you have passed the sim fight.,
dpl_OldShipIntro3,DialogOptionSelected,$option == dpl_ask_for_Lyre2,,"The officer looks very surprised: ""You are not lying, I could see that you have taken down the entire drone fleet with a single ship from your Phase Lab commission records. Very impressive. So you are qualified, and you have an idea about everything. Let's get to the point then, do you want to be a test pilot?""

As he goes on and explains more details, you find out that this test pilot position will not give you better salary, but you will get a new ship to fly with, for free. You have to maintain it as your own ship. It's an old ship, but it could be one of the best combat ships in the hands of skilled captains.","dpl_accept_Lyre: ""Yes, I do.""
dpl_deny_Lyre: ""Please give me more time.""",
dpl_OldShipIntro4,DialogOptionSelected,$option == dpl_accept_Lyre,"$global.dpl_askedForLyre = true
dpl_colony_CMD giveLyre","""Wonderful."" The officer smiles: ""Finally we get one more good captain to fly this ship and generate more combat data. I'll make a report, and you should receive the ship as soon as possible.""","cutCommLink: ""Good. See you then.""",
dpl_OldShipIntro5,DialogOptionSelected,$option == dpl_deny_Lyre,,"""Well, it's OK."" The officer sighs: ""But you could always consider this option. Please come back at any time if you want to discuss about this matter.""",cutCommLink: Leave,
,,,,,,
# Mysterious Ship,,,,,,
dpl_dirge_alphaSite,OpenInteractionDialog,"$id == site_alpha
$ttBlackSite score:1000
$global.dpl_dirge_access
!$siteExplored
!$global.dpl_gotDirge",ShowDefaultVisual,"A disposable navigation satellite set to a decaying orbit identifies the radiation-ravaged rock below as ""Alpha Site"".

Your scans to the planet surface is jammed for some reasons. After an hour of data analysis, your tech officer tells you that the jamming source is a small vessel in the low orbit.",dpl_get_dirge: Send a salvage team to see what's going on.,
dpl_dirge_alphaSite1,DialogOptionSelected,$option == dpl_get_dirge,,"Your salvage team reports to you that they found a mysterious small ship. It was almost dead, but it has some abnormal devices that is still working. It seems that it's the device that's jamming the signal.","dpl_get_dirge1: Ask the team to recover the ship.
dpl_get_dirge2: Ask the team to leave the ship alone.",
dpl_dirge_alphaSite2,DialogOptionSelected,$option == dpl_get_dirge2,,"When your salvage team was trying to depart from the orbit, they lost contact with your ship. And when the connection was re-established, they told you that they experienced some strange malfunctions whenever they try to leave.

Your tech officer believes that this anomaly is caused by some devices on the mysterious vessel, and if that mysterious vessel could be recovered, there should be some safe ways to get everyone out.",dpl_get_dirge1: Ask the team to recover the ship.,
dpl_dirge_alphaSite3,DialogOptionSelected,$option == dpl_get_dirge1,"$global.dpl_gotDirge = true
dpl_colony_CMD giveDirge","Your salvage team tells you that the vessel is merely damaged, it's just in lack of power. You give them a new load of reactor fuel rods, and they powered the mysterious ship up.

The anomaly disappeared, and some mote-like flashing spheres were produced. They are flying all around the small vessel. After boarding the mysterious ship and doing some analysis, your tech officer was confused about how this ship could work. 

But he could read from the fleet log that the previous strange jamming was caused by the mysterious device on the ship that produces the motes. It's some sort of low battery warnings for the system.",dpl_get_dirge3: Good. Now scan the planet.,
dpl_dirge_alphaSite4,DialogOptionSelected,$option == dpl_get_dirge3,"ShowDefaultVisual
SetShortcut defaultLeave ESCAPE
$satelliteStillInOrbit = true 739","A scan of the surface reveals an expansive research facility spilling out of a mid-sized crater. The shield array apparently failed spectacularly some time ago, leaving the ruins awash in heavy radiation. Any material salvage operation would be unprofitable.

However, you might be able to send a salvage team down for a short period to see if any intel can be found about the purpose of this facility. Someone clearly put a lot of resources toward building it in a most inhospitable environment, far from prying eyes. Someone with something valuable to hide.","0:alphaSiteExplore1:Send a salvage team down to the facility
100:defaultLeave:Leave",
,,,,,,
# Ross at different attitudes,,,,,,
dpl_RossGreeting,PickGreeting,"$id == ross_higgs
$rel > 0.01
$rel <0.11","ShowPersonVisual
FireAll PopulateOptions","Ross opens the door: ""Oh, it's you, captain $playerName, glad to see you. What brings you here?""",dpl_ross_greeting_leave:Leave,
dpl_RossGreetingLeave,DialogOptionSelected,$option == dpl_ross_greeting_leave,EndConversation,,,
dpl_RossFavorable,PickGreeting,"$id == ross_higgs
$rel > 0.1
$rel < 0.31","ShowPersonVisual
FireAll PopulateOptions","Ross opens the door, she takes a deep breadth: ""It's great to see you, captain $playerName, and I'm happy to take a break and chat with you. What do you want to discuss about?""",dpl_ross_favorable_leave:Leave,
dpl_RossFavorableLeave,DialogOptionSelected,$option == dpl_ross_favorable_leave,EndConversation,,,
dpl_RossWelcoming,PickGreeting,"$id == ross_higgs
$rel > 0.3
$rel < 0.61","ShowPersonVisual
FireAll PopulateOptions","Ross opens the door, she waves her hand at you: ""Hello, $playerName, I'm happy to see you. How may I help you?""",dpl_ross_welcoming_leave:Leave,
dpl_RossWelcomingLeave,DialogOptionSelected,$option == dpl_ross_welcoming_leave,EndConversation,,,
dpl_RossFriendly,PickGreeting,"$id == ross_higgs
$rel > 0.6
$rel < 0.81","ShowPersonVisual
FireAll PopulateOptions","Ross opens the door, she looks relaxed to see you. She smiles, though she looks tired as usual: ""Hi $playerName, how are you? Please take a seat, and let's start chatting.""",dpl_ross_friendly_leave:Leave,
dpl_RossFriendlyLeave,DialogOptionSelected,$option == dpl_ross_friendly_leave,EndConversation,,,
dpl_RossCooperative,PickGreeting,"$id == ross_higgs
$rel > 0.8
$rel < 1","ShowPersonVisual
FireAll PopulateOptions","Ross opens the door, you can see the happiness on her face. She greets you: ""Hi, $playerName, I'm so happy to see you. Please feel free to tell me if there is anything I could help with.""",dpl_ross_cooperative_leave:Leave,
dpl_RossCooperativeLeave,DialogOptionSelected,$option == dpl_ross_cooperative_leave,EndConversation,,,
,,,,,,
# Eliza at different attitudes,,,,,,
dpl_ElizaDefault,PickGreeting,"$id == eliza_lovelace
$rel < 0.02
","ShowImageVisual city_from_above
FireAll PopulateOptions","The office of the Chief Researcher is on the top of the highest tower on the colony. After 30 minutes of waiting and staring at a notice ""On Leave"", you almost fall asleep. But it is kind of nice to see the entire city from above. Finally someone greets you.

""Hello spacer,"" a young cadet chirps at you brightly, ""You've reached the office of the Chief Researcher, and Vice Admiral Eliza Lovelace. The Chief Researcher is not currently in her office, she might be in the station, the space labs, or somewhere else. I'm just kind to let you know, but you may stay here if you want to. Afterall Vice Admiral Lovelace is so nice that she opens the observation deck in front of her office to the public, and it's a quiet place to sit down and relax.""",,
dpl_ElizaGreeting,PickGreeting,"$id == eliza_lovelace
$rel > 0.01
$rel <0.11","ShowPersonVisual
FireAll PopulateOptions","Eliza opens the door, greets you with her soft voice: ""Hello, captain $playerName, it's so nice to see you! What brings you to me today?""",dpl_greeting_leave:Leave,
dpl_ElizaGreetingLeave,DialogOptionSelected,$option == dpl_greeting_leave,EndConversation,,,
dpl_ElizaAskRemnantCheck,PopulateOptions,"$id == eliza_lovelace
$rel > 0.06
!$market.dpl_asked_remnant",,,"dpl_ask_remnant:""Why don't you run AI inspections like Hegemony?""",
dpl_ElizaAskRemnant,DialogOptionSelected,$option == dpl_ask_remnant,"ShowPersonVisual
$market.dpl_asked_remnant = true","Eliza smiles:""Do you want the Phase Lab to? Though as a military research instute, we are supposed to follow instructions and get protections from the battle group XIV, we are not a part of Hegemony. The Hegemony is not even technically a battle group of the domain navy any more, they are a faction on their own, and we are a faction on our own for now.""","dpl_ask_remnant2:""Thanks, I prefer not. But shouldn't you follow the Hegemony as they represent battle group XIV?""",
