id,type,text1,text2,text3,notes,
dpl_phase_lab,FACTION,"The Phase Lab is a faction formed by a military research institute working for domain navy that focused on studies of phase space, known as the Domain Phase Lab, that got lost in the Orion-Perseus abyss during the collapse. Due to the nature of abyss, and lack of fuel, it took them two centuries to travel out of the abyss and fly to the core worlds. They had some encounters with the drone ship fleets that took away many lives, and so this caused their decade-long hostility against the Tri-Tachyon corporation. The Phase Lab has tens of million of populations, mostly scientists, navy crews, and other people providing necessary supplies. The Phase Lab keeps the ranks of officers as they were in the domain navy, but the new-born citizens could only get enlisted in the Phase Lab navy, instead of the Domain Navy. As a faction, the Phase Lab cares about the livings of civilians, and the researches about the phase space.

The Phase Lab is a peaceful faction that tends to solve problems through diplomacy, and they declared full respect to other factions' power of regulation. The civilian organization is quite relaxed, as long as no extreme violations to the domain regulation policies, the civilians could freely act accoridng to their wills. However, the Phase Lab Navy completely follows the Domain Navy Articles of War, which is much more strict. The Phase Lab keeps a democratic structure when making decisions. All important decisions must pass the examination of the committee board before being valid, then the Chief Researcher (the leader of the Phase Lab) would execute the decisions. Exceptional times require exceptional measures, and so the Phase Lab also joins trading to raise fundings to support their research projects.",,,,
dpl_fluxdisruptor,SHIP_SYSTEM,"Briefly overloads an enemy ship that's really close.

The disruptor system developped by the phase lab. It creates a very narrow phase burst using a special independent phase coil called phase resonator. Its principle to work is complicated. In simple words, when activated, this system recursively charges the phase coil so that it resonates with the phase space, then it pushes a sudden energy burst in to destabilize the resonance state, this will cause a large fluctuation called phase burst in the phae space, and generate a lot of flux in the phase resonator. The resultant phase burst travels for very short range and can only affect one selected target. But if it hits a ship, no matter the ship lives in phase space or physical world, it will definitely overload all systems of the target for a minute.",Offensive,Briefly overloads an enemy ship that's really close.,,
dpl_phase_lightning,SHIP_SYSTEM,"Fires phase lightening that deals energy and emp damage to nearby enemy ships.

The phase lightning system is an emp striking system developped by the phase lab. It creates powerful lightning strikes by creating large charge clusters in a phase bubble and extracting arcs of energy out from the phase bubble to fire. The phase lightnings contains more energy than normal emp arcs, and so it travels slightly longer distance, and deals more damage to targets.",Special,Fires phase lightening that deals energy and emp damage to nearby enemy ships.,,
dpl_energyfeed,SHIP_SYSTEM,"Enables an advanced and complicated system that accelerates energy weapon recharge. In simple words, the system uses a set of small phase coils to speed up the time near those energy weapons by a factor of 2, resulting in the same amount of flux could result in twice as fast of fire rate. The system must be cooled down and callibrated to be active again.",Offensive,Provides a flux cost reduction and a brief boost to the rate of fire of all energy weapons.,,
dpl_phase_enhanced_shield,SHIP_SYSTEM,"Enables an advanced system that redirects flux generated by the shield generators into the phase coil torus arrays. The weapon systems must be shut down to provide energy for this system to work. Doing so would greatly increase the shield efficiency, but the array would generate hard flux over time.",Defensive,"Reduces the damage taken by shields to a minimum, but generates hard flux while active.",,
dpl_mote_strike,SHIP_SYSTEM,Induces large high frequency motes that does energy damage and emp damage to enemy ships. It uses a phase lightning to generate the space rift for such large motes to warp into our universe. Can be used while phased. The motes would automatically  be attracted by the targets.,Offensive,Teleports a large high frequency mote to the target area. Can be used while phased.,,
dpl_eternal_instant,SHIP_SYSTEM,Greatly speeds up the flow of time on board the ship. Generates a significant amount of flux when used. The ship's weapon system must be turned off in order to provide enough energy for this system to work. All other information about this system is classified.,Special,"Speeds up the time flow on the ship by 10 times, but disables weapon systems.",,
dpl_relativity_targeting,SHIP_SYSTEM,"GR Targeting System is a special active targeting system that increases the ranges of all non-missile weapons by 80%, and it generates soft flux when active. The GR in its name stands for General Relativity, it uses the gravitional tensor field data to enhance the targeting system. But when using this system, the ship can only travel at 20% of its max speed, or the ship's speed will introduce large errors in the readings. Once turned off, it takes 5 seconds to calibrate before it could be turned on next time.",Offensive,"Increases the non-missile weapon range, but reduces the ship's max speed.",,
dpl_mote_device,SHIP_SYSTEM,High Frequency energy motes deal heavy EMP damage to ships and obliterate fighters and missiles. Using the system creates a temporary attractor point for the motes. The motes automatically target nearby missiles and fighters unless an attractor point is set on an enemy ship.,Special,Energy motes deal heavy EMP damage to ships and obliterate fighters and missiles.,,
,,,,,,
