name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nightmare,anvil_nightmare,Heavy Carrier,Exalted,targetingfeed,35,11000,380,13000,15000,650,210,6,50,25,15,10,9,2900,OMNI,,120,0.6,0.6,,,500,1000,300,100,10,10,7,380000,3,15,600,0.25,45,45,"CARRIER, COMBAT",rare_bp,,0.6,2,4,501
Wendigo,anvil_wendigo,Battleship,Exalted,anvil_possession,45,12500,400,22500,25000,1500,310,,45,30,40,8,5,2600,OMNI,,195,0.4,0.6,,,400,800,400,450,8,56,8,370000,4,20,600,0.25,45,45,,rare_bp,,0.6,2,4,505
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fantasma,anvil_fantasma,Carrier,Exalted,reservewing,24,7500,240,7500,4000,350,125,3,40,35,30,5,5,2000,OMNI,,150,0.5,0.7,,,260,550,250,200,4,50,8,145000,5,12,420,0.25,25,25,"CARRIER, COMBAT, NO_AUTO_ESCORT",exalted_bp,,0.4,2,3,410
Urn,anvil_urn,Freighter,Exalted,anvil_possession,12,6600,200,5200,2083,125,55,1,55,35,25,25,15,2000,OMNI,,120,0.7,0.8,,,60,300,700,400,4,125,8,110000,5,20,350,0.25,12,12,"FREIGHTER, TANKER",exalted_bp,,0.5,2,3,306
Wraith,anvil_wraith,Heavy Cruiser,Exalted,anvil_possession,25,9500,320,14000,9000,850,175,1,75,75,25,18,18,2100,FRONT,,145,0.4,0.6,,,165,350,75,150,5,30,9,190000,4,15,500,0.25,25,25,,exalted_bp,,0.4,2,3,404
Lich,anvil_lich,Prototype Cruiser,Exalted,fortressshield,25,10200,360,13400,9000,800,150,,50,45,25,8,8,1800,FRONT,,130,0.4,0.5,,,25,50,70,90,3,30,8,230000,4,20,420,0.25,30,30,,exalted_bp,,0.7,2,3,405
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apparition,anvil_apparition,carrier,Exalted,displacer,13,3400,110,3800,2833,250,45,2,55,35,15,25,20,400,FRONT,,360,0.4,0.7,,,80,160,80,40,4,10,8,47000,4,8,360,0.25,13,13,CARRIER,exalted_bp,,0.4,2,3,305
Phylactery,anvil_phylactery,Freighter,Exalted,microburn,4,3000,50,2400,1167,100,40,,65,25,20,15,7,390,OMNI,,80,0.5,0.7,,,15,200,250,450,1,50,8,38000,5,20,240,0.25,6,6,"CIVILIAN, FREIGHTER, TANKER, LINER",exalted_bp,,0.8,2,3,9
Vampire,anvil_vampire,Assault Destroyer,Exalted,temporalshell,15,4000,240,6500,4167,450,90,,95,65,50,45,70,400,OMNI,,100,0.5,0.5,,,35,80,50,60,2,30,9,79000,5,12,360,0.25,15,15,,exalted_bp,,0.5,2,3,300
Cielo (EX),anvil_cielo,Science Vessel,Exalted,entropyamplifier,10,4600,370,5600,2833,300,75,1,80,35,25,30,25,350,OMNI,,190,0.5,0.7,,,30,90,130,50,1,50,9,46000,5,9,380,0.25,11,11,,exalted_bp,,0.6,2,3,305
Cielo,anvil_cielo_civ,Science Vessel,High Tech,entropyamplifier,10,4600,370,5600,2833,300,75,1,80,35,25,30,25,350,OMNI,,190,0.5,0.7,,,30,90,130,50,1,50,9,46000,5,9,380,0.25,11,11,,hightech_bp,,0.6,2,3,305
Hoshiko (EX),anvil_hoshiko,salvage Vessel,Exalted,flarelauncher_active,8,5000,400,4800,2833,250,45,1,65,25,25,40,35,350,FRONT,,240,0.5,0.8,,,50,90,160,50,1,50,9,44000,5,9,380,0.25,9,9,,exalted_bp,,0.5,2,3,305
