name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,noVent,icon
Pride Drive,anvil_charge,,,,,,,,,,1,5,1,8,,,TRUE,,,,,,,TRUE,graphics/icons/hullsys/maneuvering_jets.png
Possession,anvil_possession,,,,,,,,,,1,8,1,15,,,,,,,,,,TRUE,graphics/icons/hullsys/maneuvering_jets.png
Volatile Rounds,anvil_volatilerounds,1,,,,,,,,,1,6,1.5,15,,,,,,,,,,,graphics/icons/hullsys/ammo_feeder.png
Degraded Ammo Feeder,anvil_ammo,,,,,,,,,,1,4,1,12,,,,,,,,,,,graphics/icons/hullsys/ammo_feeder.png
Short Range EMP Emitter,anvil_emp,1,,,,,0.2,,,,0.5,5,0.5,10,,,,,,,,,,,graphics/icons/hullsys/emp_emitter.png
Prototype EMP Reactor,anvil_emp_ex,1,,,,,0.2,,,,0.5,8,0.5,12,,,TRUE,,,,,,,TRUE,graphics/icons/hullsys/emp_emitter.png
Bulwark Charge,anvil_fury,,,,,,,,,,2,6,1,15,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,graphics/icons/hullsys/burn_drive.png
,,,,,,,,,,,,,,,,,,,,,,,,,
Kings Guard,anvil_king,,,,,,0.3,,,,0.5,25,3,45,,,,,,,,,,,graphics/icons/hullsys/reserve_deployment.png
,,,,,,,,,,,,,,,,,,,,,,,,,
Spectral Cloak,anvil_cloak,,,,,,,,,,0.6,,0.6,2.5,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,,graphics/icons/hullsys/phase_cloak.png
