id,type,text1,text2,text3,notes,Column 07,Column 08,Column 09,Column 10
anvil_delusion,SHIP,"The Delusion Drone wing is a simple, yet effective interceptor, capable of erasing most fighters in seconds thanks to its high firepower. The drawback of course, as with all Exalted designs, is that its fragile profile can easily and quickly be dealt with by point defense systems.",,,,,,,
anvil_wisp,SHIP,"An older heavy fighter from the days before their rise to glory, Wisps boast superior armor plating and conversely weak reactor power compared to other Exalted designs. Despite their age, Wisps see fairly regular use, and have been modernized with Fuego Blasters.",,,,,,,
anvil_fairy,SHIP,"Designed for supporting larger vessels which lacked the much needed kinetic weaponry for going against Tri-Tachyon armadas, the Fairy is a simple craft. It brings a small amount of Voodoo MRMs and a light shield generator to make sure it gets to its target safely, and is the Exalted's go-to bomber for any mission.",,,,,,,
anvil_plague,SHIP,"The Plague is an advanced craft, pushing the limits of what can be considered a fighter. It was envisioned as the perfect counter to the Tri-Tachyon fighter swarms and nimble frigate squadrons that often overwhelm Exalted Carriers.",,,,,,,
,,,,,,,,,
anvil_spirit,SHIP,"The Spirit was an attempt to make a proper combat ship as a gift for Exalted by following the idea of Mudskipper Mk.II. The Spirit has been in high demand since its first production run, due to its toughness and the heavy weapons it can mount. Often assigned as escort for larger ships as fire support, it's a common sight in Exalted fleets. The most common cause of losses are fighters, due to Spirit having a front shield emitter, which is why commanders are required to have at least some fighters of their own in the fleet to reduce overall crew losses.",,,,,,,
anvil_omen_ex,SHIP,"One of many blueprints stolen and altered by the Exalted during their exodus from Tri-Tachyon, Omen EX frigates are slower and have thinner armor than the base hull, but do have an upgraded and advanced flux core. EX Omens also have improved structural integrity compared to the base, increasing longevity.",,,,,,,
anvil_eerie,SHIP,"Focusing on defence, the Eerie is an unusual ship for Exalted doctrine, which has most frigates in an offensive role. It's a dependable craft built to hold the line alongside more durable ships and fill the holes in it if need arises. Its turret coverage makes it a perfect escort vessel and its system lets it distract enemy fire for way longer than most frigates. Despite these capabilities, there's evidence of Eeries being outfitted with close range weaponry and torpedoes. They are said to be used to charge at enemy lines and wreak havoc there, an effective tactic against some enemies of the Exalted.",,,,,,,
anvil_faint,SHIP,"The Faint is the fastest and most fragile craft in Exalted service and as such has earned it the blunt nickname ""rocket coffin"" due to its high mortality rate. despite the reputation this ship has earned it is a common sight in exalted fleet due to its cheap cost and ability to screen fighters for larger vessels",,,,,,,
,,,,,,,,,
anvil_shrike_ex,SHIP,"One of many blueprints stolen and altered by the Exalted during their exodus from Tri-Tachyon, Shrike EX destroyerss are slower and have thinner armor than the base hull, but have an upgraded and advanced flux core. EX Shrikes also have improved structural integrity compared to the base, increasing longevity.",,,,,,,
anvil_apparition,SHIP,"A common sight in Exalted fleets, Apparitions are slow carriers made for those who see ""Point Defense"" as unnecessary addition. To that end, a shield generator providing full coverage, a heavy missile package, and remarkably inefficient engines that burn through fuel at an alarming rate make this ship an odd and fragile--but useful--addition to any fleet that can afford the luxury of fighter projection.",,,,,,,
anvil_phylactery,SHIP,"The Phylactery is a heavy refit of the common Buffalo freighter, with increased defenses and drive improvements to maximize speed. These ships are responsible for Exalted trade traffic and make sure the trade fleets run as quickly and smoothly as possible.",,,,,,,
anvil_vampire,SHIP,"The Vampire is a powerful mainline destroyer in the Exalted's roster. Large energy mount and a Temporal Shell system allow it to keep most threats at a distance while it goes after enemies weaker than itself. As strong as the Vampire is, it suffers from extremely quick loss of combat readiness due to its ship system. Hegemony fleet admirals are suggested to keep Vampires away with heavy firepower and to close in for the kill as they starts breaking down.",,,,,,,
